bias,Ci_Center,Cv_center,Fi,Fv,Di,Dv,rho,Zi,Zv,ki,kv,Zi_scaled,Zv_scaled,ki_scaled,kv_scaled
0,2.820190690645E-13,1.5950949879284E-09,5.639715359849E-10,5.6396540721175E-10,1,0.000181,1.5278874536822E-08,1999.76383815349,1953.38271554415,3.05541407864208E-05,2.98454894331956E-05,1.9997638381535E-07,1.95338271554415E-07,3.05541407864208E+015,2984548943319564
5,2.8200062155424E-13,1.673002651762E-09,5.63944701059075E-10,5.92164519445075E-10,1,0.000181,1.5278874536822E-08,1999.79949672063,1955.54213605633,3.05546856091942E-05,2.98784829482734E-05,1.99979949672063E-07,1.95554213605633E-07,3055468560919425,2987848294827340
10,2.8198217627705E-13,1.7509103245098E-09,5.6391786933945E-10,6.20363633870575E-10,1,0.000181,1.5278874536822E-08,1999.83515548655,1957.50938444532,3.05552304350048E-05,2.99085402895916E-05,1.99983515548655E-07,1.95750938444532E-07,3055523043500481,2.99085402895916E+015
20,2.8194529289864E-13,1.9067257166457E-09,5.6386421615085E-10,6.76761874999775E-10,1,0.000181,1.5278874536822E-08,1999.90647247145,1960.96158526372,3.05563200782695E-05,2.99612860327719E-05,1.99990647247145E-07,1.96096158526372E-07,3.05563200782695E+015,2.99612860327719E+015
30,2.819084188463E-13,2.0625411603003E-09,5.63810576310175E-10,7.331601294751E-10,1,0.000181,1.5278874536822E-08,1999.97778930317,1963.89217733183,3.05574097191937E-05,3.00060621812991E-05,1.99997778930317E-07,1.96389217733183E-07,3.05574097191937E+015,3000606218129911
40,2.818715541165E-13,2.2183566554548E-09,5.6375694981245E-10,7.89558397291575E-10,1,0.000181,1.5278874536822E-08,2000.04910598195,1966.41107248572,3.05584993577812E-05,3.00445480643268E-05,2.00004910598195E-07,1.96641107248572E-07,3055849935778120,3004454806432677
50,2.8183469870574E-13,2.3741722020895E-09,5.63703336652575E-10,8.45956678444275E-10,1,0.000181,1.5278874536822E-08,2000.12042250742,1968.5993288297,3.05595889940261E-05,3.0077982158461E-05,2.00012042250742E-07,1.9685993288297E-07,3.05595889940261E+015,3007798215846095
