time,error,jx_l,jx_r
0,0,0,0
1,4.6212914316778,-0.10563436815905,-0.1056343681591
2,4.7647786527057,-0.035519924622054,-0.035519924622076
3,4.8557245865839,-0.011943698505934,-0.011943698505934
4,4.9117607968208,-0.004016110268185,-0.0040161102682305
5,4.9460812728876,-0.0013504310811641,-0.0013504310811641
6,4.9670657754801,-0.00045408715973281,-0.00045408715975555
7,4.9798875669901,-0.00015268839078999,-0.00015268839078999
8,4.9877191287541,-5.1342003803256e-05,-5.1342003803256e-05
9,4.9925017097481,-1.7263927793465e-05,-1.7263927793465e-05
10,4.9954219952187,-5.8050559346157e-06,-5.8050559346157e-06
11,4.9972050204481,-1.9519702846083e-06,-1.9519702846083e-06
12,4.998293627045,-6.5635681494314e-07,-6.5635681494314e-07
13,4.9989582464895,-2.2070225895732e-07,-2.2070225895732e-07
14,4.9993640055058,-7.421190275636e-08,-7.421190275636e-08
15,4.9996117243688,-2.4954010768852e-08,-2.4954010768852e-08
16,4.999762957656,-8.3908844317193e-09,-8.3908844317193e-09
17,4.9998552858048,-2.8214572012075e-09,-2.8214572012075e-09
18,4.9999116521532,-9.4873939815443e-10,-9.4873939815443e-10
19,4.9999460637706,-3.1900526664685e-10,-3.1900526664685e-10
20,4.9999670720223,-1.0727490007412e-10,-1.0727490007412e-10
21,4.9999798975286,-3.6061464925297e-11,-3.6061464925297e-11
22,4.9999877274787,-1.2119016901124e-11,-1.2119016901124e-11
23,4.9999925076491,-4.0927261579782e-12,-4.0927261579782e-12
24,4.9999954259343,-1.3642420526594e-12,-1.3642420526594e-12
25,4.9999972075418,-4.5474735088646e-13,-4.5474735088646e-13
26,4.9999982952097,-1.3642420526594e-13,-1.5916157281026e-13
27,4.9999989592289,-4.5474735088646e-14,-4.5474735088646e-14
28,4.9999993646113,-2.2737367544323e-14,-2.2737367544323e-14
29,4.9999996120964,0,0
30,4.9999997631856,0,0
31,4.9999998554253,0,0
32,4.9999999117374,0,0
33,4.9999999461159,0,0
34,4.9999999671038,0,0
35,4.999999979917,0,0
36,4.9999999877393,0,0
37,4.9999999925149,0,0
38,4.9999999954304,0,0
39,4.9999999972102,0,0
40,4.9999999982969,0,0
41,4.9999999989602,0,0
42,4.9999999993652,0,0
43,4.9999999996125,0,0
44,4.9999999997634,0,0
45,4.9999999998556,0,0
46,4.9999999999118,0,0
47,4.9999999999462,0,0
48,4.9999999999671,0,0
49,4.9999999999799,0,0
50,4.9999999999878,0,0
