x,y,z,id,T,jx,dTdx,mat_therm_cond
0,0,0,0,5,-0.10563436815905,2.1126873631811,0.05
0.01,0,0,0.01,5.0211135311313,-0.10546759875488,2.1093519750975,0.05
0.02,0,0,0.02,5.0421437368011,-0.10488459692197,2.0976919384393,0.05
0.03,0,0,0.03,5.0630076203953,-0.10388766350225,2.0777532700449,0.05
0.04,0,0,0.04,5.0836228416973,-0.10248073293646,2.0496146587293,0.05
0.05,0,0,0.05,5.1039080418468,-0.10066935773675,2.013387154735,0.05
0.06,0,0,0.06,5.1237831644262,-0.09846068657348,1.9692137314696,0.05
0.07,0,0,0.07,5.1431697714067,-0.095863436062723,1.9172687212545,0.05
0.08,0,0,0.08,5.1619913527075,-0.092887856365678,1.8577571273136,0.05
0.09,0,0,0.09,5.1801736281461,-0.089545690735986,1.7909138147197,0.05
0.1,0,0,0.1,5.1976448405878,-0.085850129174469,1.7170025834894,0.05
0.11,0,0,0.11,5.214336039139,-0.081815756374294,1.6363151274859,0.05
0.12,0,0,0.12,5.2301813512646,-0.077458494161851,1.549169883237,0.05
0.13,0,0,0.13,5.2451182427566,-0.072795538660262,1.4559107732052,0.05
0.14,0,0,0.14,5.2590877645283,-0.067845292424795,1.3569058484959,0.05
0.15,0,0,0.15,5.2720347852594,-0.062627291815602,1.252545836312,0.05
0.16,0,0,0.16,5.2839082089739,-0.05716212989737,1.1432425979474,0.05
0.17,0,0,0.17,5.294661176693,-0.051471375167307,1.0294275033461,0.05
0.18,0,0,0.18,5.3042512513655,-0.045577486434468,0.91154972868935,0.05
0.19,0,0,0.19,5.312640585348,-0.039503724185079,0.79007448370157,0.05
0.2,0,0,0.2,5.3197960697721,-0.033274058783832,0.66548117567663,0.05
0.21,0,0,0.21,5.3256894652097,-0.026913075874086,0.53826151748171,0.05
0.22,0,0,0.22,5.3302975131215,-0.020445879349199,0.40891758698399,0.05
0.23,0,0,0.23,5.3336020276476,-0.013897992279453,0.27795984558907,0.05
0.24,0,0,0.24,5.3355899673788,-0.0072952561834882,0.14590512366976,0.05
0.25,0,0,0.25,5.3362534868252,-0.00066372904432228,0.013274580886446,0.05
0.26,0,0,0.26,5.3355899673788,0.0059704175301931,-0.11940835060386,0.05
0.27,0,0,0.27,5.3336020276476,0.012581001594344,-0.25162003188689,0.05
0.28,0,0,0.28,5.3302975131215,0.019141934192908,-0.38283868385815,0.05
0.29,0,0,0.29,5.3256894652097,0.025627322322339,-0.51254644644678,0.05
0.3,0,0,0.3,5.3197960697721,0.032011571118551,-0.64023142237102,0.05
0.31,0,0,0.31,5.312640585348,0.038269484868306,-0.76538969736612,0.05
0.32,0,0,0.32,5.3042512513655,0.044376366444908,-0.88752732889816,0.05
0.33,0,0,0.33,5.294661176693,0.050308114776772,-1.0061622955354,0.05
0.34,0,0,0.34,5.283908208974,0.056041319963219,-1.1208263992644,0.05
0.35,0,0,0.35,5.2720347852595,0.061553355662682,-1.2310671132536,0.05
0.36,0,0,0.36,5.2590877645284,0.066822468388295,-1.3364493677659,0.05
0.37,0,0,0.37,5.2451182427567,0.071827863359499,-1.43655726719,0.05
0.38,0,0,0.38,5.2301813512646,0.076549786569058,-1.5309957313812,0.05
0.39,0,0,0.39,5.214336039139,0.080969602743289,-1.6193920548658,0.05
0.4,0,0,0.4,5.1976448405878,0.08506986888699,-1.7013973777398,0.05
0.41,0,0,0.41,5.1801736281461,0.088834403122928,-1.7766880624586,0.05
0.42,0,0,0.42,5.1619913527076,0.092248348554335,-1.8449669710867,0.05
0.43,0,0,0.43,5.1431697714067,0.095298231898209,-1.9059646379642,0.05
0.44,0,0,0.44,5.1237831644262,0.097972016658446,-1.9594403331689,0.05
0.45,0,0,0.45,5.1039080418468,0.10025915062809,-2.0051830125617,0.05
0.46,0,0,0.46,5.0836228416973,0.10215060753419,-2.0430121506838,0.05
0.47,0,0,0.47,5.0630076203953,0.10363892266062,-2.0727784532123,0.05
0.48,0,0,0.48,5.042143736801,0.10471822230738,-2.0943644461477,0.05
0.49,0,0,0.49,5.0211135311313,0.10538424697188,-2.1076849394376,0.05
0.5,0,0,0.5,4.9999999999999,0.10563436815908,-2.1126873631815,0.05
0.51,0,0,0.51,4.9788864688686,0.10546759875492,-2.1093519750984,0.05
0.52,0,0,0.52,4.9578562631989,0.10488459692201,-2.0976919384402,0.05
0.53,0,0,0.53,4.9369923796046,0.10388766350229,-2.0777532700458,0.05
0.54,0,0,0.54,4.9163771583026,0.10248073293649,-2.0496146587298,0.05
0.55,0,0,0.55,4.8960919581531,0.1006693577368,-2.0133871547359,0.05
0.56,0,0,0.56,4.8762168355737,0.098460686573526,-1.9692137314705,0.05
0.57,0,0,0.57,4.8568302285932,0.095863436062768,-1.9172687212554,0.05
0.58,0,0,0.58,4.8380086472923,0.092887856365701,-1.857757127314,0.05
0.59,0,0,0.59,4.8198263718538,0.089545690735986,-1.7909138147197,0.05
0.6,0,0,0.6,4.8023551594121,0.085850129174514,-1.7170025834903,0.05
0.61,0,0,0.61,4.7856639608608,0.08181575637434,-1.6363151274868,0.05
0.62,0,0,0.62,4.7698186487352,0.077458494161851,-1.549169883237,0.05
0.63,0,0,0.63,4.7548817572432,0.072795538660284,-1.4559107732057,0.05
