time,average_xi,average_xv,left_jix,left_jvx,right_jix,right_jvx,total_ci,total_cv
0,0,0,0,0,0,0,0,0
25.958682112,2.32816080651e-13,3.7880678323007e-11,-5.0982318424503e-14,-3.4497000174796e-16,5.0983418153099e-14,3.4496996684863e-16,2.32816080651e-10,3.7880678323007e-08
186.68799962237,1.6524798087901e-12,3.9405267445316e-11,-1.3842322496206e-13,-1.3542120124219e-15,1.3842328165808e-13,1.354212041723e-15,1.6524798087901e-09,3.9405267445316e-08
1181.8815689988,1.0128901911316e-11,4.8840746627719e-11,-3.4992307444487e-13,-4.0547009532362e-15,3.4992307798661e-13,4.0547006806587e-15,1.0128901911316e-08,4.8840746627719e-08
7343.8578398454,5.7819497242462e-11,1.0719597844395e-10,-8.7391215146595e-13,-1.129358311453e-14,8.7391214929701e-13,1.1293580277408e-14,5.7819497242462e-08,1.0719597844395e-07
45497.190750011,2.7932471244831e-10,4.6740184564861e-10,-2.1748066853284e-12,-2.9628518269808e-14,2.1748066843681e-12,2.962851779868e-14,2.7932471244831e-07,4.6740184564861e-07
281732.57176583,7.0631923596736e-10,2.6736982215151e-09,-4.2861325641348e-12,-7.5388154386908e-14,4.2861325911764e-12,7.5388154350974e-14,7.0631923596736e-07,2.6736982215151e-06
1744439.784661,7.1318291886778e-10,1.5772374621021e-08,-4.3175534634388e-12,-1.8902743298999e-13,4.3175534903541e-12,1.8902743298672e-13,7.1318291886778e-07,1.5772374621021e-05
10801137.310052,5.7074300560382e-10,8.4486240277736e-08,-3.6020304772303e-12,-4.6318476713747e-13,3.602030475434e-12,4.6318476043471e-13,5.7074300560382e-07,8.4486240277736e-05
66877821.244672,3.2363271333074e-10,3.3640705330791e-07,-2.3666095979776e-12,-9.9762785987876e-13,2.3666095976913e-12,9.9762786056368e-13,3.2363271333074e-07,0.00033640705330791
414089867.61007,1.7172657310241e-10,8.2092898569304e-07,-1.6411230713458e-12,-1.5656808748413e-12,1.6411230713595e-12,1.5656808749183e-12,1.7172657310241e-07,0.00082092898569304
2563935341.3868,1.4530828816172e-10,1.0117721291266e-06,-1.5142223095196e-12,-1.7408881981894e-12,1.5142223101478e-12,1.7408881983463e-12,1.4530828816172e-07,0.0010117721291266
