x,y,z,id,cv,ci,jvx,jix
0,128,0,0,1.0000060048174e-06,9.9011662737567e-07,2.0699458762802e-27,-4.6265894543695e-27
1,128,0,1,1.0000034414013e-06,9.9011446379629e-07,2.0699458762802e-27,-4.6265894543695e-27
2,128,0,2,1.0000133913822e-06,9.90126118115e-07,-5.9797205237824e-27,6.5389149153584e-28
3,128,0,3,1.0000135190196e-06,9.9011845495512e-07,3.1634057402687e-27,-1.5424504830201e-27
4,128,0,4,1.0000008228313e-06,9.9012268461417e-07,3.9984401286928e-27,-3.2872288261217e-27
5,128,0,5,1.0000057268523e-06,9.9012700503214e-07,-1.904111525994e-27,3.3719824900716e-27
6,128,0,6,1.0000168725339e-06,9.9012764956726e-07,-5.9519360069038e-27,-9.5978188668836e-28
7,128,0,7,1.0000082782197e-06,9.9012220621031e-07,8.3841160933158e-27,2.3850152825747e-27
8,128,0,8,1.0000028516625e-06,9.9012670502002e-07,-3.2174402435047e-27,-6.4639535231128e-27
9,128,0,9,1.0000064267407e-06,9.9011846264617e-07,-1.7205301046304e-27,8.0462114278184e-27
10,128,0,10,1.0000134401203e-06,9.9012357834842e-07,2.0201190101627e-28,6.5942014494663e-29
11,128,0,11,1.0000149745985e-06,9.9012810662504e-07,-6.8473174257911e-27,-8.7551311738995e-27
12,128,0,12,1.000001231309e-06,9.9011158871348e-07,1.5739726378793e-26,9.6269835400008e-27
13,128,0,13,1.0000074940354e-06,9.9011484288354e-07,-3.696746391325e-27,2.2255883450067e-27
14,128,0,14,1.0000139027465e-06,9.9011137259278e-07,-9.993430221718e-27,-2.1896603181524e-27
15,128,0,15,1.0000150663213e-06,9.9012391476586e-07,5.9631735840947e-27,-7.1651419121888e-27
16,128,0,16,1.0000152165025e-06,9.9012302900199e-07,-5.9500318001422e-28,-1.5725041096318e-27
17,128,0,17,1.0000076757683e-06,9.9012114188366e-07,3.4777229785267e-27,8.5517664967596e-27
18,128,0,18,1.0000155108334e-06,9.9011287440854e-07,-1.1191475306269e-26,1.8574118409579e-27
19,128,0,19,1.0000127261131e-06,9.9011155183262e-07,5.273285465737e-27,-5.7070044984888e-28
20,128,0,20,1.000014541698e-06,9.9012341151615e-07,3.7083801849588e-27,-3.8655257147487e-27
21,128,0,21,1.0000017124371e-06,9.9012123280472e-07,1.0789664216517e-27,-2.1947109921945e-27
22,128,0,22,1.0000043979588e-06,9.9011275840052e-07,3.9322689744482e-27,1.0976313307142e-26
23,128,0,23,1.0000015745577e-06,9.9012069063018e-07,-7.5074726206354e-27,-1.2079402823005e-26
24,128,0,24,1.0000088661219e-06,9.9012845342663e-07,-2.3383808081303e-28,-5.045447328446e-27
25,128,0,25,1.0000076038275e-06,9.9011217867943e-07,6.3644581334169e-27,1.3002261338393e-26
26,128,0,26,1.0000184465018e-06,9.9011129702192e-07,-8.2095768274911e-27,8.134778573672e-28
27,128,0,27,1.0000015065875e-06,9.9011678683283e-07,1.6853712850318e-27,-5.6102170761296e-27
28,128,0,28,1.0000070495233e-06,9.9011178605039e-07,1.8580631476066e-27,5.0655477266323e-27
29,128,0,29,1.0000142549965e-06,9.9012388499048e-07,-9.8897975587379e-28,-4.4149595425842e-27
30,128,0,30,1.0000082325592e-06,9.9012018469101e-07,-1.5591306470804e-27,3.2611405694956e-27
31,128,0,31,1.000015241048e-06,9.9011064272147e-07,-3.9084632750372e-27,4.6146588866092e-27
32,128,0,32,1.0000177504347e-06,9.9011617714502e-07,-1.8956918609767e-27,-1.6747214624148e-27
33,128,0,33,1.0000105570737e-06,9.901160196747e-07,9.5545971491171e-27,-1.4373117474304e-27
34,128,0,34,1.0000054928582e-06,9.9012359702411e-07,3.313513279282e-28,-1.9726686876786e-27
35,128,0,35,1.0000193345311e-06,9.9011770042005e-07,-1.0164860715187e-26,7.6322534325731e-28
36,128,0,36,1.0000137331675e-06,9.9012405431707e-07,9.2548452591728e-27,-4.073560439063e-27
37,128,0,37,1.0000083803398e-06,9.9012337997196e-07,-3.7158501844687e-27,-2.8993779741269e-27
38,128,0,38,1.0000128527291e-06,9.9011247179407e-07,1.5105933999277e-27,1.1788015652268e-26
39,128,0,39,1.0000072997953e-06,9.901131546822e-07,-2.9548123906186e-27,-7.6638129511382e-27
40,128,0,40,1.0000048700409e-06,9.9012804424432e-07,2.1839388720092e-27,-8.5958655617502e-27
41,128,0,41,1.0000029802217e-06,9.9011589008849e-07,3.8817598086142e-27,7.7335777862072e-27
42,128,0,42,1.0000002414119e-06,9.9011534918795e-07,6.9613227087653e-27,-1.5877756265739e-28
43,128,0,43,1.000007433924e-06,9.901136579556e-07,-8.4099918718991e-27,5.3158527973607e-27
44,128,0,44,1.0000173870534e-06,9.9012721455512e-07,-9.5557641160568e-27,-7.7738504432537e-27
45,128,0,45,1.0000143149457e-06,9.9012508104947e-07,8.6578821397731e-27,2.1688780190565e-27
46,128,0,46,1.0000173557614e-06,9.9011970063238e-07,-9.8730079802951e-28,3.910600893877e-27
47,128,0,47,1.0000091509648e-06,9.9011767257327e-07,-3.7093566049813e-27,-5.514500970613e-27
48,128,0,48,1.0000032704767e-06,9.9011724687248e-07,4.6367328605777e-27,4.0531083876577e-27
49,128,0,49,1.0000190683591e-06,9.9011968469992e-07,-2.7569801596912e-27,-3.0457544787237e-27
50,128,0,50,1.0000072703329e-06,9.9011828253288e-07,-8.3534998591222e-28,5.5167958673775e-27
51,128,0,51,1.0000072941723e-06,9.9011831403481e-07,5.0189190584002e-27,-2.0892208255996e-27
52,128,0,52,1.0000033979878e-06,9.901184508159e-07,-1.7614807384682e-27,-2.5596300476355e-27
53,128,0,53,1.0000186041245e-06,9.9012069571541e-07,-7.087545007421e-27,-9.9266847871819e-29
54,128,0,54,1.0000039730928e-06,9.901211192796e-07,1.2087639990829e-26,-2.3442472741226e-27
55,128,0,55,1.0000189392619e-06,9.9012352867084e-07,-8.5300296731914e-27,-1.4753912944308e-27
56,128,0,56,1.00001971634e-06,9.9011823794215e-07,-4.4440747214487e-27,4.098509427865e-27
