x,y,z,id,cv,ci,jvx,jix
0,128,0,0,3.6399417428114e-06,3.5669362218999e-06,2.0698860318143e-27,-4.5061838744287e-27
1,128,0,1,3.639939179442e-06,3.5669341145727e-06,2.0698860318143e-27,-4.5061838744287e-27
2,128,0,2,3.6399491292761e-06,3.5669454656538e-06,-5.9796502970351e-27,6.3679127766946e-28
3,128,0,3,3.6399492567921e-06,3.5669380018658e-06,3.163415923815e-27,-1.5022189259842e-27
4,128,0,4,3.6399365609706e-06,3.5669421214626e-06,3.9983094658139e-27,-3.2016993537237e-27
5,128,0,5,3.6399414648536e-06,3.5669463294329e-06,-1.9040545311587e-27,3.284229982099e-27
6,128,0,6,3.6399526102433e-06,3.5669469571948e-06,-5.9517806806621e-27,-9.3480440754938e-28
7,128,0,7,3.6399440161553e-06,3.5669416555057e-06,8.3838952389377e-27,2.3229436081026e-27
8,128,0,8,3.6399385897415e-06,3.56694603723e-06,-3.2173554328353e-27,-6.2957235480554e-27
9,128,0,9,3.6399421647254e-06,3.5669380093711e-06,-1.7204846504867e-27,7.8368017052991e-27
10,128,0,10,3.6399491779198e-06,3.5669429919327e-06,2.020065601559e-28,6.422580688098e-29
11,128,0,11,3.6399507123575e-06,3.566947402357e-06,-6.8471366571811e-27,-8.5272711554313e-27
12,128,0,12,3.6399369694308e-06,3.5669313143386e-06,1.573931085614e-26,9.3764327974908e-27
13,128,0,13,3.6399432319918e-06,3.566934483816e-06,-3.696648799299e-27,2.1676654428734e-27
14,128,0,14,3.6399496405338e-06,3.5669311038427e-06,-9.9931663987085e-27,-2.1326724748669e-27
15,128,0,15,3.6399508040779e-06,3.5669433195946e-06,5.9630161582437e-27,-6.9786627705721e-27
16,128,0,16,3.6399509542551e-06,3.5669424568835e-06,-5.9498747199997e-28,-1.5315783029518e-27
17,128,0,17,3.63994341372e-06,3.5669406188791e-06,3.4776311684667e-27,8.3291992270575e-27
18,128,0,18,3.6399512485783e-06,3.5669325665723e-06,-1.1191179857537e-26,1.8090710576975e-27
19,128,0,19,3.6399484639314e-06,3.5669312784176e-06,5.2731462545486e-27,-5.5584746636498e-28
20,128,0,20,3.6399502794684e-06,3.5669428294424e-06,3.7082822842687e-27,-3.764921996735e-27
21,128,0,21,3.6399374505462e-06,3.5669407074339e-06,1.0789379370455e-27,-2.1375917018761e-27
22,128,0,22,3.639940135997e-06,3.5669324535835e-06,3.9321651650945e-27,1.0690645066649e-26
23,128,0,23,3.6399373126705e-06,3.5669401793699e-06,-7.5072744264665e-27,-1.1765025704282e-26
24,128,0,24,3.6399446040421e-06,3.5669477401327e-06,-2.3383190763691e-28,-4.914135108675e-27
25,128,0,25,3.6399433417811e-06,3.5669318889502e-06,6.3642901131292e-27,1.2663866011869e-26
26,128,0,26,3.6399541841691e-06,3.5669310302386e-06,-8.2093600965489e-27,7.9230637733697e-28
27,128,0,27,3.639937244702e-06,3.5669363771723e-06,1.6853267919528e-27,-5.4642062241153e-27
28,128,0,28,3.6399427874915e-06,3.5669315065397e-06,1.8580140937978e-27,4.933712375303e-27
29,128,0,29,3.6399499927745e-06,3.5669432905942e-06,-9.88953646692e-28,-4.3000563239133e-27
30,128,0,30,3.6399439704962e-06,3.5669396865983e-06,-1.5590894854217e-27,3.176266508309e-27
31,128,0,31,3.6399509787999e-06,3.5669303929669e-06,-3.9083600940761e-27,4.4945583160463e-27
32,128,0,32,3.6399534881204e-06,3.5669357833522e-06,-1.8956418147497e-27,-1.6311353573345e-27
33,128,0,33,3.6399462949493e-06,3.5669356299802e-06,9.5543449106331e-27,-1.3999044423449e-27
34,128,0,34,3.6399412308675e-06,3.5669430101224e-06,3.313425809763e-28,-1.9213282427704e-27
35,128,0,35,3.639955072175e-06,3.5669372669826e-06,-1.0164592367222e-26,7.4336172890945e-28
36,128,0,36,3.6399494709592e-06,3.5669434555139e-06,9.2546009347294e-27,-3.967542433008e-27
37,128,0,37,3.6399441182728e-06,3.5669427987192e-06,-3.7157520864067e-27,-2.8239191030863e-27
38,128,0,38,3.6399485905441e-06,3.5669321744363e-06,1.5105535204386e-27,1.1481222141839e-26
39,128,0,39,3.6399430377569e-06,3.5669328395516e-06,-2.9547343847869e-27,-7.4643554567116e-27
40,128,0,40,3.6399406080667e-06,3.5669473415998e-06,2.183881217322e-27,-8.372150573588e-27
41,128,0,41,3.6399387182973e-06,3.5669355037666e-06,3.8816573311801e-27,7.5323045985061e-27
42,128,0,42,3.6399359795598e-06,3.5669349769434e-06,6.9611389333074e-27,-1.5464523558244e-28
43,128,0,43,3.6399431718821e-06,3.5669333297269e-06,-8.4097698521625e-27,5.1775030367068e-27
44,128,0,44,3.6399531247487e-06,3.5669465335039e-06,-9.5555118472781e-27,-7.5715291242649e-27
45,128,0,45,3.6399500527221e-06,3.5669444555247e-06,8.6576535741791e-27,2.1124310534108e-27
46,128,0,46,3.6399530934575e-06,3.5669392151377e-06,-9.8727473299931e-28,3.808824054422e-27
47,128,0,47,3.6399448888775e-06,3.5669372398606e-06,-3.7092586794758e-27,-5.3709812158283e-27
48,128,0,48,3.6399390085447e-06,3.566936825239e-06,4.6366104526569e-27,3.9476226647432e-27
49,128,0,49,3.6399548060101e-06,3.5669391996199e-06,-2.7569073758839e-27,-2.9664860302175e-27
50,128,0,50,3.6399430082953e-06,3.5669378339455e-06,-8.3532793368737e-28,5.3732163864336e-27
51,128,0,51,3.639943032134e-06,3.5669378646275e-06,5.0187865615626e-27,-2.0348470098324e-27
52,128,0,52,3.6399391360524e-06,3.5669379978488e-06,-1.7614342382519e-27,-2.4930134173102e-27
53,128,0,53,3.6399543417876e-06,3.5669401843228e-06,-7.087357897393e-27,-9.6683341478519e-29
54,128,0,54,3.6399397111423e-06,3.5669405968634e-06,1.2087320881662e-26,-2.2832361691141e-27
55,128,0,55,3.6399546769162e-06,3.5669429435481e-06,-8.5298044836987e-27,-1.4369929344464e-27
56,128,0,56,3.6399554539738e-06,3.5669377905152e-06,-4.4439573998813e-27,3.9918421037697e-27
57,128,0,57,3.6399506116637e-06,3.5669350928763e-06,2.8017407086563e-27,5.1653393769806e-27
58,128,0,58,3.6399394140554e-06,3.5669288187711e-06,9.9711582405367e-27,-4.344986549314e-27
59,128,0,59,3.639947279009e-06,3.5669351661238e-06,-1.5762367404143e-27,5.9464961594183e-27
60,128,0,60,3.6399433271581e-06,3.5669462099851e-06,-5.4718183596051e-27,-9.2604056508816e-27
