time,average_ci,average_cv,left_jix,left_jvx,right_jix,right_jvx,tot_ci,tot_cv
0,0,0,0,0,0,0,0,0
1,9.901188479661e-07,1.0000100237109e-06,-4.30300573975e-28,-1.6116080959292e-28,2.1422244552254e-28,-9.0280711982584e-29,0.064888428820306,0.065536656913915
2.2,2.1690831109817e-06,2.1999887060479e-06,-4.25145142734e-28,-1.6112695070196e-28,2.1163373627553e-28,-9.0324237211724e-29,0.1421530307613,0.14417845983956
3.64,3.5669383846631e-06,3.6399457616009e-06,-4.19020135862e-28,-1.6107212919158e-28,2.0856992337638e-28,-9.0365020976079e-29,0.23376287397728,0.23854748543227
