time,center_ci,center_cs,center_cv,center_xi,center_xv,dd,dislocation_denisty,dt,rec_grn_area
0,0,0,0,0,0,393216,58828.677699648,0,0
1e-08,9.9999796091629e-11,1,9.9999996089777e-11,0.00027367808561442,0.00027367863296663,393216,58828.678266948,1e-08,982.61056203051
