time,dislocation_denisty,dt,rec_grn_area
0,58828.677699648,0,0
1e-08,58828.678267018,1e-08,982.61046183996
2.2e-08,58828.678262084,1.2e-08,982.61043578899
3.64e-08,58828.678256162,1.44e-08,982.61040452782
5.368e-08,58828.678249056,1.728e-08,982.61036701443
7.4416e-08,58828.67824053,2.0736e-08,982.61032199837
9.92992e-08,58828.678230297,2.48832e-08,982.6102679791
1.2915904e-07,58828.678218019,2.985984e-08,982.61020315601
1.64990848e-07,58828.678203284,3.5831808e-08,982.61012536832
2.079890176e-07,58828.678185603,4.29981696e-08,982.61003202313
2.5958682112e-07,58828.678164386,5.159780352e-08,982.60992000895
3.21504185344e-07,58828.678138925,6.1917364224e-08,982.60978559202
3.958050224128e-07,58828.678108371,7.43008370688e-08,982.60962429183
4.8496602689536e-07,58828.678071707,8.916100448256e-08,982.60943073175
5.9195923227443e-07,58828.67802771,1.0699320537907e-07,982.6091984599
7.2035107872932e-07,58828.677974914,1.2839184645489e-07,982.60891973402
8.7442129447518e-07,58828.677911558,1.5407021574586e-07,982.60858526345
1.0593055533702e-06,58828.677835531,1.8488425889504e-07,982.60818389948
1.2811666640443e-06,58828.677744299,2.2186111067404e-07,982.60770226373
1.5473999968531e-06,58828.677634819,2.6623333280885e-07,982.6071243023
1.8668799962237e-06,58828.677503442,3.1947999937062e-07,982.6064307507
2.2502559954685e-06,58828.67734579,3.8337599924475e-07,982.60559849182
2.7103071945622e-06,58828.677156606,4.600511990937e-07,982.60459978554
3.2623686334746e-06,58828.676929583,5.5206143891244e-07,982.60340134433
3.9248423601695e-06,58828.676657153,6.6247372669492e-07,982.60196322395
4.7198108322034e-06,58828.676330232,7.9496847203391e-07,982.60023749258
5.6737729986441e-06,58828.675937923,9.5396216644069e-07,982.59816663378
6.818527598373e-06,58828.675467144,1.1447545997288e-06,982.59568163034
8.1922331180476e-06,58828.674902198,1.3737055196746e-06,982.59269966529
9.8406797416571e-06,58828.674224246,1.6484466236095e-06,982.58912136348
