x,y,z,id,xi,xv,jvx,jix
0,0,0,0,5.9352658948636e-12,4.14935144349e-08,-7.1865451618607e-26,2.3587572154832e-25
1,0,0,1,5.9352658948633e-12,4.14935144349e-08,-3.353721075535e-26,2.197198502094e-25
2,0,0,2,5.9352658948631e-12,4.14935144349e-08,3.8328240863257e-26,1.4217166778255e-25
3,0,0,3,5.935265894863e-12,4.14935144349e-08,8.6238541942328e-26,1.098599251047e-25
4,0,0,4,5.9352658948629e-12,4.1493514434899e-08,1.341488430214e-25,9.6935228033558e-26
5,0,0,5,5.9352658948628e-12,4.1493514434898e-08,1.8205914410047e-25,9.6935228033558e-26
6,0,0,6,5.9352658948627e-12,4.1493514434897e-08,-1.2456678280559e-25,4.0389678347316e-25
7,0,0,7,5.9352658948621e-12,4.1493514434898e-08,-2.3955150539536e-25,6.6239072489598e-25
8,0,0,8,5.9352658948615e-12,4.1493514434899e-08,-1.5810399356094e-25,6.3007898221813e-25
9,0,0,9,5.9352658948608e-12,4.14935144349e-08,-1.8205914410047e-25,6.0422958807584e-25
10,0,0,10,5.9352658948603e-12,4.1493514434901e-08,-4.3119270971164e-26,5.4283727698792e-25
11,0,0,11,5.9352658948597e-12,4.1493514434901e-08,-1.7726811399256e-25,5.2991257991678e-25
12,0,0,12,5.9352658948593e-12,4.1493514434903e-08,-2.2038738496373e-25,4.5559557175772e-25
13,0,0,13,5.9352658948585e-12,4.1493514434904e-08,-2.7787974625861e-25,1.234308570294e-24
14,0,0,14,5.9352658948572e-12,4.1493514434906e-08,-3.4974519787722e-25,1.2084591761517e-24
15,0,0,15,5.935265894856e-12,4.1493514434908e-08,-3.9286446884839e-25,1.1729162592061e-24
16,0,0,16,5.9352658948549e-12,4.149351443491e-08,-4.695209505749e-25,1.1212174709215e-24
17,0,0,17,5.9352658948538e-12,4.1493514434913e-08,-5.6534155273304e-25,1.0501316370302e-24
18,0,0,18,5.9352658948528e-12,4.1493514434916e-08,-6.2283391402793e-25,1.008126371549e-24
19,0,0,19,5.9352658948518e-12,4.1493514434919e-08,-4.3598373981955e-25,1.0339757656913e-24
20,0,0,20,5.9352658948508e-12,4.1493514434922e-08,-5.2222228176188e-25,9.9520167447786e-25
21,0,0,21,5.9352658948498e-12,4.1493514434925e-08,-5.6534155273304e-25,9.6612110606779e-25
22,0,0,22,5.9352658948489e-12,4.1493514434926e-08,-3.2099901722978e-25,9.2734701485437e-25
23,0,0,23,5.935265894848e-12,4.1493514434928e-08,-2.3955150539536e-25,8.9180409790873e-25
24,0,0,24,5.9352658948471e-12,4.149351443493e-08,-3.1620798712187e-25,8.6595470376645e-25
25,0,0,25,5.9352658948463e-12,4.1493514434931e-08,-1.1498472258977e-25,3.7804738933088e-25
26,0,0,26,5.9352658948464e-12,4.149351443493e-08,1.9643223442419e-25,-1.098599251047e-25
27,0,0,27,5.9352658948465e-12,4.1493514434929e-08,2.4434253550326e-25,-1.1632227364027e-25
28,0,0,28,5.9352658948467e-12,4.1493514434928e-08,2.9704386669024e-25,-1.324781449792e-25
29,0,0,29,5.9352658948468e-12,4.1493514434926e-08,2.4434253550326e-25,-1.5509636485369e-25
30,0,0,30,5.935265894847e-12,4.1493514434925e-08,2.0601429464001e-25,-1.8417693326376e-25
31,0,0,31,5.9352658948472e-12,4.1493514434924e-08,2.1080532474791e-25,-1.5832753912148e-25
32,0,0,32,5.9352658948475e-12,4.1493514434922e-08,2.9225283658234e-25,-5.4929962552349e-25
33,0,0,33,5.9352658948481e-12,4.1493514434921e-08,2.9225283658234e-25,-6.0422958807584e-25
34,0,0,34,5.9352658948487e-12,4.1493514434919e-08,3.0662592690606e-25,-6.2684780795034e-25
35,0,0,35,5.9352658948494e-12,4.1493514434917e-08,3.4016313766141e-25,-6.6885307343155e-25
36,0,0,36,5.9352658948501e-12,4.1493514434916e-08,3.0662592690606e-25,-7.3670773305504e-25
37,0,0,37,5.9352658948509e-12,4.1493514434914e-08,2.2038738496373e-25,-8.0133121841075e-25
38,0,0,38,5.9352658948517e-12,4.1493514434913e-08,2.7308871615071e-25,-9.1119114351544e-25
39,0,0,39,5.9352658948527e-12,4.1493514434912e-08,2.5392459571908e-25,-1.0178198943524e-24
40,0,0,40,5.9352658948538e-12,4.149351443491e-08,3.0183489679815e-25,-1.1341421679926e-24
41,0,0,41,5.935265894855e-12,4.1493514434907e-08,4.5993889035909e-25,-1.1212174709215e-24
42,0,0,42,5.9352658948561e-12,4.1493514434906e-08,3.2099901722978e-25,-1.1567603878671e-24
43,0,0,43,5.9352658948573e-12,4.1493514434904e-08,2.1080532474791e-25,-1.1923033048128e-24
44,0,0,44,5.9352658948584e-12,4.1493514434903e-08,1.6289502366884e-25,-9.0472879497987e-25
45,0,0,45,5.9352658948592e-12,4.1493514434902e-08,1.6768605377675e-25,-7.4317008159061e-25
46,0,0,46,5.93526589486e-12,4.1493514434901e-08,1.5810399356094e-25,-8.2394943828524e-25
47,0,0,47,5.9352658948608e-12,4.1493514434901e-08,-5.2701331186979e-26,-8.5949235523088e-25
48,0,0,48,5.9352658948617e-12,4.1493514434901e-08,5.7492361294886e-26,-8.7564822656981e-25
49,0,0,49,5.9352658948625e-12,4.1493514434901e-08,1.1498472258977e-25,-8.8211057510538e-25
50,0,0,50,5.9352658948634e-12,4.14935144349e-08,1.9164120431629e-25,-9.3057818912216e-25
