time,average_xi,average_xv,center_xi,center_xs,center_xv,left_jix,left_jvx,right_jix,right_jvx,total_ci,total_cv
0,0,0,0,0,0,0,0,0,0,0,0
1,9.9541477436129e-07,9.954147743613e-07,4.0188191703434e-07,0,4.0188191703435e-07,-1.2649770152429e-21,-1.2649770152429e-21,1.2649768742172e-21,1.2649768742172e-21,0.065235502652541,0.065235502652542
2.2,2.1895914876329e-06,2.1895914876329e-06,8.8399113088083e-07,0,8.8399113088085e-07,-2.7825081247564e-21,-2.7825081247565e-21,2.7825079837481e-21,2.7825079837481e-21,0.14349706773351,0.14349706773351
3.64,3.6216975751128e-06,3.6216975751129e-06,1.4620889060153e-06,0,1.4620889060154e-06,-4.602292390782e-21,-4.6022923907822e-21,4.6022922496713e-21,4.6022922496715e-21,0.23735157228259,0.2373515722826
5.368,5.3381112661572e-06,5.3381112661575e-06,2.1547956569557e-06,0,2.1547956569559e-06,-6.7831104845997e-21,-6.7831104846002e-21,6.7831103434956e-21,6.7831103434961e-21,0.34983845993888,0.3498384599389
7.4416,7.393380427768e-06,7.393380427769e-06,2.9839279271579e-06,0,2.9839279271584e-06,-9.3939708494788e-21,-9.3939708494803e-21,9.393970708907e-21,9.3939707089085e-21,0.4845325797142,0.48453257971427
9.92992,9.8509636740118e-06,9.8509636740146e-06,3.9747130278871e-06,0,3.9747130278887e-06,-1.2514923716843e-20,-1.2514923716847e-20,1.251492357782e-20,1.2514923577824e-20,0.64559275534004,0.64559275534022
12.915904,1.2783460164092e-05,1.27834601641e-05,5.1557358817667e-06,0,5.155735881771e-06,-1.6237132241473e-20,-1.6237132241484e-20,1.6237132105397e-20,1.6237132105409e-20,0.83777684531393,0.83777684531444
16.4990848,1.6271782840364e-05,1.6271782840384e-05,6.5583606855069e-06,0,6.5583606855183e-06,-2.0661450662243e-20,-2.0661450662274e-20,2.0661450530749e-20,2.0661450530779e-20,1.0663875602261,1.0663875602274
20.79890176,2.0402377778254e-05,2.0402377778307e-05,8.2152145288849e-06,0,8.2152145289143e-06,-2.5894290348203e-20,-2.5894290348281e-20,2.589429022306e-20,2.5894290223139e-20,1.3370902300757,1.3370902300792
25.958682112,2.5261110493318e-05,2.5261110493451e-05,1.0157121281972e-05,0,1.0157121282046e-05,-3.2038932448753e-20,-3.2038932448951e-20,3.2038932331805e-20,3.2038932332002e-20,1.6555121372901,1.6555121372988
32.1504185344,3.0921903687407e-05,3.0921903687731e-05,1.2407687965697e-05,0,1.2407687965875e-05,-3.9179803616699e-20,-3.917980361718e-20,3.9179803509774e-20,3.9179803510255e-20,2.0264978800579,2.0264978800792
