x,y,z,id,cv,ci
0,128,0,0,0.00014259044713889,7.0097892703187e-05
1,128,0,1,0.00014259042651395,7.0097901729011e-05
2,128,0,2,0.00014259040293029,7.0097911787261e-05
3,128,0,3,0.00014259043496278,7.0097897898013e-05
4,128,0,4,0.00014259041940418,7.0097905048255e-05
5,128,0,5,0.00014259042169489,7.0097904055534e-05
6,128,0,6,0.00014259042607706,7.0097901865903e-05
7,128,0,7,0.00014259042476673,7.0097902519521e-05
8,128,0,8,0.00014259042004885,7.0097904835906e-05
9,128,0,9,0.00014259042564214,7.0097902087364e-05
10,128,0,10,0.00014259042650874,7.0097901661224e-05
11,128,0,11,0.00014259042508488,7.0097902361137e-05
12,128,0,12,0.00014259042645685,7.0097901686766e-05
13,128,0,13,0.00014259042785568,7.0097900999215e-05
14,128,0,14,0.00014259043250831,7.0097898712335e-05
15,128,0,15,0.00014259042711345,7.0097901364037e-05
16,128,0,16,0.00014259042760353,7.009790112315e-05
17,128,0,17,0.00014259042495719,7.0097902423888e-05
18,128,0,18,0.00014259043255188,7.0097898690923e-05
19,128,0,19,0.00014259043187099,7.0097899025592e-05
20,128,0,20,0.00014259042710553,7.0097901367928e-05
21,128,0,21,0.00014259042211443,7.009790382117e-05
22,128,0,22,0.00014259042738951,7.0097901228344e-05
23,128,0,23,0.00014259042230652,7.0097903726752e-05
24,128,0,24,0.00014259042205261,7.0097903851556e-05
25,128,0,25,0.00014259042916923,7.0097900353572e-05
26,128,0,26,0.00014259043467733,7.0097897646211e-05
27,128,0,27,0.00014259042412382,7.0097902833509e-05
28,128,0,28,0.00014259042909497,7.0097900390071e-05
29,128,0,29,0.00014259042674665,7.0097901544325e-05
30,128,0,30,0.000142590425672,7.0097902072541e-05
31,128,0,31,0.00014259043348237,7.0097898233564e-05
32,128,0,32,0.00014259043203885,7.0097898943086e-05
33,128,0,33,0.00014259042873628,7.0097900566377e-05
34,128,0,34,0.00014259042276936,7.0097903499255e-05
35,128,0,35,0.000142590432061,7.0097898932199e-05
36,128,0,36,0.00014259042642144,7.0097901704175e-05
37,128,0,37,0.00014259042422781,7.0097902782395e-05
38,128,0,38,0.00014259043149466,7.0097899210567e-05
39,128,0,39,0.00014259042856416,7.0097900650976e-05
40,128,0,40,0.00014259042037034,7.0097904678432e-05
41,128,0,41,0.00014259042524044,7.0097902284664e-05
42,128,0,42,0.00014259042421084,7.0097902790736e-05
43,128,0,43,0.00014259042838874,7.0097900737202e-05
44,128,0,44,0.0001425904266399,7.0097901596798e-05
45,128,0,45,0.00014259042620822,7.0097901808975e-05
46,128,0,46,0.00014259043018451,7.0097899854539e-05
47,128,0,47,0.00014259042729317,7.00979012757e-05
48,128,0,48,0.00014259042473401,7.0097902533583e-05
49,128,0,49,0.00014259043099609,7.0097899455625e-05
50,128,0,50,0.0001425904261213,7.0097901851698e-05
51,128,0,51,0.00014259042611757,7.0097901853532e-05
52,128,0,52,0.00014259042422358,7.0097902784474e-05
53,128,0,53,0.00014259043029923,7.0097899798151e-05
54,128,0,54,0.00014259042322954,7.0097903273066e-05
55,128,0,55,0.00014259042911462,7.0097900380412e-05
56,128,0,56,0.00014259043198563,7.0097898969247e-05
57,128,0,57,0.00014259043102418,7.009789944182e-05
58,128,0,58,0.00014259042881836,7.009790052603e-05
59,128,0,59,0.00014259042942389,7.0097900228402e-05
60,128,0,60,0.0001425904221973,7.0097903780435e-05
61,128,0,61,0.00014259042275535,7.0097903506144e-05
62,128,0,62,0.00014259042660486,7.0097901614019e-05
63,128,0,63,0.00014259042226367,7.0097903747815e-05
64,128,0,64,0.00014259042271037,7.0097903528254e-05
65,128,0,65,0.00014259042574828,7.0097902035049e-05
66,128,0,66,0.00014259042881598,7.00979005272e-05
67,128,0,67,0.00014259043246782,7.0097898732237e-05
68,128,0,68,0.00014259042530488,7.0097902252989e-05
