time,average_ci,average_cv,tot_ci,tot_cv
0,0,0,0,0
1,9.9991005763129e-07,9.9992003409793e-07,0.065530105536924,0.065530759354642
2.2,2.1994707671869e-06,2.1995020354969e-06,0.14414451619836,0.14414656539833
3.64,3.6380175895612e-06,3.6380917394585e-06,0.23842112074948,0.23842598023715
5.368,5.3621272273118e-06,5.3622794337567e-06,0.35141236996911,0.35142234497068
7.4416,7.4265793703011e-06,7.4268641818138e-06,0.48670830561205,0.48672697101935
9.92992,9.8951000040289e-06,9.8956001383174e-06,0.64848527386404,0.64851805066477
12.915904,1.2840591485002e-05,1.2841430660714e-05,0.84152100356109,0.84157599978053
16.4990848,1.6344302121583e-05,1.6345663459674e-05,1.0711401838401,1.0712294004932
20.79890176,2.0493034757457e-05,2.0495186840733e-05,1.3430315258647,1.3431725647943
25.958682112,2.5373010295718e-05,2.5376343559578e-05,1.6628456027402,1.6630640515205
32.1504185344,3.1058463443729e-05,3.1063540059543e-05,2.0354474602482,2.0357801613422
39.58050224128,3.7592745202899e-05,3.7600365718697e-05,2.4636781496172,2.4641775677405
48.496602689536,4.4960347727644e-05,4.4971636936408e-05,2.9465213486789,2.9472611982644
59.195923227443,5.3051107871707e-05,5.306761998174e-05,3.4767574054802,3.4778395431233
72.035107872932,6.1624260364598e-05,6.1648098968817e-05,4.0386075272543,4.0401698140204
87.442129447518,7.0289666624966e-05,7.0323608556286e-05,4.6065035919337,4.6087280103447
105.93055533702,7.8531147355092e-05,7.8578753701123e-05,5.1466172730633,5.1497372025568
128.11666640443,8.5791022844805e-05,8.5856720065109e-05,5.6224004731571,5.626706006187
154.73999968531,9.1606470527828e-05,9.1695594890103e-05,6.0035216525117,6.0093625067178
186.68799962237,9.574711687374e-05,9.5865936571279e-05,6.2748830514374,6.2826700191353
225.02559954685,9.8282998070669e-05,9.8438750947775e-05,6.4410745615594,6.4512819821134
271.03071945622,9.9540668991079e-05,9.9741665749892e-05,6.5234972829994,6.5366698065849
326.23686334746,9.9969083212996e-05,0.00010022491684508,6.5515738374469,6.5683401503591
392.48423601695,9.9983698089359e-05,0.00010030557289303,6.5525316379842,6.5736260251175
471.98108322034,9.9868081175909e-05,0.00010026924600165,6.5449545679444,6.5712453059643
567.37729986441,9.9754582586321e-05,0.00010025084266238,6.5375163243771,6.5700392247215
681.8527598373,9.9670069767046e-05,0.00010028035916741,6.5319776922531,6.5719736183957
819.22331180476,9.9597849500801e-05,0.00010034487384733,6.5272446648845,6.5762016524584
984.06797416571,9.9518574424765e-05,0.00010042955360146,6.5220492935014,6.581751224825
1181.8815689988,9.9422436218562e-05,0.0001005299841749,6.5157487800197,6.5883330428861
1419.2578827986,9.9305691413688e-05,0.00010064886743336,6.5080977924874,6.5961241761125
1704.1094593583,9.9165463700319e-05,0.00010079102689224,6.4989078290641,6.6054407384096
2045.93135123,9.8997720816185e-05,0.00010096162199449,6.4879146314095,6.6166208590307
2456.117621476,9.8797222278733e-05,0.00010116637329517,6.474774759259,6.6300394402722
2948.3411457712,9.855769786117e-05,0.00010141206492304,6.4590772870296,6.6461410867967
3539.0093749255,9.8271787199999e-05,0.00010170686071775,6.4403398459391,6.6654608239988
