size,xi_center,xv_center,Fi,Fv,Di,Dv,rho,Zi,Zv,ki,kv,Zi_scaled,Zv_scaled,ki_scaled,kv_scaled,super_saturation_center
250.0,2.3461496398223e-13,3.7880978181589e-11,3.1844949084600624e-07,1.4156819110956876e-09,1.0,0.000181,1.2223099629457562e-10,1357328.1321907751,206474.26223089205,0.00016590756989633387,2.52375547816694e-05,0.0001357328132190775,2.0647426223089206e-05,1.6590756989633386e+16,2523755478166940.0,-34.009034930769
250.0,1.6871255544605e-12,3.9406114379574e-11,8.65143885293e-07,7.3461001995218745e-09,1.0,0.000181,1.2223099629457562e-10,512791.6431623556,1029946.4838551135,6.267903343526722e-05,0.00012589138485170556,5.127916431623556e-05,0.00010299464838551135,6267903343526722.0,1.2589138485170556e+16,-250.85755528711
250.0,1.0680676920169e-11,4.8849346671149e-11,2.187019184852875e-06,2.518913801146875e-08,1.0,0.000181,1.2223099629457562e-10,204764.09886745922,2848891.9061193797,2.5028519809930524e-05,0.00034822289602052435,2.047640988674592e-05,0.000284889190611938,2502851980993052.0,3.482228960205243e+16,-1593.524740693
250.0,6.6365606132264e-11,1.0731867162029e-10,5.46195111167675e-06,7.058867328451875e-08,1.0,0.000181,1.2223099629457562e-10,82300.93010514061,3633968.4809002136,1.0059724682721568e-05,0.0004441835879235186,8.230093010514061e-06,0.0003633968480900214,1005972468272156.8,4.441835879235186e+16,-9906.8510456475
250.0,4.110337279343e-10,4.6923733411541e-10,1.3602838034879374e-05,1.8517856444253747e-07,1.0,0.000181,1.2223099629457562e-10,33094.21371146862,2180316.690537681,4.0451387135384145e-06,0.00026650228132211264,3.309421371146862e-06,0.0002180316690537681,404513871353841.44,2.665022813221126e+16,-61363.117213203
250.0,2.3731242001015e-09,2.6877204470217e-09,3.361948070061813e-05,4.711703658644875e-07,1.0,0.000181,1.2223099629457562e-10,14166.759876781925,968534.9514329385,1.731617174005074e-06,0.00011838499205976647,1.4166759876781926e-06,9.685349514329385e-05,173161717400507.38,1.1838499205976646e+16,-354283.66771697
250.0,5.3956212385358e-09,1.4217475856167e-08,5.7023734075558125e-05,1.179600943821125e-06,1.0,0.000181,1.2223099629457562e-10,10568.520575219722,458388.8414677823,1.291800799268828e-06,5.602932478292331e-05,1.0568520575219722e-06,4.583888414677823e-05,129180079926882.8,5602932478292330.0,-805293.09771627
250.0,2.9099548408031e-09,5.5891061395689e-08,3.5281856259611876e-05,2.8490396373773124e-06,1.0,0.000181,1.2223099629457562e-10,12124.537386248461,281629.120823275,1.4819942843319793e-06,3.442380802379432e-05,1.2124537386248462e-06,2.8162912082327503e-05,148199428433197.9,3442380802379431.5,-433005.60828586
250.0,1.1903980355458e-09,1.8015418359181e-07,1.8544395503743126e-05,5.8846871983215e-06,1.0,0.000181,1.2223099629457562e-10,15578.314941724917,180468.10415622845,1.9041529559177103e-06,2.2058796170409048e-05,1.5578314941724917e-06,1.8046810415622847e-05,190415295591771.0,2205879617040904.5,-172881.90657244
250.0,4.2248440470237e-10,5.6158265691134e-07,1.143054202356375e-05,8.9767407616425e-06,1.0,0.000181,1.2223099629457562e-10,27055.536006391263,88313.36263039903,3.3070251213449675e-06,1.0794630300437816e-05,2.7055536006391264e-06,8.831336263039903e-06,330702512134496.75,1079463030043781.5,-47907.711482964
250.0,1.4644376727207e-10,1.6910433900023e-06,9.191050083908125e-06,1.1222248058078126e-05,1.0,0.000181,1.2223099629457562e-10,62761.633732301954,36664.56511594013,7.671417020174513e-06,4.481546322828704e-06,6.276163373230196e-06,3.6664565115940135e-06,767141702017451.2,448154632282870.4,23836.805482805
250.0,9.9657291664182e-11,2.4949836204215e-06,8.644044541691249e-06,1.2165438209859375e-05,1.0,0.000181,1.2223099629457562e-10,86737.70275454936,26939.000821565813,1.0602035823991324e-05,3.2927809096003805e-06,8.673770275454936e-06,2.6939000821565815e-06,1060203582399132.2,329278090960038.0,52551.104021518
250.0,9.9481258139763e-11,2.4994138282205e-06,8.6415269399425e-06,1.2170438808006252e-05,1.0,0.000181,1.2223099629457562e-10,86865.87907645744,26902.30511458434,1.0617702943519523e-05,3.288295556776301e-06,8.686587907645744e-06,2.690230511458434e-06,1061770294351952.1,328829555677630.06,52697.124797394
