time,center_ci,center_cv,center_xi,center_xs,center_xv
0,0,0,0,0,0
1,0,0,1.3531449034565e-39,1,3.402573372833e-42
2.2,0,0,1.8416848698603e-39,1,3.4821670748173e-42
3.64,0,0,2.0596443784153e-39,1,3.4597892718888e-42
5.368,0,0,2.2036653624212e-39,1,3.4567603040373e-42
7.4416,0,0,2.3201441244446e-39,1,3.4570309796822e-42
9.92992,0,0,2.421333718903e-39,1,3.4570221904359e-42
12.915904,0,0,2.5117289316364e-39,1,3.4570329824831e-42
16.4990848,0,0,2.5936114029092e-39,1,3.4570482296182e-42
20.79890176,0,0,2.6683106621086e-39,1,3.4570632642072e-42
25.958682112,0,0,2.7366125774638e-39,1,3.4570768450375e-42
32.1504185344,0,0,2.7989471897859e-39,1,3.457088932993e-42
39.58050224128,0,0,2.8554254328901e-39,1,3.4571001484225e-42
48.496602689536,0,0,2.9058347268089e-39,1,3.4571094166508e-42
59.195923227443,0,0,2.9496925109477e-39,1,3.457117328046e-42
72.035107872932,0,0,2.9863299605728e-39,1,3.4571233796563e-42
87.442129447518,0,0,3.0151701484908e-39,1,3.4571281462583e-42
105.93055533702,0,0,3.0151701484908e-39,1,3.4571281462583e-42
128.11666640443,0,0,3.0151701484908e-39,1,3.4571281462583e-42
154.73999968531,0,0,3.0151701484908e-39,1,3.4571281462583e-42
186.68799962237,0,0,3.0151701484908e-39,1,3.4571281462583e-42
225.02559954685,0,0,3.0151701484908e-39,1,3.4571281462583e-42
271.03071945622,0,0,3.0151701484908e-39,1,3.4571281462583e-42
326.23686334746,0,0,3.0151701484908e-39,1,3.4571281462583e-42
392.48423601695,0,0,3.0151701484908e-39,1,3.4571281462583e-42
471.98108322034,0,0,3.0151701484908e-39,1,3.4571281462583e-42
567.37729986441,0,0,3.0151701484908e-39,1,3.4571281462583e-42
681.8527598373,0,0,3.0151701484908e-39,1,3.4571281462583e-42
819.22331180476,0,0,3.0151701484908e-39,1,3.4571281462583e-42
984.06797416571,0,0,3.0151701484908e-39,1,3.4571281462583e-42
1181.8815689988,0,0,3.0151701484908e-39,1,3.4571281462583e-42
1419.2578827986,0,0,3.0151701484908e-39,1,3.4571281462583e-42
1704.1094593583,0,0,3.0151701484908e-39,1,3.4571281462583e-42
2045.93135123,0,0,3.0151701484908e-39,1,3.4571281462583e-42
2456.117621476,0,0,3.0151701484908e-39,1,3.4571281462583e-42
2948.3411457712,0,0,3.0151701484908e-39,1,3.4571281462583e-42
3539.0093749255,0,0,3.0151701484908e-39,1,3.4571281462583e-42
4247.8112499105,0,0,3.0151701484908e-39,1,3.4571281462583e-42
5098.3734998927,0,0,3.0151701484908e-39,1,3.4571281462583e-42
6119.0481998712,0,0,3.0151701484908e-39,1,3.4571281462583e-42
7343.8578398454,0,0,3.0151701484908e-39,1,3.4571281462583e-42
8813.6294078145,0,0,3.0151701484908e-39,1,3.4571281462583e-42
10577.355289377,0,0,3.0151701484908e-39,1,3.4571281462583e-42
12693.826347253,0,0,3.0151701484908e-39,1,3.4571281462583e-42
15233.591616703,0,0,3.0151701484908e-39,1,3.4571281462583e-42
18281.309940044,0,0,3.0151701484908e-39,1,3.4571281462583e-42
21938.571928053,0,0,3.0151701484908e-39,1,3.4571281462583e-42
26327.286313664,0,0,3.0151701484908e-39,1,3.4571281462583e-42
31593.743576396,0,0,3.0151701484908e-39,1,3.4571281462583e-42
37913.492291676,0,0,3.0151701484908e-39,1,3.4571281462583e-42
45497.190750011,0,0,3.0151701484908e-39,1,3.4571281462583e-42
54597.628900013,0,0,3.0151701484908e-39,1,3.4571281462583e-42
65518.154680015,0,0,3.0151701484908e-39,1,3.4571281462583e-42
78622.785616018,0,0,3.0151701484908e-39,1,3.4571281462583e-42
94348.342739222,0,0,3.0151701484908e-39,1,3.4571281462583e-42
113219.01128707,0,0,3.0151701484908e-39,1,3.4571281462583e-42
135863.81354448,0,0,3.0151701484908e-39,1,3.4571281462583e-42
163037.57625338,0,0,3.0151701484908e-39,1,3.4571281462583e-42
195646.09150405,0,0,3.0151701484908e-39,1,3.4571281462583e-42
234776.30980486,0,0,3.0151701484908e-39,1,3.4571281462583e-42
281732.57176583,0,0,3.0151701484908e-39,1,3.4571281462583e-42
338080.086119,0,0,3.0151701484908e-39,1,3.4571281462583e-42
405697.1033428,0,0,3.0151701484908e-39,1,3.4571281462583e-42
486837.52401136,0,0,3.0151701484908e-39,1,3.4571281462583e-42
584206.02881363,0,0,3.0151701484908e-39,1,3.4571281462583e-42
701048.23457636,0,0,3.0151701484908e-39,1,3.4571281462583e-42
841258.88149163,0,0,3.0151701484908e-39,1,3.4571281462583e-42
1009511.65779,0,0,3.0151701484908e-39,1,3.4571281462583e-42
1211414.9893479,0,0,3.0151701484908e-39,1,3.4571281462583e-42
1453698.9872175,0,0,3.0151701484908e-39,1,3.4571281462583e-42
1744439.784661,0,0,3.0151701484908e-39,1,3.4571281462583e-42
2093328.7415933,0,0,3.0151701484908e-39,1,3.4571281462583e-42
2511995.4899119,0,0,3.0151701484908e-39,1,3.4571281462583e-42
3014395.5878943,0,0,3.0151701484908e-39,1,3.4571281462583e-42
3617275.7054731,0,0,3.0151701484908e-39,1,3.4571281462583e-42
4340731.8465678,0,0,3.0151701484908e-39,1,3.4571281462583e-42
5208879.2158813,0,0,3.0151701484908e-39,1,3.4571281462583e-42
6250656.0590576,0,0,3.0151701484908e-39,1,3.4571281462583e-42
7500788.2708691,0,0,3.0151701484908e-39,1,3.4571281462583e-42
9000946.9250429,0,0,3.0151701484908e-39,1,3.4571281462583e-42
10801137.310052,0,0,3.0151701484908e-39,1,3.4571281462583e-42
12961365.772062,0,0,3.0151701484908e-39,1,3.4571281462583e-42
15553639.926474,0,0,3.0151701484908e-39,1,3.4571281462583e-42
18664368.911769,0,0,3.0151701484908e-39,1,3.4571281462583e-42
22397243.694123,0,0,3.0151701484908e-39,1,3.4571281462583e-42
26876693.432947,0,0,3.0151701484908e-39,1,3.4571281462583e-42
32252033.119537,0,0,3.0151701484908e-39,1,3.4571281462583e-42
38702440.743444,0,0,3.0151701484908e-39,1,3.4571281462583e-42
46442929.892133,0,0,3.0151701484908e-39,1,3.4571281462583e-42
55731516.87056,0,0,3.0151701484908e-39,1,3.4571281462583e-42
66877821.244672,0,0,3.0151701484908e-39,1,3.4571281462583e-42
80253386.493606,0,0,3.0151701484908e-39,1,3.4571281462583e-42
96304064.792327,0,0,3.0151701484908e-39,1,3.4571281462583e-42
115564878.75079,0,0,3.0151701484908e-39,1,3.4571281462583e-42
138677855.50095,0,0,3.0151701484908e-39,1,3.4571281462583e-42
166413427.60114,0,0,3.0151701484908e-39,1,3.4571281462583e-42
199696114.12137,0,0,3.0151701484908e-39,1,3.4571281462583e-42
239635337.94564,0,0,3.0151701484908e-39,1,3.4571281462583e-42
287562406.53477,0,0,3.0151701484908e-39,1,3.4571281462583e-42
345074888.84173,0,0,3.0151701484908e-39,1,3.4571281462583e-42
414089867.61007,0,0,3.0151701484908e-39,1,3.4571281462583e-42
496907842.13209,0,0,3.0151701484908e-39,1,3.4571281462583e-42
596289411.5585,0,0,3.0151701484908e-39,1,3.4571281462583e-42
715547294.8702,0,0,3.0151701484908e-39,1,3.4571281462583e-42
858656754.84424,0,0,3.0151701484908e-39,1,3.4571281462583e-42
1030388106.8131,0,0,3.0151701484908e-39,1,3.4571281462583e-42
1236465729.1757,0,0,3.0151701484908e-39,1,3.4571281462583e-42
1483758876.0109,0,0,3.0151701484908e-39,1,3.4571281462583e-42
1780510652.213,0,0,3.0151701484908e-39,1,3.4571281462583e-42
2136612783.6556,0,0,3.0151701484908e-39,1,3.4571281462583e-42
2563935341.3868,0,0,3.0151701484908e-39,1,3.4571281462583e-42
3076722410.6641,0,0,3.0151701484908e-39,1,3.4571281462583e-42
3692066893.7969,0,0,3.0151701484908e-39,1,3.4571281462583e-42
4430480273.5563,0,0,3.0151701484908e-39,1,3.4571281462583e-42
5316576329.2676,0,0,3.0151701484908e-39,1,3.4571281462583e-42
6379891596.1211,0,0,3.0151701484908e-39,1,3.4571281462583e-42
7655869916.3453,0,0,3.0151701484908e-39,1,3.4571281462583e-42
9187043900.6144,0,0,3.0151701484908e-39,1,3.4571281462583e-42
11024452681.737,0,0,3.0151701484908e-39,1,3.4571281462583e-42
13229343219.085,0,0,3.0151701484908e-39,1,3.4571281462583e-42
15875211863.902,0,0,3.0151701484908e-39,1,3.4571281462583e-42
19050254237.682,0,0,3.0151701484908e-39,1,3.4571281462583e-42
22860305086.218,0,0,3.0151701484908e-39,1,3.4571281462583e-42
27432366104.462,0,0,3.0151701484908e-39,1,3.4571281462583e-42
32918839326.354,0,0,3.0151701484908e-39,1,3.4571281462583e-42
39502607192.625,0,0,3.0151701484908e-39,1,3.4571281462583e-42
