time,center_xi,center_xs,center_xv
0,0,0,0
1,0.049987506246495,1,0.049987506246495
2,0.079964427758861,1,0.079964427758861
3,0.093938743008491,1,0.093938743008491
4,0.0991188107007,1,0.0991188107007
5,0.10046692554641,1,0.10046692554641
5.25,0.10051915344356,1,0.10051915344356
5.75,0.10040822332873,1,0.10040822332873
6.75,0.10016205288489,1,0.10016205288489
7.75,0.1000079912489,1,0.1000079912489
8.75,0.099934035176595,1,0.099934035176595
8.875,0.099922679003098,1,0.099922679003098
8.890625,0.099921015061636,1,0.099921015061636
8.892578125,0.099920776866098,1,0.099920776866098
8.892822265625,0.099920743322453,1,0.099920743322453
