time,average_xi,average_xv,left_xi,left_xs,left_xv
0,0,0,0,0,0
1,9.9844894562061e-07,9.985486906603e-07,9.998198550251e-07,1,9.9991973701863e-07
2.2,2.1961729653306e-06,2.1964853111491e-06,2.1991888224238e-06,1,2.1995015971391e-06
3.64,3.6323609151427e-06,3.6331014156942e-06,3.6373496415232e-06,1,3.6380911589866e-06
5.368,5.3534033017019e-06,5.3549231131025e-06,5.360757168414e-06,1,5.3622790671977e-06
7.4416,7.413830579251e-06,7.4166742007675e-06,7.4240180173735e-06,1,7.4268655451778e-06
9.92992,9.8770291464792e-06,9.8820221394259e-06,9.8906080637557e-06,1,9.8956079174988e-06
12.915904,1.2815436769345e-05,1.2823813686496e-05,1.2833069038582e-05,1,1.28414574712e-05
16.4990848,1.6309667929145e-05,1.6323255696533e-05,1.6332134192014e-05,1,1.6345740649938e-05
20.79890176,2.044566807875e-05,2.0467145564351e-05,2.0473881090373e-05,1,2.0495388147059e-05
25.958682112,2.530851583052e-05,2.5341776090137e-05,2.5343529028916e-05,1,2.5376835145992e-05
32.1504185344,3.0970960557083e-05,3.1021606999903e-05,3.1013966101335e-05,1,3.106468251201e-05
39.58050224128,3.7474492114465e-05,3.755050068022e-05,3.7526799101648e-05,1,3.7602912969275e-05
48.496602689536,4.4801396110339e-05,4.4913967376362e-05,4.4864375347244e-05,1,4.4977103178121e-05
59.195923227443,5.2839099210298e-05,5.3003700142977e-05,5.2914077490638e-05,1,5.3078908555863e-05
72.035107872932,6.1344506599489e-05,6.1582055688752e-05,6.1432595494332e-05,1,6.1670478982786e-05
87.442129447518,6.9925614287898e-05,7.0263699607165e-05,7.0027474082724e-05,1,7.0366039406195e-05
105.93055533702,7.8065147348416e-05,7.8539108870337e-05,7.81807233809e-05,1,7.8655364701365e-05
128.11666640443,8.5205044602374e-05,8.5858748403177e-05,8.5333364487623e-05,1,8.5988016733479e-05
154.73999968531,9.0882202307222e-05,9.1768435683602e-05,9.1021353927889e-05,1,9.1908889002812e-05
186.68799962237,9.4865036407622e-05,9.6045661585442e-05,9.5012408372481e-05,1,9.6194789206093e-05
225.02559954685,9.7220490953279e-05,9.876672649328e-05,9.7373238576562e-05,1,9.8921800569968e-05
271.03071945622,9.8269758891995e-05,0.00010026307231289,9.8425328341478e-05,1,0.00010042167259498
