time,average_xi,average_xv,left_jix,left_jvx,right_jix,right_jvx,total_ci,total_cv,xDi,xDv
0,0,0,0,0,0,0,0,0,0,0
25.958682112,2.0526642983573e-12,3.9151770070318e-11,-2.4384187098769e-18,1.4699694508246e-16,1.9203149200798e-21,-2.5485447479152e-16,1.0263321491786e-08,1.9575885035159e-07,1,0.00018099999999999
186.68799962237,1.476146359267e-11,5.2496108844901e-11,-2.5735333801236e-18,1.3819640982273e-16,1.1415876687468e-21,-2.127975123393e-16,7.380731796335e-08,2.6248054422451e-07,1,0.00018099999999999
1181.8815689988,9.3338191366098e-11,1.3500993249839e-10,-1.1848544182826e-17,9.6333329056756e-17,-2.5283606963305e-23,-7.2103673898303e-17,4.6669095683049e-07,6.7504966249195e-07,1,0.00018099999999999
7343.8578398454,5.5681295749899e-10,6.2293746917943e-10,-1.1120600219669e-15,3.0580204578071e-17,-6.958822457273e-24,5.3446700539787e-18,2.784064787495e-06,3.1146873458971e-06,1,0.00018099999999999
45497.190750011,1.7728141739574e-09,1.9951761634371e-09,-1.4125773739158e-12,5.7022008575878e-18,1.7076382005057e-24,2.1097039214698e-19,8.8640708697869e-06,9.9758808171854e-06,1,0.00018099999999999
281732.57176583,1.9058298608741e-09,3.4541364896646e-09,-8.8745271929224e-12,4.5895249366551e-17,4.4042616498543e-19,4.2521212542916e-20,9.5291493043703e-06,1.7270682448323e-05,1,0.00018099999999999
1744439.784661,1.3256606570885e-09,1.0110255810755e-08,-2.6828930032675e-12,1.4852886678074e-16,2.5980274877421e-16,3.4268531218175e-21,6.6283032854425e-06,5.0551279053774e-05,1,0.00018099999999999
10801137.310052,5.2700242575207e-10,4.7489699697243e-08,-5.6130966895502e-13,1.1351066098096e-16,-1.8120852325731e-17,-3.3188077781723e-25,2.6350121287603e-06,0.00023744849848621,1,0.00018099999999999
66877821.244672,3.5375627796007e-11,2.7101847338171e-07,-4.9953776560387e-14,-1.9290544131363e-16,1.5189775759135e-19,4.262567965855e-29,1.7687813898004e-07,0.0013550923669085,1,0.00018099999999999
372810460.94192,2.7074344056479e-12,1.4741061423583e-06,-4.2256813776147e-17,-2.63610699006e-13,9.9313259586146e-24,1.0189891417216e-29,1.353717202824e-08,0.0073705307117916,1,0.00018099999999999
2164348355.7558,7.6323990545632e-13,7.4583819653043e-06,-2.7593099935365e-18,-5.259663168749e-12,-4.3075928287849e-35,7.5218336859638e-19,3.8161995272816e-09,0.037291909826521,1,0.00018099999999999
13257078791.185,3.6317669549658e-13,2.7200063274926e-05,-1.69572492912e-18,-1.2483616302857e-11,7.0876833069829e-66,5.6262369962644e-16,1.8158834774829e-09,0.13600031637463,1,0.00018099999999999
81940341852.096,2.7189095371442e-13,6.3627902411124e-05,-1.4770436112805e-18,-1.6317050011553e-11,-4.2160275996666e-111,3.7236170792815e-16,1.3594547685721e-09,0.31813951205562,1,0.00018099999999999
262623860035.57,2.6094114902013e-13,7.0655440937325e-05,-1.4491350935e-18,-1.694482683072e-11,5.0607670458343e-127,2.7380444238929e-16,1.3047057451006e-09,0.35327720468663,1,0.00018099999999999
