time,average_xi,average_xv,left_jix,left_jvx,left_xi,left_xs,left_xv,right_jix,right_jvx,total_ci,total_cv
0,0,0,0,0,0,0,0,0,0,0,0
1,9.987189989547e-08,9.9881877097272e-08,-3.2964815834377e-28,-3.2968109019279e-28,1.0000880841047e-07,1,1.0001879928943e-07,6.4057696886922e-29,6.4064096250376e-29,0.0063395811796595,0.006340214503756
2.2,2.1968187269425e-07,2.1971311612567e-07,-3.295975589542e-28,-3.2967000534621e-28,2.1998331053298e-07,1,2.2001459681663e-07,6.4051117529846e-29,6.4065196029238e-29,0.013944773926424,0.013946757169659
3.64,3.6342741855176e-07,3.6350149787128e-07,-3.29526955662e-28,-3.2964681211554e-28,3.6392625964549e-07,1,3.6400044060762e-07,6.4040110486002e-29,6.4063403307787e-29,0.023069328061591,0.023074030403895
5.368,5.3587422383373e-07,5.3602630252031e-07,-3.2942737345724e-28,-3.2960411007943e-28,5.3660989313424e-07,1,5.3676218053739e-07,6.4019823441833e-29,6.4054171241681e-29,0.034015755659366,0.034025409177325
7.4416,7.4272680092875e-07,7.4301146966161e-07,-3.2928385412899e-28,-3.2952882771238e-28,7.4374657005047e-07,1,7.4403162953928e-07,6.3982807092326e-29,6.4030414734223e-29,0.047146162771758,0.0471642327248
9.92992,9.9080513304936e-07,9.9130532644284e-07,-3.2907095221096e-28,-3.2939777418583e-28,9.9216566387083e-07,1,9.9266654395898e-07,6.3919553437917e-29,6.3983058406754e-29,0.062893462332888,0.062925213171981
12.915904,1.2882490222984e-06,1.2890891511919e-06,-3.2875286637537e-28,-3.2917783412249e-28,1.290018201091e-06,1,1.2908594835022e-06,6.382077981531e-29,6.3903329995021e-29,0.08177434558695,0.081827674554633
16.4990848,1.6447499607528e-06,1.6461150206796e-06,-3.2828645465734e-28,-3.2882905802833e-28,1.6470090683074e-06,1,1.6483760027243e-06,6.3683630354764e-29,6.378897253121e-29,0.10440400059824,0.1044906506793
20.79890176,2.0718063958302e-06,2.0739696275856e-06,-3.276185561921e-28,-3.2830207347684e-28,2.0746526588418e-06,1,2.0768188615486e-06,6.3516285149582e-29,6.3648875916856e-29,0.131512315763,0.13164963149783
25.958682112,2.5829907616374e-06,2.5863535574588e-06,-3.2666784168904e-28,-3.2752003293322e-28,2.5865403241241e-06,1,2.5899077391853e-06,6.3323951934237e-29,6.348910350772e-29,0.16396083019197,0.16417429080625
32.1504185344,3.1942031702371e-06,3.1993524661343e-06,-3.2530398468565e-28,-3.2635786824106e-28,3.1985945051401e-06,1,3.2037508759741e-06,6.3094147096897e-29,6.3298194701802e-29,0.20275883730297,0.20308569980776
39.58050224128,3.9238633658699e-06,3.931653883141e-06,-3.233319505258e-28,-3.2462663198483e-28,3.9292611064111e-06,1,3.9370623311631e-06,6.2797105886559e-29,6.3047582883924e-29,0.24907556952316,0.24957008917006
48.496602689536,4.7929537505289e-06,4.8046253015821e-06,-3.2047148296287e-28,-3.220529784886e-28,4.799552841807e-06,1,4.811240442207e-06,6.2388925735778e-29,6.2694741354902e-29,0.30424292942893,0.30498380594647
59.195923227443,5.8247644070298e-06,5.8421081821747e-06,-3.1632707397153e-28,-3.1824901200029e-28,5.8327943340386e-06,1,5.8501619746084e-06,6.1811146456024e-29,6.2182755403993e-29,0.36973930454318,0.37084023754442
72.035107872932,7.044098119124e-06,7.0696904055346e-06,-3.1034993063368e-28,-3.1267391330139e-28,7.0538267164862e-06,1,7.0794542528215e-06,6.0987800056118e-29,6.1437338916029e-29,0.44713910429673,0.44876362908741
