x,Ci,Cv,Ji,Jv,Di,Dv,Zi,Zv,rho,rho,ki,kv
5.0,2.8191546925754e-12,1.6391319537468e-08,2.2477266721532e-13,2.3601243238656e-13,1.0,0.000181,0.07973051915430082,0.07955040395331725,1.527887453682195e+25,1.527887453682195e+25,1.2181925989142416e+24,1.2154406413562393e+24
50.0,1.5505562559048e-10,9.3470852362508e-07,1.500778876308e-12,1.613683832067e-12,1.0,0.000181,0.009678970824778279,0.009538139497312451,1.5278874536821947e+22,1.5278874536821947e+22,1.4788378087734736e+20,1.457320366941429e+20
250.0,9.9481270948796e-11,2.4994135052971e-06,1.3826443396978e-12,1.947270151048e-12,1.0,0.000181,0.013898539157279774,0.004304369245734614,1.2223099629457555e+20,1.2223099629457555e+20,1.6988322882334774e+18,5.261273413258726e+17
500.0,3.0939330410682e-11,7.970529830408e-06,1.2259383290487e-12,2.3552830407125e-12,1.0,0.000181,0.03962394508141771,0.0016325907764569963,1.5278874536821944e+19,1.5278874536821944e+19,6.054092855529041e+17,2.494414964345917e+16
1000.0,3.4244448520772e-11,7.1942441825051e-06,1.2879156120163e-12,2.164455482053e-12,1.0,0.000181,0.037609471539162796,0.0016622062411341897,1.909859317102743e+18,1.909859317102743e+18,7.182879963038051e+16,3174580076576461.0
2000.0,2.0078388679313e-12,0.00012269119686612,8.5502999783192e-13,5.3114039714422e-12,1.0,0.000181,0.42584592393754556,0.00023917586650414656,2.3873241463784288e+17,2.3873241463784288e+17,1.0166322568529342e+17,57099032133633.27
3000.0,9.1437740332853e-13,0.00026941096209392,7.5894518890497e-13,7.3157081616966e-12,1.0,0.000181,0.8300130625956488,0.0001500246197196497,7.073553026306459e+16,7.073553026306459e+16,5.871141410797344e+16,10612071028384.037
4000.0,5.3068980746936e-13,0.00046419424054845,6.9823605514095e-13,9.2266759716218e-12,1.0,0.000181,1.315714086295625,0.0001098163352484149,2.984155182973036e+16,2.984155182973036e+16,3.926295009929722e+16,3277089860066.6187
5000.0,3.5403922187894e-13,0.00069580740761822,6.5676890486074e-13,1.097519631981e-11,1.0,0.000181,1.855073857001401,8.714544152873798e-05,1.5278874536821948e+16,1.5278874536821948e+16,2.8343440717662784e+16,1331484267573.5405
