time,average_xi,average_xv,left_xi,left_xs,left_xv
0,0,0,0,0,0
1,9.6072153452064e-07,9.6072153452064e-07,4.0687737425006e-23,0,4.0687737425006e-23
2.2,2.1132738572074e-06,2.1132738572074e-06,1.0390945724904e-34,0,1.0390945724904e-34
3.64,3.4954511076278e-06,3.4954511076278e-06,3.2552224197843e-38,0,3.2552224197843e-38
5.368,5.1519979041015e-06,5.1519979041015e-06,4.7976077103412e-38,0,4.7976077103412e-38
7.4416,7.1355268802798e-06,7.1355268802798e-06,6.6439650473359e-38,0,6.6439650473359e-38
9.92992,9.5072199828134e-06,9.5072199828134e-06,8.8507055119929e-38,0,8.8507055119929e-38
12.915904,1.233702610667e-05,1.233702610667e-05,1.1481923167756e-37,0,1.1481923167756e-37
16.4990848,1.5702822600387e-05,1.5702822600387e-05,1.4608259309517e-37,0,1.4608259309517e-37
20.79890176,1.96876660572e-05,1.96876660572e-05,1.8303769573949e-37,0,1.8303769573949e-37
25.958682112,2.4373791831473e-05,2.4373791831473e-05,2.2639463402332e-37,0,2.2639463402332e-37
32.1504185344,2.9831508630027e-05,2.9831508630027e-05,2.7671748633047e-37,0,2.7671748633047e-37
39.58050224128,3.6100863379686e-05,3.6100863379686e-05,3.3423926669046e-37,0,3.3423926669046e-37
48.496602689536,4.3164617077307e-05,4.3164617077307e-05,3.9859904354527e-37,0,3.9859904354528e-37
59.195923227443,5.0913890446392e-05,5.0913890446392e-05,4.6852613082924e-37,0,4.6852613082925e-37
72.035107872932,5.9114100595379e-05,5.911410059538e-05,5.4156206991212e-37,0,5.4156206991213e-37
87.442129447518,6.7388077827963e-05,6.7388077827964e-05,6.1399592556327e-37,0,6.1399592556328e-37
105.93055533702,7.5240242502479e-05,7.5240242502481e-05,6.8122789538949e-37,0,6.8122789538951e-37
128.11666640443,8.2139455240444e-05,8.2139455240447e-05,7.3866532341405e-37,0,7.3866532341409e-37
154.73999968531,8.7650208959839e-05,8.7650208959843e-05,7.8295282178951e-37,0,7.8295282178955e-37
186.68799962237,9.15626487615e-05,9.1562648761505e-05,8.1300738195993e-37,0,8.1300738195998e-37
225.02559954685,9.3953980879548e-05,9.3953980879554e-05,8.3028472207897e-37,0,8.3028472207902e-37
271.03071945622,9.5142850994206e-05,9.5142850994213e-05,8.3808640601896e-37,0,8.3808640601902e-37
326.23686334746,9.5559100520667e-05,9.5559100520673e-05,8.4027265436169e-37,0,8.4027265436175e-37
392.48423601695,9.5597629215067e-05,9.5597629215072e-05,8.4004753871064e-37,0,8.4004753871071e-37
471.98108322034,9.5524497752714e-05,9.5524497752719e-05,8.3934251137598e-37,0,8.3934251137606e-37
567.37729986441,9.5462822569644e-05,9.5462822569648e-05,8.3889932222944e-37,0,8.3889932222952e-37
681.8527598373,9.543752881132e-05,9.5437528811326e-05,8.3876078269822e-37,0,8.387607826983e-37
819.22331180476,9.5434031892762e-05,9.5434031892769e-05,8.3876152567235e-37,0,8.3876152567244e-37
984.06797416571,9.5436311441685e-05,9.5436311441692e-05,8.3878346521043e-37,0,8.3878346521053e-37
1181.8815689988,9.5437844348757e-05,9.5437844348764e-05,8.387928340661e-37,0,8.3879283406619e-37
1419.2578827986,9.5438170135336e-05,9.5438170135343e-05,8.3879373740464e-37,0,8.3879373740473e-37
1704.1094593583,9.5438117132485e-05,9.5438117132492e-05,8.3879306215593e-37,0,8.3879306215602e-37
