time,average_xi,average_xv,left_jix,left_jvx,right_jix,right_jvx,total_ci,total_cv,xDi,xDv
0,0,0,0,0,0,0,0,0,0,0
25.958682112,9.8198872473468e-17,3.7001418314406e-11,-1.3934967008387e-17,1.4698132071285e-16,2.0641560814114e-18,-1.1576129889534e-16,4.9099436236734e-12,1.8500709157203e-06,1,0.00018099999999999
186.68799962237,5.8226777069927e-16,3.7002000424366e-11,-3.465415901127e-17,1.3808742238194e-16,8.203290783526e-19,-1.0800830135545e-16,2.9113388534963e-11,1.8501000212183e-06,1,0.00018099999999999
1181.8815689988,3.5787343840659e-15,3.7005603289114e-11,-8.7084349976165e-17,9.5740869643101e-17,3.1640200812085e-19,-6.574679006049e-17,1.789367192033e-10,1.8502801644557e-06,1,0.00018099999999999
7343.8578398454,2.2120016989482e-14,3.7027887749485e-11,-2.1807318515701e-16,2.8212395933638e-17,1.3041332258615e-19,2.6990698296225e-18,1.1060008494741e-09,1.8513943874743e-06,1,0.00018099999999999
45497.190750011,1.3673370672767e-13,3.7165799932666e-11,-5.4421154168653e-16,-1.998993744566e-18,5.3002163334411e-20,-3.4997285074752e-18,6.8366853363834e-09,1.8582899966333e-06,1,0.00018099999999999
281732.57176583,8.4336779099196e-13,3.8019508237672e-11,-1.3555663804524e-15,-1.8748781970921e-17,2.1309438956347e-20,-9.3195578063201e-19,4.2168389549598e-08,1.9009754118836e-06,1,0.00018099999999999
1744439.784661,5.1668262092588e-12,4.3298109939802e-11,-3.3694597104191e-15,-5.3422906778591e-17,1.04621730585e-20,-1.2239308951791e-19,2.5834131046294e-07,2.1649054969901e-06,1,0.00018099999999999
10801137.310052,3.0690241411649e-11,7.5463156761352e-11,-8.4947655610371e-15,-1.3427800748927e-16,1.3919100599305e-18,-6.2855660177995e-20,1.5345120705824e-06,3.7731578380676e-06,1,0.00018099999999999
66877821.244672,1.2659901920116e-10,2.2762728768843e-10,-2.4787804752867e-14,-3.353712205471e-16,1.6962000513094e-15,-6.8900070939039e-21,6.3299509600579e-06,1.1381364384421e-05,1,0.00018099999999999
402587371.14868,9.2251085971354e-11,6.0046855758594e-10,-1.6934569377133e-14,-8.0280872526011e-16,6.2785041940995e-15,-5.2310265646302e-19,4.6125542985677e-06,3.0023427879297e-05,1,0.00018099999999999
1101387036.1711,4.702580558881e-11,1.2215945997875e-09,-1.0422194586229e-14,-1.2648162577642e-15,3.0416974468129e-15,-1.1974422039874e-18,2.3512902794405e-06,6.1079729989376e-05,1,0.00018099999999999
2533428066.4735,2.5095343949882e-11,2.3404396903205e-09,-7.002115680783e-15,-1.7734276960721e-15,1.5780538395291e-15,-1.7565477329878e-18,1.2547671974941e-06,0.00011702198451602,1,0.00018099999999999
5754490546.0823,1.2862966039579e-11,4.5982301856557e-09,-4.9187250239455e-15,-2.3592813765768e-15,7.8884498438138e-16,-2.1296689805666e-18,6.4314830197897e-07,0.00022991150928278,1,0.00018099999999999
10417981268.918,7.7005624426564e-12,7.6413758201304e-09,-3.9811247249632e-15,-2.8124763458354e-15,4.578200055296e-16,-2.1846351745825e-18,3.8502812213282e-07,0.00038206879100652,1,0.00018099999999999
26182623775.227,3.2945835927764e-12,1.7310432038677e-08,-3.1267346107545e-15,-3.5395097498765e-15,1.6890724781937e-16,-1.8761530990721e-18,1.6472917963882e-07,0.00086552160193386,1,0.00018099999999999
121130366630.63,7.3908408184795e-13,7.1001078038748e-08,-2.4017342441379e-15,-5.0554221890696e-15,5.7119172652236e-18,4.6111054703257e-18,3.6954204092397e-08,0.0035500539019374,1,0.00018099999999999
709021764293.1,1.8541380476308e-13,3.3202592871821e-07,-1.6757972201758e-15,-1.1189669062934e-14,1.7308645819696e-21,1.7168700120386e-15,9.2706902381539e-09,0.01660129643591,1,0.00018099999999999
2875224931725,1.0255242205466e-13,6.9658798055861e-07,-1.404284790385e-15,-1.8014219539009e-14,3.3956441470085e-22,7.6464580336422e-15,5.1276211027332e-09,0.034829399027931,1,0.00018099999999999
5318329357001,9.5233355360744e-14,7.6370193840986e-07,-1.3730449205011e-15,-1.9181500166526e-14,3.0150635356166e-22,8.8469838200851e-15,4.7616677680372e-09,0.038185096920493,1,0.00018099999999999
5371204030615.8,9.5164598109431e-14,7.6438308680103e-07,-1.3727416275345e-15,-1.9193366710069e-14,3.0117609531501e-22,8.8591614055074e-15,4.7582299054716e-09,0.038219154340052,1,0.00018099999999999
