bias,size,xi_center,xv_center,Fi,Fv,Di,Dv,rho,Zi,Zv,ki,kv,Zi_scaled,Zv_scaled,ki_scaled,kv_scaled,super_saturation_center
0.0,5.0,1.2223893528241e-15,4.3759135418692e-11,1.3065418738505499e-13,1.30813660659275e-13,1.0,0.000181,1.5278874536821953e-05,106.8842648892541,16.516034881452498,0.0016330712732033571,0.00025234642479948777,1.068842648892541e-08,1.65160348814525e-09,1.633071273203357e+17,2.5234642479948776e+16,1.0001514346661
5.0,5.0,1.2224692401238e-15,4.4097538438047e-11,1.306668001997775e-13,1.373670388176575e-13,1.0,0.000181,1.5278874536821953e-05,106.88759758613217,17.210346495550702,0.0016331221930608265,0.00026295472484075255,1.0688759758613218e-08,1.7210346495550703e-09,1.6331221930608262e+17,2.6295472484075252e+16,1.0092855333974
10.0,5.0,1.2224553633593e-15,4.4435302442139e-11,1.306649949558875e-13,1.439026640003375e-13,1.0,0.000181,1.5278874536821953e-05,106.88733419011788,17.892133030456087,0.0016331181686661707,0.0002733716557684665,1.0688733419011789e-08,1.7892133030456088e-09,1.6331181686661706e+17,2.733716557684665e+16,1.0184163623515
20.0,5.0,1.2224692307682e-15,4.5111370917983e-11,1.3066679898751748e-13,1.569880305827875e-13,1.0,0.000181,1.5278874536821953e-05,106.88759741249801,19.22657564801496,0.0016331221904078918,0.0002937604370987368,1.0688759741249802e-08,1.9226575648014964e-09,1.6331221904078915e+17,2.937604370987368e+16,1.0366864126305
30.0,5.0,1.2224692238695e-15,4.5787357014105e-11,1.30666798109875e-13,1.7007146564805e-13,1.0,0.000181,1.5278874536821953e-05,106.88759729776544,20.521415046561707,0.0016331221886549073,0.00031354412581446656,1.0688759729776545e-08,2.0521415046561707e-09,1.6331221886549072e+17,3.1354412581446652e+16,1.0549563081504
40.0,5.0,1.2224692169708e-15,4.6463342953747e-11,1.306667972322325e-13,1.8315489627076e-13,1.0,0.000181,1.5278874536821953e-05,106.88759718303288,21.77857725961877,0.0016331221869019228,0.00033275214954019887,1.0688759718303289e-08,2.1778577259618773e-09,1.6331221869019226e+17,3.3275214954019884e+16,1.0732261994411
50.0,5.0,1.2224692100721e-15,4.7139329212636e-11,1.3066679635459e-13,1.9623833585847e-13,1.0,0.000181,1.5278874536821953e-05,106.88759706830032,22.99968453061697,0.0016331221851489386,0.0003514092943297814,1.0688759706830032e-08,2.299968453061697e-09,1.6331221851489386e+17,3.514092943297814e+16,1.0914960993602
0.0,50.0,1.2548623386454e-13,7.3028472884709e-10,1.305177783541475e-10,1.305150719417325e-10,1.0,0.000181,1.5278874536821954e-08,1040.0963861505236,987.3926114719781,1.589150219019577e-05,1.5086247829265338e-05,1.0400963861505237e-07,9.873926114719781e-08,1589150219019577.0,1508624782926533.8,0.99974646211462
5.0,50.0,1.2548275293623e-13,7.6495018856467e-10,1.305134012368875e-10,1.37041145517135e-10,1.0,0.000181,1.5278874536821954e-08,1040.0903565067151,989.7813112090572,1.589141006402452e-05,1.512274447285431e-05,1.0400903565067152e-07,9.897813112090572e-08,1589141006402451.8,1512274447285431.0,1.9371705530798
10.0,50.0,1.2547928144072e-13,7.9961570412769e-10,1.3050904127726748e-10,1.435672374032475e-10,1.0,0.000181,1.5278874536821954e-08,1040.0843850777362,991.9629552415037,1.5891318827310345e-05,1.5156077538310066e-05,1.0400843850777362e-07,9.919629552415038e-08,1589131882731034.2,1515607753831006.5,2.8745947448695
