x,Ci_Center,Cv_center,Ji,Jv,Di,Dv,Zi,Zv,rho,rho,ki,kv,Zi_scaled,Zv_scaled,ki_scaled,kv_scaled
5,1.2223308050301E-12,7.1278893552619E-09,1.3064678231591E-12,1.3717958260991E-12,1,0.000181,1.06883326328909,1.06328564977527,0.001909859317103,0.001909859317103,0.002041321166322,0.002030726004965,1.06883326328909E-10,1.06328564977527E-10,2.041321166322E+017,2.03072600496495E+017
50,8.823750004683E-11,5.2222152135382E-07,8.470266867805E-10,9.123306413052E-10,1,0.000181,9.59939579352271,9.65203572542279,1.90985931710274E-06,1.90985931710274E-06,1.83334954948162E-05,1.84340303592073E-05,9.59939579352271E-10,9.65203572542279E-10,1.83334954948162E+015,1843403035920726
250,1.0114403317849E-10,1.4276556901208E-06,6.28985952744688E-10,8.78920152490437E-09,1,0.000181,6.2187153604475,34.0131901431197,1.5278874536822E-08,1.5278874536822E-08,9.50149717724849E-08,5.19683264793795E-07,6.2187153604475E-10,3.40131901431197E-09,9501497177248.49,51968326479379.4
500,4.0521711019118E-11,3.6972459357058E-06,3.12550720377125E-12,6.52104551682375E-08,1,0.000181,0.077131669052589,97.4451697562795,1.90985931710274E-09,1.90985931710274E-09,1.47310636783772E-10,1.86106565365689E-07,7.71316690525888E-12,9.74451697562795E-09,14731063678.3772,18610656536568.9
1000,1.0737940303003E-11,1.3908928441139E-05,1.2018276962797E-13,5.1928896026548E-07,1,0.000181,0.011192348461312,206.270367455951,2.38732414637843E-10,2.38732414637843E-10,2.67197637363703E-12,4.92434228909943E-08,1.11923484613115E-12,2.06270367455951E-08,267197637.363703,4924342289099.43
2000,2.7392741572829E-12,5.4420858702213E-05,1.38135611168292E-13,4.0482175060568E-06,1,0.000181,0.050427815266694,410.979229440015,2.98415518297304E-11,2.98415518297304E-11,1.50484426294113E-12,1.22642579762769E-08,5.04278152666944E-12,4.10979229440015E-08,150484426.294113,1226425797627.69
3000,1.2731703493483E-12,0.000117052557938,2.26451306666754E-13,1.2786927237189E-05,1,0.000181,0.177864106545262,603.540905725,8.84194128288308E-12,8.84194128288308E-12,1.57266398640566E-12,5.33647325023852E-09,1.77864106545262E-11,6.03540905725E-08,157266398.640566,533647325023.852
4000,7.4162018968097E-13,0.000200931633676,3.41963022414192E-13,2.88141227509232E-05,1,0.000181,0.461102633359129,792.279669634665,3.7301939787163E-12,3.7301939787163E-12,1.72000226652645E-12,2.95535685313056E-09,4.61102633359129E-11,7.92279669634665E-08,172000226.652645,295535685313.056
5000,5.098250181145E-13,0.000292278843115,4.9334241153725E-13,5.04418989413025E-05,1,0.000181,0.967670071119287,953.488530223917,1.90985931710274E-12,1.90985931710274E-12,1.84811370120865E-12,1.82102895319875E-09,9.67670071119287E-11,9.53488530223917E-08,184811370.120864,182102895319.875
