x,Ci,Cv,Ji,Cv,Di,Dv,Zi,Zv,rho,rho,ki,kv
5.0,1.2223342566695e-12,6.7902278452225e-09,5.2258888503709e-14,5.2258887440349e-14,1.0,0.000181,0.04275335344531621,0.04252038983238149,1.527887453682195e+25,1.527887453682195e+25,6.532231233193908e+23,6.496637015057165e+23
50.0,8.9621513576247e-11,4.95182966082e-07,3.455544930987e-13,3.455538987897e-13,1.0,0.000181,0.0038557091853253936,0.0038554184879976043,1.5278874536821947e+22,1.5278874536821947e+22,5.8910896893058654e+19,5.890645536505917e+19
250.0,1.5966257574991e-10,8.8215041186869e-07,4.5711742334007e-14,4.5711693555672e-14,1.0,0.000181,0.0002863021726870316,0.0002862899452603241,1.2223099629457555e+20,1.2223099629457555e+20,3.4994999808837492e+16,3.4993505238288916e+16
500.0,1.632579134654e-10,9.0200077431092e-07,1.1675567264153e-14,1.1674014888763e-14,1.0,0.000181,7.15160877431369e-05,7.150472778329084e-05,1.5278874536821944e+19,1.5278874536821944e+19,1092685331991738.4,1092511764590507.0
1000.0,1.6428034203654e-10,9.0766544997806e-07,2.8350743747017e-15,2.8352593085288e-15,1.0,0.000181,1.7257538787392523e-05,1.7257918178551942e-05,1.909859317102743e+18,1.909859317102743e+18,32959471243363.586,32960195827104.227
2000.0,1.6558332353936e-10,9.0204574445083e-07,8.820456948904e-16,5.2875008547324e-16,1.0,0.000181,5.326899328003483e-06,3.2384956178008176e-06,2.3873241463784288e+17,2.3873241463784288e+17,1271703539106.974,773133878631.662
3000.0,1.644612616017e-10,9.0793285882012e-07,3.189610440295e-16,3.052997868092e-16,1.0,0.000181,1.939429631775383e-06,1.8577796114064493e-06,7.073553026306459e+16,7.073553026306459e+16,137186583411.53181,131411025924.74527
4000.0,1.643853839887e-10,9.0805735717438e-07,1.8097471568099e-16,1.7856701660172e-16,1.0,0.000181,1.1009173156990063e-06,1.0864491047590056e-06,2.984155182973036e+16,2.984155182973036e+16,32853081136.679516,32421327270.030014
5000.0,1.6646977742861e-10,8.9645988387744e-07,2.7603087699301e-16,3.9365024609757e-17,1.0,0.000181,1.6581440863125133e-06,2.426057514923288e-07,1.5278874536821948e+16,1.5278874536821948e+16,25334575458.742153,3706742838.962696
