bias,x,y,z,id,xi,xv,jvx,jix,xie,xve,Di,Dv,K0_dist,super_saturation,void_nucleation_rate
0.0,0.0,0.0,0.0,0.0,0.0,3.7e-11,-2.2494724076247e-16,-2.2479526873973e-16,0.0,3.7e-11,1.0,0.000181,1.6794355318317e-21,1.0,4.3037883693406e-07
0.0,1.0,0.0,0.0,1.0,2.2140639380339e-16,3.8224078857252e-11,-2.1816926809106e-16,-2.1801751889257e-16,0.0,3.7e-11,1.0,0.000181,4.474782485707e-21,1.0000226787157,4.3043169694683e-07
0.0,2.0,0.0,0.0,2.0,4.3377578801525e-16,3.9398226243105e-11,-2.0913144739134e-16,-2.0898051945473e-16,0.0,3.7e-11,1.0,0.000181,1.1455360014475e-20,1.0000452683271,4.3048435453567e-07
0.0,3.0,0.0,0.0,3.0,6.3710818304581e-16,4.052243885966e-11,-2.0009303117619e-16,-1.9994352042734e-16,0.0,3.7e-11,1.0,0.000181,2.8175639131026e-20,1.0000676796405,4.305366016926e-07
0.0,4.0,0.0,0.0,4.0,8.3140357930497e-16,4.1596713435115e-11,-1.8879418222295e-16,-1.8864727221833e-16,0.0,3.7e-11,1.0,0.000181,6.658356291448e-20,1.0000898241677,4.3058823197289e-07
0.0,5.0,0.0,0.0,5.0,1.0166619772001e-15,4.2621046736681e-11,-1.7975445013069e-16,-1.7961027410687e-16,0.0,3.7e-11,1.0,0.000181,1.5117796877966e-19,1.000111614475,4.3063904131236e-07
0.0,6.0,0.0,0.0,6.0,1.1928833771338e-15,4.3595435583333e-11,-1.7071414919793e-16,-1.7057327639343e-16,0.0,3.7e-11,1.0,0.000181,3.2979054604717e-19,1.0001329645288,4.3068882883602e-07
0.0,7.0,0.0,0.0,7.0,1.360067779501e-15,4.4519876858368e-11,-1.639335579587e-16,-1.6379552836537e-16,0.0,3.7e-11,1.0,0.000181,6.9121971780476e-19,1.0001537900349,4.3073739765557e-07
0.0,8.0,0.0,0.0,8.0,1.5182151846899e-15,4.5394367521696e-11,-1.5489229425631e-16,-1.5475853133031e-16,0.0,3.7e-11,1.0,0.000181,1.3919455781863e-18,1.0001740087707,4.3078455565024e-07
0.0,9.0,0.0,0.0,9.0,1.6673255930774e-15,4.6218904621844e-11,-1.4585050281764e-16,-1.4572153466771e-16,0.0,3.7e-11,1.0,0.000181,2.6931256345797e-18,1.0001935409103,4.3083011623188e-07
