x,Ci_Center,Cv_center,Fi,Fv,Di,Dv,rho,Zi,Zv,ki,kv,Zi_scaled,Zv_scaled,ki_scaled,kv_scaled
5.0,1.2224692401238e-15,4.4097538438047e-11,1.306668001997775e-13,1.373670388176575e-13,1.0,0.000181,1.5278874536821953e-05,106.88759758613217,17.210346495550702,0.0016331221930608265,0.00026295472484075255,1.0688759758613218e-08,1.7210346495550703e-09,1.6331221930608262e+17,2.6295472484075252e+16
50.0,1.2548275293623e-13,7.6495018856467e-10,1.305134012368875e-10,1.37041145517135e-10,1.0,0.000181,1.5278874536821954e-08,1040.0903565067151,989.7813112090572,1.589141006402452e-05,1.512274447285431e-05,1.0400903565067152e-07,9.897813112090572e-08,1589141006402451.8,1512274447285431.0
250.0,2.4396529039877e-12,1.4384550081755e-08,1.1957225660493126e-08,1.2773232738489377e-08,1.0,0.000181,1.2223099629457562e-10,4901.199527583867,4905.982197593925,5.990785012950794e-07,5.99663091815357e-07,4.901199527583867e-07,4.905982197593925e-07,59907850129507.94,59966309181535.695
500.0,4.0261480703697e-12,2.5757897861451e-08,3.0434983168707495e-08,3.6966317062895e-08,1.0,0.000181,1.5278874536821952e-11,7559.330316908293,7928.977629546814,1.1549805949443634e-07,1.211458544071137e-07,7.559330316908293e-07,7.928977629546814e-07,11549805949443.633,12114585440711.37
1000.0,3.8912331740086e-12,3.5390833932717e-08,2.7201335391587998e-08,7.916429885327901e-08,1.0,0.000181,1.909859317102744e-12,6990.415165371913,12358.335994581272,1.3350709534001866e-08,2.360268314313725e-08,6.990415165371913e-07,1.2358335994581272e-06,1335070953400.1865,2360268314313.7246
2000.0,2.2222463140888e-12,6.6981774757268e-08,1.24980486127872e-09,4.0903423123828e-07,1.0,0.000181,2.38732414637843e-13,562.4060903398031,33738.39584484147,1.3426456395385005e-10,8.054448706046374e-09,5.624060903398031e-08,3.3738395844841473e-06,13426456395.385004,805444870604.6373
3000.0,1.1815095203075e-12,1.2699638210639e-07,3.6994052424943805e-11,1.3364866692252899e-06,1.0,0.000181,7.07355302630646e-14,31.310837356025473,58142.63467503889,2.2147886833590334e-12,4.112750094630522e-09,3.1310837356025474e-09,5.814263467503889e-06,221478868.33590332,411275009463.0522
4000.0,7.0814404985829e-13,2.1158578560235e-07,6.22250019889104e-12,3.03393807841184e-06,1.0,0.000181,2.9841551829730376e-14,8.787054272554085,79221.24250117144,2.622193355050765e-13,2.3640848141143464e-09,8.787054272554086e-10,7.922124250117144e-06,26221933.550507646,236408481411.43463
5000.0,4.7932647867451e-13,3.1211729887112e-07,3.16861279241575e-12,5.5313816937225e-06,1.0,0.000181,1.5278874536821954e-14,6.610552375862838,97912.29119741735,1.0100180036989859e-13,1.4959896128181163e-09,6.610552375862839e-10,9.791229119741736e-06,10100180.036989858,149598961281.8116
