bias,x,y,z,id,xi,xv,jvx,jix,xie,xve,Di,Dv,K0_dist,super_saturation,void_nucleation_rate
0.0,0.0,0.0,0.0,0.0,0.0,3.7e-11,-9.8088899831561e-14,-9.8088900898105e-14,0.0,3.7e-11,1.0,0.000181,2.2622735593756e-15,1.0,4.3037883693406e-07
0.0,1.0,0.0,0.0,1.0,9.7240390407364e-14,5.7423972012456e-10,-9.639188388117e-14,-9.6391884944018e-14,0.0,3.7e-11,1.0,0.000181,2.2622310109209e-15,0.9999998410007,4.3037846635394e-07
0.0,2.0,0.0,0.0,2.0,1.9221887409097e-13,1.0989827180565e-09,-9.4130859335882e-14,-9.4130860390372e-14,0.0,3.7e-11,1.0,0.000181,2.2586151943561e-15,0.99999968303003,4.3037809817151e-07
0.0,3.0,0.0,0.0,3.0,2.8493879857106e-13,1.6112474884043e-09,-9.1873898744219e-14,-9.1873899786454e-14,0.0,3.7e-11,1.0,0.000181,2.2545557115637e-15,0.99999952667139,4.3037773374649e-07
0.0,4.0,0.0,0.0,4.0,3.7540377383514e-13,2.1110539758718e-09,-8.9619662576909e-14,-8.9619663603029e-14,0.0,3.7e-11,1.0,0.000181,2.2552757126916e-15,0.99999937250346,4.3037737442758e-07
0.0,5.0,0.0,0.0,5.0,4.6361236743298e-13,2.5983942663904e-09,-8.736052581326e-14,-8.7360526819457e-14,0.0,3.7e-11,1.0,0.000181,2.2690065352467e-15,0.99999922109795,4.3037702154731e-07
0.0,6.0,0.0,0.0,6.0,5.4954978683895e-13,3.0731866333202e-09,-8.507920553207e-14,-8.5079206514602e-14,0.0,3.7e-11,1.0,0.000181,2.3079470398885e-15,0.99999907301736,4.3037667641662e-07
0.0,7.0,0.0,0.0,7.0,6.3317561355003e-13,3.5352077700347e-09,-8.2744489779578e-14,-8.2744490734788e-14,0.0,3.7e-11,1.0,0.000181,2.388998032412e-15,0.99999892881277,4.3037634031994e-07
0.0,8.0,0.0,0.0,8.0,7.1440689191967e-13,3.9839993580649e-09,-8.0306440872005e-14,-8.0306441796329e-14,0.0,3.7e-11,1.0,0.000181,2.5338512256862e-15,0.99999878902171,4.3037601451004e-07
0.0,9.0,0.0,0.0,9.0,7.9309653052e-13,4.4187487376074e-09,-7.6999663783064e-14,-7.6999664664021e-14,0.0,3.7e-11,1.0,0.000181,2.7679109388785e-15,0.99999865416362,4.3037570019758e-07
0.0,10.0,0.0,0.0,10.0,8.6900813842409e-13,4.8381498814599e-09,-7.4022015506526e-14,-7.4022016349005e-14,0.0,3.7e-11,1.0,0.000181,3.1175609109492e-15,0.99999852473545,4.3037539854074e-07
