size,xi_center,xv_center,Fi,Fv,Di,Dv,rho,Zi,Zv,ki,kv,Zi_scaled,Zv_scaled,ki_scaled,kv_scaled,super_saturation_center
5.0,1.2223342566695e-12,6.7902278452225e-09,1.306472212592725e-10,1.306472186008725e-10,1.0,0.000181,1.5278874536821953e-05,106.88338361329053,106.30097458095372,0.0016330578082984775,0.0016241592537642915,1.0688338361329053e-08,1.0630097458095372e-08,1.6330578082984774e+17,1.6241592537642912e+17,0.9999975086993
5.0,1.2223308050301e-12,7.1278893552619e-09,1.3064678231591e-10,1.3717958260991e-10,1.0,0.000181,1.5278874536821953e-05,106.88332632890881,106.32856497752745,0.0016330569330575962,0.0016245808039719626,1.0688332632890881e-08,1.0632856497752746e-08,1.633056933057596e+17,1.6245808039719626e+17,10.126499667362
5.0,1.2223273534099e-12,7.4655508654074e-09,1.306463433750675e-10,1.4371194662147e-10,1.0,0.000181,1.5278874536821953e-05,106.88326904458633,106.35365958676768,0.0016330560578176202,0.0016249642213580946,1.0688326904458634e-08,1.0635365958676768e-08,1.6330560578176202e+17,1.6249642213580944e+17,19.253001826014
5.0,1.2223204502259e-12,8.1408738860098e-09,1.306454655007525e-10,1.5677667465195251e-10,1.0,0.000181,1.5278874536821953e-05,106.88315447606853,106.39760366558816,0.0016330543073396107,0.001625635637425029,1.0688315447606852e-08,1.0639760366558816e-08,1.6330543073396106e+17,1.6256356374250288e+17,37.506006143336
5.0,1.2223135471176e-12,8.8161969070312e-09,1.30644587636365e-10,1.6984140269236e-10,1.0,0.000181,1.5278874536821953e-05,106.88303990775908,106.43481548939164,0.0016330525568647848,0.0016262041922122086,1.068830399077591e-08,1.0643481548939164e-08,1.6330525568647846e+17,1.6262041922122083e+17,55.759010460656
5.0,1.2223066440852e-12,9.4915199284714e-09,1.306437097819e-10,1.8290613074269003e-10,1.0,0.000181,1.5278874536821953e-05,106.88292533963646,106.46673206093985,0.0016330508063928132,0.0016266918415045392,1.0688292533963646e-08,1.0646673206093985e-08,1.633050806392813e+17,1.6266918415045392e+17,74.012014777977
5.0,1.2222997411286e-12,1.0166842950331e-08,1.3064283193736e-10,1.9597085880294752e-10,1.0,0.000181,1.5278874536821953e-05,106.8828107717114,106.49440857674094,0.0016330490559238605,0.0016271147075170805,1.0688281077171142e-08,1.0649440857674094e-08,1.6330490559238605e+17,1.6271147075170803e+17,92.265019095299
