x,Ci_Center,Cv_center,Ji,Jv,Di,Dv,Zi,Zv,rho,rho,ki,kv,Zi_scaled,Zv_scaled,ki_scaled,kv_scaled
5,2.819542290767E-15,5.3370495668434E-11,5.61988169154125E-15,5.90487339193675E-15,1,0.000181,1.99318935911845,0.61126675875147,0.001909859317103,0.001909859317103,0.003806711268262,0.001167433514437,1.99318935911845E-10,6.1126675875147E-11,3.80671126826242E+017,1.16743351443669E+017
50,2.8200062155424E-13,1.673002651762E-09,5.63944701059075E-12,5.92164519445075E-12,1,0.000181,19.9979949672063,19.5554213605633,1.90985931710274E-06,1.90985931710274E-06,3.81933570114928E-05,3.73481036853418E-05,1.99979949672063E-09,1.95554213605633E-09,3819335701149281,3734810368534175
250,4.4694436547858E-12,2.6679794523898E-08,5.14450869404319E-10,5.49739638175081E-10,1,0.000181,115.104006032933,113.840290910319,1.5278874536822E-08,1.5278874536822E-08,1.75865966686278E-06,1.73935152205407E-06,1.15104006032933E-08,1.13840290910319E-08,175865966686278,173935152205407
500,5.8244847688883E-12,3.9952853357713E-08,2.14444975580985E-09,2.42498972778915E-09,1,0.000181,368.178446832672,335.338584775098,1.90985931710274E-09,1.90985931710274E-09,7.03169037039797E-07,6.40449520516769E-07,3.68178446832672E-08,3.35338584775098E-08,70316903703979.6,64044952051676.9
1000,4.4762020588293E-12,5.5839803346692E-08,8.1128549173129E-09,1.0364337468361E-08,1,0.000181,1812.44162142107,1025.46086380088,2.38732414637843E-10,2.38732414637843E-10,4.32688564671979E-07,2.44810748131793E-07,1.81244162142107E-07,1.02546086380088E-07,43268856467197.9,24481074813179.3
2000,1.8635361544192E-12,1.3265266738297E-07,2.95219492914728E-08,4.7306981976904E-08,1,0.000181,15841.8977927873,1970.29239189212,2.98415518297304E-11,2.98415518297304E-11,4.72746814064753E-07,5.87965825323721E-08,1.58418977927873E-06,1.97029239189212E-07,47274681406475.3,5879658253237.21
3000,9.249420937773E-13,2.6655200764168E-07,6.19555888786941E-08,1.19616503489055E-07,1,0.000181,66983.2082413705,2479.30850721226,8.84194128288308E-12,8.84194128288308E-12,5.92261594209327E-07,2.19219002429233E-08,6.69832082413705E-06,2.47930850721226E-07,59226159420932.7,2192190024292.33
4000,5.333381083305E-13,4.6200947778068E-07,1.03571047528142E-07,2.388583043288E-07,1,0.000181,194193.975473362,2856.34646777652,3.7301939787163E-12,3.7301939787163E-12,7.24381198013715E-07,1.06547263952276E-08,1.94193975473362E-05,2.85634646777652E-07,72438119801371.5,1065472639522.76
5000,3.512987180881E-13,7.0130814885506E-07,1.54040428486012E-07,4.1300272389495E-07,1,0.000181,438488.444604519,3253.60971303365,1.90985931710274E-12,1.90985931710274E-12,8.37451241369832E-07,6.21393682465331E-09,4.38488444604519E-05,3.25360971303365E-07,83745124136983.2,621393682465.331
