size,bias,Ci_center,Cv_center,Fi,Fv,Di,Dv,rho,Zi,Zv,ki,kv,Zi_scaled,Zv_scaled,ki_scaled,kv_scaled
50,20,2.8194529289864E-13,1.9067257166457E-09,5.6386421615085E-10,6.76761874999775E-10,1,0.000181,1.5278874536822E-08,1999.90647247145,1960.96158526372,3.05563200782695E-05,2.99612860327719E-05,1.99990647247145E-07,1.96096158526372E-07,3.05563200782695E+015,2.99612860327719E+015
50,30,2.819084188463E-13,2.0625411603003E-09,5.63810576310175E-10,7.331601294751E-10,1,0.000181,1.5278874536822E-08,1999.97778930317,1963.89217733183,3.05574097191937E-05,3.00060621812991E-05,1.99997778930317E-07,1.96389217733183E-07,3.05574097191937E+015,3000606218129911
50,40,2.818715541165E-13,2.2183566554548E-09,5.6375694981245E-10,7.89558397291575E-10,1,0.000181,1.5278874536822E-08,2000.04910598195,1966.41107248572,3.05584993577812E-05,3.00445480643268E-05,2.00004910598195E-07,1.96641107248572E-07,3055849935778120,3004454806432677
50,50,2.8183469870574E-13,2.3741722020895E-09,5.63703336652575E-10,8.45956678444275E-10,1,0.000181,1.5278874536822E-08,2000.12042250742,1968.5993288297,3.05595889940261E-05,3.0077982158461E-05,2.00012042250742E-07,1.9685993288297E-07,3.05595889940261E+015,3007798215846095
250,0,4.5608790664819E-12,2.5235206321805E-08,5.21258681214669E-08,5.21258335730419E-08,1,0.000181,1.22230996294576E-10,11428.9081910858,11412.1528121387,1.39696683475566E-06,1.39491880809365E-06,1.14289081910858E-06,1.14121528121387E-06,139696683475566,139491880809365
250,5,4.4694436547858E-12,2.6679794523898E-08,5.14450869404319E-08,5.49739638175081E-08,1,0.000181,1.22230996294576E-10,11510.4006032933,11384.0290910319,1.40692773349022E-06,1.39148121764326E-06,1.15104006032933E-06,1.13840290910319E-06,140692773349022,139148121764326
250,10,4.3806287917357E-12,2.8138860889912E-08,5.07831709512075E-08,5.78409592465925E-08,1,0.000181,1.22230996294576E-10,11592.6670269375,11356.6541305594,1.41698324041385E-06,1.38813514895118E-06,1.15926670269375E-06,1.13566541305594E-06,141698324041385,138813514895118
250,20,4.2105598249525E-12,3.1098765763047E-08,4.951374731423E-08,6.36293584316312E-08,1,0.000181,1.22230996294576E-10,11759.421400642,11304.0954560024,1.43736579364823E-06,1.38171084979616E-06,1.1759421400642E-06,1.13040954560024E-06,143736579364823,138171084979616
250,30,4.050080377049E-12,3.411165138815E-08,4.83133027864794E-08,6.94867367043063E-08,1,0.000181,1.22230996294576E-10,11928.9738199423,11254.3546575142,1.45809035478345E-06,1.37563098244045E-06,1.19289738199423E-06,1.12543546575142E-06,145809035478345,137563098244045
250,40,3.8986174968186E-12,3.7174352289898E-08,4.71776901574369E-08,7.5408946855425E-08,1,0.000181,1.22230996294576E-10,12101.1333366085,11207.2972388828,1.47913358402716E-06,1.36987910727809E-06,1.21011333366085E-06,1.12072972388828E-06,147913358402716,136987910727809
250,50,3.7556203612314E-12,4.0283825247904E-08,4.61029311640506E-08,8.13920106230688E-08,1,0.000181,1.22230996294576E-10,12275.7165873215,11162.7834232409,1.50047306869815E-06,1.36443813924331E-06,1.22757165873215E-06,1.11627834232409E-06,150047306869815,136443813924331
500,0,6.4051096339795E-12,3.5444279465134E-08,2.23819006905845E-07,2.2387581145744E-07,1,0.000181,1.5278874536822E-11,34943.8213701248,34896.5462098236,5.33902262551254E-07,5.33179951308305E-07,3.49438213701248E-06,3.48965462098236E-06,53390226255125.4,53317995130830.5
500,5,5.8244847688883E-12,3.9952853357713E-08,2.14444975580985E-07,2.42498972778915E-07,1,0.000181,1.5278874536822E-11,36817.8446832672,33533.8584775098,5.62535229631837E-07,5.12359616413415E-07,3.68178446832672E-06,3.35338584775098E-06,56253522963183.7,51235961641341.5
500,10,5.2957451470278E-12,4.4879779510665E-08,2.05756300801292E-07,2.62182425023325E-07,1,0.000181,1.5278874536822E-11,38853.1349392392,32275.5971844185,5.9363217409885E-07,4.93134799981733E-07,3.88531349392392E-06,3.22755971844185E-06,59363217409885,49313479998173.3
500,20,5.2957451470278E-12,4.4879779510665E-08,2.05756300801292E-07,2.62182425023325E-07,1,0.000181,1.5278874536822E-11,38853.1349392392,32275.5971844185,5.9363217409885E-07,4.93134799981733E-07,3.88531349392392E-06,3.22755971844185E-06,59363217409885,49313479998173.3
500,30,3.7201125243618E-12,6.7343808273647E-08,1.7836338652391E-07,3.47642315166525E-07,1,0.000181,1.5278874536822E-11,47945.6966303752,28520.4508571323,7.32556283396029E-07,4.35760390379721E-07,4.79456966303752E-06,2.85204508571323E-06,73255628339602.9,43576039037972.1
500,40,3.1752418577632E-12,7.9968965803164E-08,1.68032286521748E-07,3.9388172777265E-07,1,0.000181,1.5278874536822E-11,52919.5236296481,27212.3331911869,8.08550762085779E-07,4.15773824682341E-07,5.29195236296481E-06,2.72123331911869E-06,80855076208577.8,41577382468234.1
500,50,2.746750232785E-12,9.3202828340904E-08,1.59386289921593E-07,4.4170914321665E-07,1,0.000181,1.5278874536822E-11,58027.2235965142,26183.5617026099,8.86590669051254E-07,4.00055354181314E-07,5.80272235965142E-06,2.61835617026099E-06,88659066905125.4,40005535418131.4
1000,0,6.6687484068484E-12,3.6879957891471E-08,8.9642956999583E-07,8.9642364749574E-07,1,0.000181,1.90985931710274E-12,134422.46060374,134290.197715719,2.56727988811929E-07,2.56475385302936E-07,1.3442246060374E-05,1.34290197715719E-05,25672798881192.9,25647538530293.6
1000,5,4.4762020588293E-12,5.5839803346692E-08,8.1128549173129E-07,1.0364337468361E-06,1,0.000181,1.90985931710274E-12,181244.162142107,102546.086380088,3.46150851737583E-07,1.95848598505434E-07,1.81244162142107E-05,1.02546086380088E-05,34615085173758.3,19584859850543.4
1000,10,3.1557396744672E-12,7.9502485410742E-08,7.4503355511515E-07,1.1946906223481E-06,1,0.000181,1.90985931710274E-12,236088.407780638,83022.5701983466,4.50895645259803E-07,1.58561429223129E-07,2.36088407780638E-05,8.30225701983466E-06,45089564525980.3,15856142922312.9
1000,20,1.8652799162428E-12,1.3406971994155E-07,6.5160925498201E-07,1.5490487458358E-06,1,0.000181,1.90985931710274E-12,349335.908947401,63834.5509147392,6.67182440501749E-07,1.21915011817584E-07,3.49335908947401E-05,6.38345509147392E-06,66718244050174.9,12191501181758.4
1000,30,1.2873023332299E-12,1.9351917867389E-07,5.8850268724519E-07,1.9390332905211E-06,1,0.000181,1.90985931710274E-12,457159.652440472,55358.2915205747,8.73110621616888E-07,1.05726548839459E-07,4.57159652440472E-05,5.53582915205747E-06,87311062161688.8,10572654883945.9
1000,40,9.7831169581756E-13,2.5399941482067E-07,5.4337872949947E-07,2.3444478760987E-06,1,0.000181,1.90985931710274E-12,555424.954871235,50995.1989685601,1.0607835250122E-06,9.73936558776128E-08,5.55424954871235E-05,5.09951989685601E-06,106078352501220,9739365587761.27
1000,50,7.8856192499317E-13,3.1459995613569E-07,5.091661131534E-07,2.7577291490937E-06,1,0.000181,1.90985931710274E-12,645689.446846942,48429.9897370458,1.23317600601555E-06,9.24944671264872E-08,6.45689446846943E-05,4.84299897370458E-06,123317600601555,9249446712648.71
2000,0,6.794852038702E-12,3.6230132758683E-08,3.59328809502836E-06,3.5779644780508E-06,1,0.000181,2.38732414637843E-13,528825.068531555,545616.536348584,1.26247685531561E-07,1.30256353188834E-07,5.28825068531555E-05,5.45616536348584E-05,12624768553156.1,13025635318883.4
2000,5,1.8635361544192E-12,1.3265266738297E-07,2.95219492914728E-06,4.7306981976904E-06,1,0.000181,2.38732414637843E-13,1584189.77927873,197029.239189212,3.78197451251802E-07,4.70372660258977E-08,0.000158418977928,1.97029239189212E-05,37819745125180.2,4703726602589.77
2000,10,9.8979444755145E-13,2.4939665332702E-07,2.5772085194998E-06,6.1257441049624E-06,1,0.000181,2.38732414637843E-13,2603781.54865921,135703.064300095,6.21607056300875E-07,3.23967202141162E-08,0.000260378154866,1.35703064300095E-05,62160705630087.5,3239672021411.62
2000,20,5.013279473634E-13,4.9190937583109E-07,2.15126602606052E-06,9.2631166654628E-06,1,0.000181,2.38732414637843E-13,4291135.24864219,104038.350670209,1.02443307944591E-06,2.48373266704376E-08,0.000429113524864,1.04038350670209E-05,102443307944591,2483732667043.76
2000,30,3.3450847973989E-13,7.3696374572449E-07,1.9078627634328E-06,1.25917725172792E-05,1,0.000181,2.38732414637843E-13,5703481.01464074,94397.8647070056,1.36160579446628E-06,2.25358301781599E-08,0.000570348101464,9.43978647070056E-06,136160579446628,2253583017815.99
2000,40,2.5105277859445E-13,9.8177159408827E-07,1.745327776957E-06,1.59932952952992E-05,1,0.000181,2.38732414637843E-13,6952035.29205466,90001.3282314384,1.65967617191971E-06,2.14862344093043E-08,0.000695203529205,9.00013282314384E-06,165967617191971,2148623440930.43
2000,50,2.0099331631317E-13,1.2261597655766E-06,1.62637098828988E-06,1.943153390179E-05,1,0.000181,2.38732414637843E-13,8091667.01720475,87555.1000023093,1.93174320546268E-06,2.09022404374091E-08,0.00080916670172,8.75551000023093E-06,193174320546268,2090224043740.91
3000,0,6.6724970327584E-12,3.6907142468975E-08,8.06780399476023E-06,8.0678823543531E-06,1,0.000181,7.07355302630646E-14,1209113.16335573,1207731.96399259,8.5527260758019E-08,8.54295608886681E-08,0.000120911316336,0.000120773196399,8552726075801.9,8542956088866.81
3000,5,9.249420937773E-13,2.6655200764168E-07,6.19555888786941E-06,1.19616503489055E-05,1,0.000181,7.07355302630646E-14,6698320.82413705,247930.850721226,4.73809275367462E-07,1.75375201943386E-08,0.000669832082414,2.47930850721226E-05,47380927536746.2,1753752019433.86
3000,10,4.5577893990523E-13,5.4071459412917E-07,5.23748885533938E-06,1.70282939995476E-05,1,0.000181,7.07355302630646E-14,11491291.9329454,173990.074236311,8.1284262828457E-07,1.23072801616154E-08,0.001149129193295,1.73990074236311E-05,81284262828457,1230728016161.54
3000,20,2.2946100854826E-13,1.0738004181971E-06,4.30080688980504E-06,2.78171894762352E-05,1,0.000181,7.07355302630646E-14,18743083.7030445,143123.55173133,1.32580196449986E-06,1.01239203248488E-08,0.001874308370304,1.4312355173133E-05,132580196449985,1012392032484.88
3000,30,1.5211351919463E-13,1.6196969674517E-06,3.78726594170013E-06,3.92335239426579E-05,1,0.000181,7.07355302630646E-14,24897628.8350433,133827.379530875,1.76114697793975E-06,9.46635065483281E-09,0.002489762883504,1.33827379530875E-05,176114697793975,946635065483.281
3000,40,1.1417737122759E-13,2.1577756346623E-06,3.45567106377747E-06,5.06948777146359E-05,1,0.000181,7.07355302630646E-14,30265813.8528104,129801.353217275,2.14086839172175E-06,9.18156754868727E-09,0.003026581385281,1.29801353217275E-05,214086839172175,918156754868.727
3000,50,9.1340851441214E-14,2.6971933725555E-06,3.21479115975441E-06,6.22683546967566E-05,1,0.000181,7.07355302630646E-14,35195546.2318349,127548.904204874,2.48957562560705E-06,9.0222393734046E-09,0.003519554623183,1.27548904204874E-05,248957562560705,902223937340.46
4000,0,6.6714007283119E-12,3.6913227172392E-08,1.4342650548244E-05,1.43430144596826E-05,1,0.000181,2.98415518297304E-14,2149870.93900342,2146741.96434573,6.41554850535016E-08,6.40621115940802E-08,0.0002149870939,0.000214674196435,6415548505350.16,6406211159408.02
4000,5,5.333381083305E-13,4.6200947778068E-07,1.03571047528142E-05,2.388583043288E-05,1,0.000181,2.98415518297304E-14,19419397.5473362,285634.646777652,5.79504958410972E-07,8.52378111618204E-09,0.001941939754734,2.85634646777652E-05,57950495841097.2,852378111618.204
4000,10,2.6453190762581E-13,9.3136342413902E-07,8.64215769995952E-06,3.59663137504576E-05,1,0.000181,2.98415518297304E-14,32669623.0240178,213352.715597649,9.74912248728981E-07,6.36677612052096E-09,0.003266962302402,2.13352715597649E-05,97491224872898.1,636677612052.096
4000,20,1.3540067686963E-13,1.8194852097425E-06,7.06632197479312E-06,6.07819473439872E-05,1,0.000181,2.98415518297304E-14,52188232.2759501,184564.217384576,1.55737783836477E-06,5.50768265899544E-09,0.005218823227595,1.84564217384576E-05,155737783836477,550768265899.543
4000,30,9.0489497463954E-14,2.7224603861428E-06,6.21938983759456E-06,8.66531277521968E-05,1,0.000181,2.98415518297304E-14,68730515.8266795,175850.699096902,2.05102525032596E-06,5.24765775139452E-09,0.006873051582668,1.75850699096902E-05,205102525032596,524765775139.452
4000,40,6.7479731175567E-14,3.6507450312712E-06,5.6590742626528E-06,0.000113383780439,1,0.000181,2.98415518297304E-14,83863319.608212,171589.557971772,2.5026115987017E-06,5.12049868765517E-09,0.008386331960821,1.71589557971772E-05,250261159870170,512049868765.517
4000,50,5.4063627061033E-14,4.5566617105467E-06,5.2633578014712E-06,0.000139769200152,1,0.000181,2.98415518297304E-14,97354877.7171265,169467.380893527,2.90522062927269E-06,5.05716963038285E-09,0.009735487771713,1.69467380893527E-05,290522062927269,505716963038.285
5000,0,7.2068479897824E-12,3.416157475393E-08,2.2492218388968E-05,2.23293289388655E-05,1,0.000181,1.5278874536822E-14,3120950.85408442,3611263.79900224,4.76846165351432E-08,5.51760465043222E-08,0.000312095085408,0.0003611263799,4768461653514.32,5517604650432.22
5000,5,3.512987180881E-13,7.0130814885506E-07,1.54040428486012E-05,4.1300272389495E-05,1,0.000181,1.5278874536822E-14,43848844.4604519,325360.971303365,6.69960993095866E-07,4.97114945972265E-09,0.004384884446045,3.25360971303365E-05,66996099309586.6,497114945972.265
5000,10,1.7605288740105E-13,1.399329255543E-06,1.27606959800253E-05,6.45426847401325E-05,1,0.000181,1.5278874536822E-14,72482173.785405,254828.816764357,1.10744603942333E-06,3.8934975197094E-09,0.007248217378541,2.54828816764357E-05,110744603942333,389349751970.939
5000,20,9.3256311637367E-14,2.6416419802371E-06,1.0469858450756E-05,0.000109612679121,1,0.000181,1.5278874536822E-14,112269703.432715,229249.427743832,1.71535471303465E-06,3.50267324413624E-09,0.011226970343272,2.29249427743832E-05,171535471303465,350267324413.624
5000,30,5.8704635381762E-14,4.1963872457362E-06,9.0660300822275E-06,0.000164442411314,1,0.000181,1.5278874536822E-14,154434654.491425,216500.898574574,2.35958771011193E-06,3.30789006643014E-09,0.015443465449143,2.16500898574574E-05,235958771011193,330789006643.014
5000,40,4.4030453350969E-14,5.5949074829529E-06,8.25524175399475E-06,0.000215421662121,1,0.000181,1.5278874536822E-14,187489365.330668,212724.684451206,2.86462648987565E-06,3.25019376461502E-09,0.018748936533067,2.12724684451206E-05,286462648987565,325019376461.502
5000,50,3.5224457111808E-14,6.9935972392443E-06,7.67209405192725E-06,0.000266632450116,1,0.000181,1.5278874536822E-14,217805884.91612,210636.587840631,3.32782878901488E-06,3.21828999848128E-09,0.021780588491612,2.10636587840631E-05,332782878901487,321828999848.128
