size,bias,Ci_center,Cv_center,Fi,Fv,Di,Dv,rho,Zi,Zv,ki,kv,Zi_scaled,Zv_scaled,ki_scaled,kv_scaled
5,0,2.8195423092563E-15,5.2590920296231E-11,5.6198817184925E-13,5.6236809587655E-13,1,0.000181,1.5278874536822E-05,199.318935560674,59.0787542234594,0.003045369009244,0.000902656873572,1.99318935560674E-08,5.90787542234594E-09,3.04536900924443E+017,9.02656873571976E+016
5,5,2.819542290767E-15,5.3370495668434E-11,5.61988169154125E-13,5.90487339193675E-13,1,0.000181,1.5278874536822E-05,199.318935911845,61.126675875147,0.00304536901461,0.000933946811549,1.99318935911845E-08,6.1126675875147E-09,3.04536901460994E+017,9.33946811549353E+016
5,10,2.8195422738785E-15,5.415019152598E-11,5.6198816661775E-13,6.18610017534575E-13,1,0.000181,1.5278874536822E-05,199.318936206156,63.1158414622816,0.003045369019107,0.000964339022988,1.99318936206156E-08,6.31158414622816E-09,3.04536901910668E+017,9.64339022988146E+016
5,20,2.8195422370627E-15,5.5709342176248E-11,5.61988161243725E-13,6.7484850147045E-13,1,0.000181,1.5278874536822E-05,199.318936902745,66.9267417969062,0.00304536902975,0.001022565291073,1.99318936902745E-08,6.69267417969062E-09,3.04536902974977E+017,1.02256529107321E+017
5,30,2.8195422001878E-15,5.7268493251325E-11,5.61988155863525E-13,7.31086997512475E-13,1,0.000181,1.5278874536822E-05,199.318937601322,70.5301371325308,0.003045369040423,0.001077621116313,1.99318937601322E-08,7.05301371325308E-09,3.04536904042324E+017,1.07762111631278E+017
5,40,2.819542163372E-15,5.882764406192E-11,5.619881504895E-13,7.873254860172E-13,1,0.000181,1.5278874536822E-05,199.31893829791,73.9425253721264,0.003045369051066,0.001129758568097,1.9931893829791E-08,7.39425253721264E-09,3.04536905106633E+017,1.12975856809649E+017
5,50,2.8195421265563E-15,6.0386794847094E-11,5.619881451155E-13,8.4356397379625E-13,1,0.000181,1.5278874536822E-05,199.318938994501,77.178701944098,0.003045369061709,0.001179203703919,1.99318938994501E-08,7.7178701944098E-09,3.04536906170944E+017,1.17920370391865E+017
50,0,2.820190690645E-13,1.5950949879284E-09,5.639715359849E-10,5.6396540721175E-10,1,0.000181,1.5278874536822E-08,1999.76383815349,1953.38271554415,3.05541407864208E-05,2.98454894331956E-05,1.9997638381535E-07,1.95338271554415E-07,3.05541407864208E+015,2984548943319564
50,5,2.8200062155424E-13,1.673002651762E-09,5.63944701059075E-10,5.92164519445075E-10,1,0.000181,1.5278874536822E-08,1999.79949672063,1955.54213605633,3.05546856091942E-05,2.98784829482734E-05,1.99979949672063E-07,1.95554213605633E-07,3055468560919425,2987848294827340
50,10,2.8198217627705E-13,1.7509103245098E-09,5.6391786933945E-10,6.20363633870575E-10,1,0.000181,1.5278874536822E-08,1999.83515548655,1957.50938444532,3.05552304350048E-05,2.99085402895916E-05,1.99983515548655E-07,1.95750938444532E-07,3055523043500481,2.99085402895916E+015
