size,Ci_center,Cv_center,Fi,Fv,Di,Dv,rho,Zi,Zv,ki,kv,Zi_scaled,Zv_scaled,ki_scaled,kv_scaled,super_saturation
5.0,1.2223308050301e-12,7.1278893552619e-09,1.3064678231591e-10,1.3717958260991e-10,1.0,0.000181,1.5278874536821953e-05,106.88332632890881,106.32856497752745,0.0016330569330575962,0.0016245808039719626,1.0688332632890881e-08,1.0632856497752746e-08,1.633056933057596e+17,1.6245808039719626e+17,10.126499667362
50.0,8.823750004683e-11,5.2222152135382e-07,8.470266867805e-08,9.123306413052e-08,1.0,0.000181,1.5278874536821954e-08,959.939579352271,965.2035725422791,1.4666796395852991e-05,1.474722428736581e-05,9.599395793522711e-08,9.65203572542279e-08,1466679639585299.0,1474722428736580.8,938.41948905635
250.0,1.0114403317849e-10,1.4276556901208e-06,6.289859527446876e-08,8.789201524904375e-07,1.0,0.000181,1.2223099629457562e-10,621.8715360447502,3401.3190143119664,7.60119774179879e-08,4.1574661183503556e-07,6.218715360447502e-08,3.4013190143119666e-07,7601197741798.79,41574661183503.555,23482.40208054
500.0,4.0521711019118e-11,3.6972459357058e-06,3.12550720377125e-10,6.521045516823749e-06,1.0,0.000181,1.5278874536821952e-11,7.71316690525888,9744.516975627954,1.1784850942701767e-10,1.488852522925512e-07,7.71316690525888e-10,9.744516975627953e-07,11784850942.701765,14888525229255.117,93874.839979637
1000.0,1.0737940303003e-11,1.3908928441139e-05,1.2018276962797e-11,5.1928896026548004e-05,1.0,0.000181,1.909859317102744e-12,1.1192348461311465,20627.03674559507,2.1375810989096262e-12,3.939473831279541e-08,1.1192348461311465e-10,2.062703674559507e-06,213758109.8909626,3939473831279.5405,374313.58930017
2000.0,2.7392741572829e-12,5.4420858702213e-05,1.38135611168292e-11,0.00040482175060567997,1.0,0.000181,2.38732414637843e-13,5.0427815266694385,41097.922944001526,1.2038754103529034e-12,9.811406381021494e-09,5.042781526669439e-10,4.109792294400153e-06,120387541.03529033,981140638102.1493,1470424.9889418
3000.0,1.2731703493483e-12,0.00011705255793795,2.26451306666754e-11,0.0012786927237189,1.0,0.000181,7.07355302630646e-14,17.786410654526165,60354.09057249996,1.2581311891245301e-12,4.269178600190812e-09,1.7786410654526165e-09,6.035409057249997e-06,125813118.912453,426917860019.0812,3163392.5364222
4000.0,7.4162018968097e-13,0.00020093163367558,3.41963022414192e-11,0.00288141227509232,1.0,0.000181,2.9841551829730376e-14,46.110263335912904,79227.96696346646,1.3760018132211612e-12,2.3642854825044502e-09,4.611026333591291e-09,7.922796696346647e-06,137600181.3221161,236428548250.445,5430473.9547692
5000.0,5.098250181145e-13,0.00029227884311533,4.9334241153725e-11,0.00504418989413025,1.0,0.000181,1.5278874536821954e-14,96.76700711192869,95348.85302239172,1.478490960966916e-12,1.4568231625589998e-09,9.676700711192869e-09,9.534885302239172e-06,147849096.0966916,145682316255.89996,7899352.064933
