bias,size,xi_center,xv_center,Fi,Fv,Di,Dv,rho,Zi,Zv,ki,kv,Zi_scaled,Zv_scaled,ki_scaled,kv_scaled,super_saturation_center
5.0,500.0,3.0939330410682e-11,7.970529830408e-06,3.0648458226217504e-05,5.88820760178125e-05,1.0,0.000181,1.5278874536821952e-11,990598.6270354426,40814.7694114249,1.5135232138822611e-05,6.236037410864795e-07,9.905986270354426e-05,4.08147694114249e-06,1513523213882261.0,62360374108647.945,210799.84603452
10.0,500.0,1.5727837401079e-11,1.5671512172212e-05,2.6095012900747497e-05,8.252139141672999e-05,1.0,0.000181,1.5278874536821952e-11,1659160.9027543266,29092.23338406413,2.5350111269583604e-05,4.4449658387105897e-07,0.00016591609027543267,2.909223338406413e-06,2535011126958360.0,44449658387105.89,421205.89305201
20.0,500.0,7.8945701398004e-12,3.1212815794131e-05,2.143256674940575e-05,0.0001342853251663975,1.0,0.000181,1.5278874536821952e-11,2714849.113994652,23769.33496615202,4.147983899912653e-05,3.6316868677153175e-07,0.0002714849113994652,2.376933496615202e-06,4147983899912652.5,36316868677153.17,842410.79417617
30.0,500.0,5.2666479558296e-12,4.6782877941166e-05,1.890803939584775e-05,0.000188187177054375,1.0,0.000181,1.5278874536821952e-11,3590146.8171835234,22224.117161602207,5.4853402788517714e-05,3.395594978037517e-07,0.00035901468171835234,2.2224117161602208e-06,5485340278851771.0,33955949780375.168,1263615.687531
40.0,500.0,3.950877996383e-12,6.2360189378965e-05,1.725194658355125e-05,0.0002429574631365175,1.0,0.000181,1.5278874536821952e-11,4366610.8139368715,21525.053716744875,6.671689877727144e-05,3.28878595136498e-07,0.00043666108139368717,2.1525053716744875e-06,6671689877727144.0,32887859513649.797,1684820.5763172
50.0,500.0,3.1610127955049e-12,7.7940406596259e-05,1.6050569198550002e-05,0.000298182465043825,1.0,0.000181,1.5278874536821952e-11,5077666.633103992,21136.8788782128,7.758103142700304e-05,3.229477204802153e-07,0.0005077666633103992,2.11368788782128e-06,7758103142700303.0,32294772048021.523,2106025.4712748
0.0,1000.0,2.1188429585815e-10,1.1626088900315e-06,0.00015941680751611,0.00015937097762044,1.0,0.000181,1.909859317102744e-12,752376.7010219324,757350.6845996203,1.4369336524177633e-06,1.4464332612967265e-06,7.523767010219324e-05,7.573506845996203e-05,143693365241776.3,144643326129672.62,-216.82645400071
5.0,1000.0,7.9186905251501e-12,3.1111230230002e-05,0.00010396183448194,0.00032908311448275003,1.0,0.000181,1.909859317102744e-12,13128664.916472333,58439.95048112971,2.5073903011844603e-05,1.1161208391740856e-07,0.0013128664916472333,5.8439950481129714e-06,2507390301184460.0,11161208391740.855,839661.63671871
10.0,1000.0,3.9633701469486e-12,6.2157119376017e-05,8.542177483298801e-05,0.00053566610745727,1.0,0.000181,1.909859317102744e-12,21552812.799671073,47612.90880883229,4.1162840335223075e-05,9.093395750291167e-08,0.0021552812799671074,4.761290880883229e-06,4116284033522307.0,9093395750291.166,1679330.3325238
20.0,1000.0,1.982082484665e-12,0.00012428714992327,6.88073007269e-05,0.00096932894561589,1.0,0.000181,1.909859317102744e-12,34714650.50483477,43088.99626888643,6.630009870662416e-05,8.229392098873813e-08,0.003471465050483477,4.308899626888643e-06,6630009870662415.0,8229392098873.8125,3358816.1943597
30.0,1000.0,1.3212205706736e-12,0.00018645331126413,6.0341077161369e-05,0.001411303985347,1.0,0.000181,1.909859317102744e-12,45670706.69404217,41818.83139906739,8.72246246982831e-05,7.986808477785764e-08,0.004567070669404217,4.181883139906739e-06,8722462469828309.0,7986808477785.764,5039081.3973776
40.0,1000.0,9.9104681505139e-13,0.00024857073463045,5.491225107216599e-05,0.0018560289143020998,1.0,0.000181,1.909859317102744e-12,55408332.11730624,41253.05985509244,0.00010582211933936054,7.878754072324548e-08,0.005540833211730625,4.125305985509244e-06,1.0582211933936054e+16,7878754072324.547,6717979.9792888
50.0,1000.0,7.9287514524414e-13,0.00031069810366946,5.1016107622409e-05,0.0023023389232173,1.0,0.000181,1.909859317102744e-12,64343179.28669621,40940.39969324794,0.00012288642045270906,7.819040380005991e-08,0.006434317928669621,4.0940399693247945e-06,1.2288642045270904e+16,7819040380005.99,8397127.652535
0.0,2000.0,2.111581116914e-10,1.1666165088936e-06,0.00063757596753764,0.00063757543184556,1.0,0.000181,2.38732414637843e-13,3019424.460801366,3019429.4107688093,7.208344923436772e-07,7.208356740613573e-07,0.00030194244608013656,0.00030194294107688095,72083449234367.72,72083567406135.73,-0.078181524535144
5.0,2000.0,2.0078388679313e-12,0.00012269119686612,0.000342011999132768,0.00212456158857688,1.0,0.000181,2.38732414637843e-13,170338369.57501823,95670.34660165863,4.066529027411739e-05,2.283961285345332e-08,0.017033836957501824,9.567034660165864e-06,4066529027411738.5,2283961285345.332,3315678.481992
10.0,2000.0,1.0690255480073e-12,0.00023043756683308,0.000279991197594816,0.00367532346858384,1.0,0.000181,2.38732414637843e-13,261912540.9273231,88117.81343478287,6.252701331951272e-05,2.1036578373892677e-08,0.026191254092732312,8.811781343478288e-06,6252701331951272.0,2103657837389.2676,6227882.719313
20.0,2000.0,5.3453178920581e-13,0.00046085821456065,0.000223642114522808,0.007014203565006,1.0,0.000181,2.38732414637843e-13,418388801.2630422,84087.69695242381,9.988296878295868e-05,2.007445893478733e-08,0.041838880126304226,8.408769695242382e-06,9988296878295868.0,2007445893478.7327,12455547.603955
30.0,2000.0,3.3498545054891e-13,0.00073538496878637,0.000192564692916196,0.010879933379294401,1.0,0.000181,2.38732414637843e-13,574844945.0585327,81739.67611355193,0.00013723412177618172,1.9513910250303473e-08,0.05748449450585327,8.173967611355194e-06,1.372341217761817e+16,1951391025030.3472,19875219.406433
40.0,2000.0,2.5128851973547e-13,0.00098032019893486,0.00017505032254345998,0.014422691698413198,1.0,0.000181,2.38732414637843e-13,696610902.5901161,81283.01307656619,0.00016630360283838568,1.9404889980808016e-08,0.06966109025901161,8.12830130765662e-06,1.6630360283838566e+16,1940488998080.8013,26495102.989203
50.0,2000.0,2.0096203974781e-13,0.0012258194307947,0.00016251678699242002,0.017976842882944,1.0,0.000181,2.38732414637843e-13,808693956.3131652,81023.00505591441,0.00019306146089367225,1.934281763821261e-08,0.08086939563131652,8.102300505591442e-06,1.9306146089367224e+16,1934281763821.2607,33130224.878571
0.0,3000.0,2.1133768222422e-10,1.1656249940889e-06,0.00143456272267095,0.00143452791961794,1.0,0.000181,7.07355302630646e-14,6788011.998489421,6799415.469697137,4.80153628145194e-07,4.809602587279114e-07,0.0006788011998489421,0.0006799415469697138,48015362814519.4,48096025872791.13,-53.68945708951
5.0,3000.0,9.1437740332853e-13,0.00026941096209392,0.000683050670014473,0.00658413734552694,1.0,0.000181,7.07355302630646e-14,747011756.3360839,135022.15774768472,5.2840272697176095e-05,9.550863925545634e-09,0.0747011756336084,1.3502215774768472e-05,5284027269717609.0,955086392554.5632,7281240.8185153
10.0,3000.0,4.5745068391888e-13,0.00053851311260173,0.000544208175413874,0.0123409382670216,1.0,0.000181,7.07355302630646e-14,1189654304.92258,126611.54906033925,8.415082808843624e-05,8.955935060211115e-09,0.11896543049225801,1.2661154906033926e-05,8415082808843623.0,895593506021.1115,14554340.141889
20.0,3000.0,2.2842710400952e-13,0.0010784321786183,0.000432621864006606,0.024050131039581302,1.0,0.000181,7.07355302630646e-14,1893916511.7138462,123210.02172118246,0.0001339671887300525,8.715326220171549e-09,0.18939165117138462,1.2321002172118247e-05,1.3396718873005248e+16,871532622017.1548,29146781.529464
30.0,3000.0,1.5215398598648e-13,0.0016190382423383,0.000377718206147226,0.0358277115744414,1.0,0.000181,7.07355302630646e-14,2482473289.7946496,122259.71733932738,0.00017559906451751896,8.648105935809716e-09,0.24824732897946497,1.222597173393274e-05,1.7559906451751894e+16,864810593580.9714,43757767.613744
40.0,3000.0,1.1436130971078e-13,0.0021540774062966,0.000343151234126874,0.0475306603757037,1.0,0.000181,7.07355302630646e-14,3000588529.4135246,121908.49446719729,0.00021224822072933485,8.623261999709077e-09,0.3000588529413525,1.219084944671973e-05,2.1224822072933484e+16,862326199970.9076,58218291.201789
50.0,3000.0,9.1433189537064e-14,0.0026942416579436,0.00031828410528914703,0.0593307356325867,1.0,0.000181,7.07355302630646e-14,3481056571.4775286,121664.70611520602,0.00024623438245918863,8.606017501359015e-09,0.3481056571477529,1.2166470611520602e-05,2.462343824591886e+16,860601750135.9014,72817328.453725
0.0,4000.0,2.1117322361394e-10,1.1665330195093e-06,0.0025503054874872,0.00255030011032896,1.0,0.000181,2.9841551829730376e-14,12076841.200992344,12078574.393117486,3.6039168263883625e-07,3.6044340378146955e-07,0.0012076841200992345,0.0012078574393117486,36039168263883.625,36044340378146.95,-4.5911725768925
5.0,4000.0,5.3068980746936e-13,0.00046419424054845,0.00111717768822552,0.01476268155459488,1.0,0.000181,2.9841551829730376e-14,2105142538.0729997,175706.13639746385,6.282072015887557e-05,5.2433437761065925e-09,0.2105142538073,1.7570613639746387e-05,6282072015887556.0,524334377610.6592,12545711.042177
10.0,4000.0,2.654623689374e-13,0.00092797755372611,0.000887140726240976,0.028168360208999998,1.0,0.000181,2.9841551829730376e-14,3341869997.5896664,167704.81017816754,9.972658674129295e-05,5.004571785026881e-09,0.33418699975896665,1.6770481017816755e-05,9972658674129294.0,500457178502.68805,25080434.786032
20.0,4000.0,1.3267326030612e-13,0.0018567652781256,0.0007044807900060161,0.055285397806328,1.0,0.000181,2.9841551829730376e-14,5309892802.668387,164503.3922023994,0.00015845544128114097,4.909036504574365e-09,0.5309892802668388,1.645033922023994e-05,1.5845544128114096e+16,490903650457.4365,50182825.543896
30.0,4000.0,8.8597582319037e-14,0.0027804720086863,0.000615222154402784,0.0823802578302112,1.0,0.000181,2.9841551829730376e-14,6944006126.345402,163691.46842744437,0.00020721991872530156,4.884807439162254e-09,0.6944006126345402,1.6369146842744438e-05,2.0721991872530156e+16,488480743916.2254,75147878.897213
40.0,4000.0,6.6336649424955e-14,0.0037135293597174,0.000558233867150288,0.1097200664470688,1.0,0.000181,2.9841551829730376e-14,8415165251.627669,163237.7594722654,0.00025112159001219317,4.871268059860668e-09,0.841516525162767,1.632377594722654e-05,2.5112159001219316e+16,487126805986.0668,100365648.46531
50.0,4000.0,5.3182619057485e-14,0.0046320226000089,0.000518073518831648,0.13674543938400802,1.0,0.000181,2.9841551829730376e-14,9741406647.755787,163103.6224010576,0.00029069869137348433,4.867265201497932e-09,0.9741406647755787,1.631036224010576e-05,2.906986913734843e+16,486726520149.79315,125189792.05898
0.0,5000.0,2.1123242461196e-10,1.1662060532723e-06,0.00398486101878125,0.00398483522539875,1.0,0.000181,1.5278874536821954e-14,18864816.92430295,18878022.598963384,2.882331709465402e-07,2.88434938792851e-07,0.0018864816924302951,0.0018878022598963384,28823317094654.016,28843493879285.098,-22.268025932091
5.0,5000.0,3.5403922187894e-13,0.00069580740761822,0.00164192226215185,0.027437990799525,1.0,0.000181,1.5278874536821954e-14,4637684642.503503,217863.60382184497,7.085860179415699e-05,3.328710668933853e-09,0.4637684642503503,2.1786360382184497e-05,7085860179415699.0,332871066893.3853,18805552.745957
10.0,5000.0,1.7670061906845e-13,0.0013941269788388,0.0013005842504818998,0.052963381751354996,1.0,0.000181,1.5278874536821954e-14,7360383100.741043,209891.47562135448,0.00011245836993916695,3.206905522367099e-09,0.7360383100741044,2.098914756213545e-05,1.1245836993916694e+16,320690552236.70984,37679081.151142
20.0,5000.0,8.8518381318355e-14,0.002782959766034,0.0010326446865648,0.1042077607759575,1.0,0.000181,1.5278874536821954e-14,11665878557.481853,206878.1201858768,0.00017824149484156672,3.160864842733585e-09,1.1665878557481855,2.068781201858768e-05,1.782414948415667e+16,316086484273.35846,75215115.594113
30.0,5000.0,5.8900249506995e-14,0.004182377741734,0.00090073734996205,0.15588911458910248,1.0,0.000181,1.5278874536821954e-14,15292589717.384445,205927.31686211866,0.00023365355963501043,3.146337638040691e-09,1.5292589717384446,2.059273168621187e-05,2.336535596350104e+16,314633763804.0691,113037227.46806
40.0,5000.0,4.4259196143663e-14,0.0055659186619312,0.000817940896688625,0.207168169976805,1.0,0.000181,1.5278874536821954e-14,18480699333.843124,205640.0019932374,0.00028236428647451816,3.141947790206491e-09,1.8480699333843125,2.056400019932374e-05,2.8236428647451812e+16,314194779020.64905,150430227.49744
50.0,5000.0,3.5340363483344e-14,0.0069705872277874,0.0007582238322604,0.2590709923225,1.0,0.000181,1.5278874536821954e-14,21454896258.148354,205338.71860748704,0.0003278066681287795,3.137344519155582e-09,2.1454896258148355,2.0533871860748705e-05,3.2780666812877948e+16,313734451915.55817,188394244.12261
