x,Ci_Center,Cv_center,Ji,Jv,Di,Dv,Zi,Zv,rho,rho,ki,kv
5.0,2.8191731657826e-12,1.5612542141361e-08,5.61934360927275e-12,5.6193435487599995e-12,1.0,0.000181,1.9932594696476638,1.9885356704483963,0.0019098593171027443,0.0019098593171027443,0.0038068451695098655,0.003797823377597022
50.0,1.5929702215446e-10,8.8013102617317e-07,3.815652955886e-09,3.81565290567225e-09,1.0,0.000181,23.953071465367433,23.95206469611424,1.909859317102744e-06,1.909859317102744e-06,4.574699671135987e-05,4.5745073923721484e-05
250.0,2.1114967990622e-10,1.1666093797988e-06,9.96212066908375e-08,9.96211994051625e-08,1.0,0.000181,471.8037305814683,471.7889093042221,1.5278874536821954e-08,1.5278874536821954e-08,7.208630005558801e-06,7.208403553123281e-06
500.0,2.1115705337079e-10,1.1666222369838e-06,3.98485217925575e-07,3.98484402032975e-07,1.0,0.000181,1887.1508745002154,1887.1329657165704,1.909859317102744e-09,1.909859317102744e-09,3.604192680442828e-06,3.6041584771855254e-06
1000.0,2.1188429585815e-10,1.1626088900315e-06,1.5941680751611e-06,1.5937097762044e-06,1.0,0.000181,7523.767010219324,7573.506845996204,2.38732414637843e-10,2.38732414637843e-10,1.7961670655222042e-06,1.8080415766209085e-06
2000.0,2.111581116914e-10,1.1666165088936e-06,6.3757596753764e-06,6.3757543184556e-06,1.0,0.000181,30194.244608013654,30194.294107688092,2.984155182973038e-11,2.984155182973038e-11,9.010431154295964e-07,9.010445925766968e-07
3000.0,2.1133768222422e-10,1.1656249940889e-06,1.4345627226709499e-05,1.43452791961794e-05,1.0,0.000181,67880.11998489422,67994.15469697138,8.841941282883075e-12,8.841941282883075e-12,6.001920351814927e-07,6.012003234098895e-07
4000.0,2.1117322361394e-10,1.1665330195093e-06,2.5503054874872e-05,2.55030011032896e-05,1.0,0.000181,120768.41200992344,120785.74393117483,3.730193978716297e-12,3.730193978716297e-12,4.504896032985454e-07,4.505542547268369e-07
5000.0,2.1123242461196e-10,1.1662060532723e-06,3.9848610187812504e-05,3.9848352253987496e-05,1.0,0.000181,188648.16924302952,188780.22598963382,1.909859317102744e-12,1.909859317102744e-12,3.6029146368317524e-07,3.6054367349106376e-07
