x,y,z,id,xi,xv,jvx,jix,xie,xve,Di,Dv,K0_dist_FP,K0_dist_II,super_saturation,void_nucleation_rate,Sv
0,0,0,0,0,3.7E-11,-5.5113607593273E-12,-5.5542320274893E-12,0,3.7E-11,1,0.000181,2.2622735593755E-13,9.5403363319204E-24,1,-nan,1
1,0,0,1,5.5542320274893E-12,3.048650695761E-08,-5.5113607593273E-12,-5.5542320274893E-12,0,3.7E-11,1,0.000181,2.2623323415188E-13,9.818479170555E-24,-5.4015631121311,-nan,823.809533123852
2,0,0,2,1.0882943110245E-11,5.9690041837578E-08,-5.2858398132742E-12,-5.3287110827556E-12,0,3.7E-11,1,0.000181,2.2623877588307E-13,1.0104478483309E-23,-11.80312642129,-nan,1612.95024039102
3,0,0,3,1.5987873794292E-11,8.7657220907256E-08,-5.0620594116117E-12,-5.1049306840469E-12,0,3.7E-11,1,0.000181,2.2624398314318E-13,1.0398548610828E-23,-18.204690171509,-nan,2368.68197387734
4,0,0,4,2.0871762196388E-11,1.1440317187445E-07,-4.841017125062E-12,-4.8838884020957E-12,0,3.7E-11,1,0.000181,2.2624885797588E-13,1.070090952035E-23,-24.606254608374,-nan,3091.41351654739
5,0,0,5,2.5538208058593E-11,1.399477828077E-07,-4.6235745789187E-12,-4.6664458622058E-12,0,3.7E-11,1,0.000181,2.2625340245697E-13,1.1011786947138E-23,-31.007819978999,-nan,3781.68228647679
6,0,0,6,2.9991545806119E-11,1.6431500079842E-07,-4.4104664563199E-12,-4.4533377475254E-12,0,3.7E-11,1,0.000181,2.2625761869474E-13,1.1331412539294E-23,-37.40938653201,-nan,4440.13538520578
7,0,0,7,3.4236726989947E-11,1.8753218247262E-07,-4.2023098830296E-12,-4.2451811838285E-12,0,3.7E-11,1,0.000181,2.2626150883045E-13,1.1660024006042E-23,-43.810954517507,-nan,5067.51204717919
8,0,0,8,3.8279212270889E-11,2.0962949721772E-07,-3.9996139688645E-12,-4.0424852809412E-12,0,3.7E-11,1,0.000181,2.2626507503876E-13,1.1997865269535E-23,-50.212524187025,-nan,5664.62751366079
9,0,0,9,4.2124872914998E-11,2.3063938295839E-07,-3.8027893190611E-12,-3.8456606441097E-12,0,3.7E-11,1,0.000181,2.2626831952817E-13,1.2345186620287E-23,-56.614095793512,-nan,6232.35832663446
