x,y,z,id,xi,xv
183.6,128,0,30,9.8385001465443e-05,9.8385001465507e-05
184,128,0,30.4,9.8384990427061e-05,9.8384990427124e-05
184.4,128,0,30.8,9.8384979388678e-05,9.8384979388741e-05
184.8,128,0,31.2,9.8384968350295e-05,9.8384968350359e-05
185.2,128,0,31.6,9.8384957311912e-05,9.8384957311976e-05
185.6,128,0,32,9.8384946273529e-05,9.8384946273593e-05
186,128,0,32.4,9.8384935235147e-05,9.838493523521e-05
186.4,128,0,32.8,9.8384924196764e-05,9.8384924196827e-05
186.8,128,0,33.2,9.8384913158381e-05,9.8384913158445e-05
187.2,128,0,33.6,9.8384902119998e-05,9.8384902120062e-05
187.6,128,0,34,9.8384896672674e-05,9.8384896672737e-05
188,128,0,34.4,9.8384899015261e-05,9.8384899015325e-05
188.4,128,0,34.8,9.8384901357848e-05,9.8384901357912e-05
188.8,128,0,35.2,9.8384903700436e-05,9.8384903700499e-05
189.2,128,0,35.6,9.8384906043023e-05,9.8384906043087e-05
189.6,128,0,36,9.838490838561e-05,9.8384908385674e-05
190,128,0,36.4,9.8384910728197e-05,9.8384910728262e-05
190.4,128,0,36.8,9.8384913070785e-05,9.8384913070849e-05
190.8,128,0,37.2,9.8384915413372e-05,9.8384915413437e-05
191.2,128,0,37.6,9.8384917635627e-05,9.8384917635691e-05
191.6,128,0,38,9.8384919817788e-05,9.8384919817852e-05
192,128,0,38.4,9.8384921999949e-05,9.8384922000013e-05
192.4,128,0,38.8,9.838492418211e-05,9.8384924182175e-05
192.8,128,0,39.2,9.8384925214449e-05,9.8384925214514e-05
193.2,128,0,39.6,9.8384924755115e-05,9.8384924755179e-05
193.6,128,0,40,9.838492429578e-05,9.8384924295845e-05
194,128,0,40.4,9.8384923836446e-05,9.838492383651e-05
194.4,128,0,40.8,9.8384923377111e-05,9.8384923377176e-05
194.8,128,0,41.2,9.8384922917777e-05,9.8384922917841e-05
195.2,128,0,41.6,9.838492264444e-05,9.8384922644504e-05
195.6,128,0,42,9.838492280604e-05,9.8384922806105e-05
196,128,0,42.4,9.8384922967641e-05,9.8384922967705e-05
196.4,128,0,42.8,9.8384923129242e-05,9.8384923129306e-05
196.8,128,0,43.2,9.8384923290842e-05,9.8384923290906e-05
197.2,128,0,43.6,9.8384923452443e-05,9.8384923452507e-05
197.6,128,0,44,9.8384923614044e-05,9.8384923614108e-05
198,128,0,44.4,9.8384923775645e-05,9.8384923775708e-05
198.4,128,0,44.8,9.8384923937245e-05,9.8384923937309e-05
198.8,128,0,45.2,9.8384923677056e-05,9.838492367712e-05
199.2,128,0,45.6,9.8384923396187e-05,9.8384923396251e-05
199.6,128,0,46,9.8384923115318e-05,9.8384923115382e-05
200,128,0,46.4,9.8384922834449e-05,9.8384922834513e-05
200.4,128,0,46.8,9.8384922920872e-05,9.8384922920936e-05
200.8,128,0,47.2,9.8384923191552e-05,9.8384923191616e-05
201.2,128,0,47.6,9.8384923462231e-05,9.8384923462295e-05
201.6,128,0,48,9.8384923732911e-05,9.8384923732975e-05
202,128,0,48.4,9.838492400359e-05,9.8384924003654e-05
202.4,128,0,48.8,9.838492427427e-05,9.8384924274334e-05
202.8,128,0,49.2,9.8384924544949e-05,9.8384924545013e-05
