time,average_ci,average_cv,bottom_jix,bottom_jvx,left_jix,left_jvx,right_jix,right_jvx,top_jiy,top_jvy
0,0,0,0,0,0,0,0,0,0,0
1,6.8505894943315e-09,8.5898294656531e-09,-5.0994316231382e-09,-2.3856391981968e-12,-4.8816226922327e-09,-2.35621992368e-12,4.8816226922327e-09,2.35621992368e-12,5.1151940570504e-09,2.4310072028353e-12
2.2,1.1394466892078e-08,1.5540116373641e-08,-8.9467257251803e-09,-6.9519739913488e-12,-8.5487254009872e-09,-6.9071442245668e-12,8.5487254009871e-09,6.9071442245667e-12,8.9607082133251e-09,7.0760013389403e-12
3.64,1.2702143020591e-08,1.9944841285072e-08,-8.9795953263526e-09,-1.2398565813954e-11,-8.551008557849e-09,-1.2498890388657e-11,8.551008557849e-09,1.2498890388657e-11,8.9999545138462e-09,1.2668861158055e-11
5.368,1.1987906919892e-08,2.2957071086088e-08,-8.6721399412246e-09,-2.5189792626563e-11,-8.2627644406572e-09,-2.5371044770986e-11,8.2627644406573e-09,2.5371044770988e-11,8.6705434451942e-09,2.5491783592507e-11
7.4416,1.0632812463382e-08,2.5875013937586e-08,-7.4246876088506e-09,-4.1925132818251e-11,-7.0795063452146e-09,-4.2206002891889e-11,7.0795063452146e-09,4.2206002891892e-11,7.4225085408782e-09,4.2211075384046e-11
9.92992,9.3231036444806e-09,2.9384914265636e-08,-6.441289539284e-09,-6.1128680929796e-11,-6.1511873457921e-09,-6.156871151295e-11,6.1511873457921e-09,6.1568711512953e-11,6.4391598307068e-09,6.1381964846506e-11
12.915904,8.185457809098e-09,3.3707244035254e-08,-5.6598256511504e-09,-8.2261611314214e-11,-5.4136784815553e-09,-8.2934352948824e-11,5.4136784815553e-09,8.2934352948829e-11,5.6580910408116e-09,8.2478000658326e-11
16.4990848,7.1634195106304e-09,3.8955623380327e-08,-4.9981665910995e-09,-1.0516106697175e-10,-4.7885566533865e-09,-1.0614432454339e-10,4.7885566533865e-09,1.061443245434e-10,4.9969498120232e-09,1.0534170252348e-10
20.79890176,6.2375190184775e-09,4.5071167251977e-08,-4.4347615008017e-09,-1.2985519643972e-10,-4.2556320786802e-09,-1.3122005434218e-10,4.2556320786802e-09,1.3122005434219e-10,4.4338612127076e-09,1.3000320161341e-10
25.958682112,5.4018497233931e-09,5.2267357765477e-08,-3.9481292890075e-09,-1.5643446483034e-10,-3.7946668882866e-09,-1.5824084543362e-10,3.7946668882866e-09,1.5824084543363e-10,3.9474409437282e-09,1.565537438338e-10
32.1504185344,4.6593152036657e-09,6.072011883201e-08,-3.5242399710197e-09,-1.8500893551363e-10,-3.3926607214465e-09,-1.8730088735372e-10,3.3926607214466e-09,1.8730088735373e-10,3.5237152853364e-09,1.8510352977901e-10
39.58050224128,4.0071018046262e-09,7.0632608042161e-08,-3.1535349847117e-09,-2.1568160206088e-10,-3.0406331523676e-09,-2.1848338731635e-10,3.0406331523677e-09,2.1848338731637e-10,3.1531361478506e-09,2.1575539720989e-10
48.496602689536,3.438470221784e-09,8.2243799508961e-08,-2.828456769877e-09,-2.4853229675716e-10,-2.7315123758506e-09,-2.5184523043883e-10,2.7315123758506e-09,2.5184523043884e-10,2.8281527673028e-09,2.4858891278365e-10
59.195923227443,2.9452503051463e-09,9.5838685453197e-08,-2.5428841398094e-09,-2.8360690882433e-10,-2.4595937474463e-09,-2.8740703405308e-10,2.4595937474463e-09,2.8740703405309e-10,2.542650671508e-09,2.8364967847562e-10
72.035107872932,2.5189998842073e-09,1.1175854427565e-07,-2.2917937160058e-09,-3.2090962493391e-10,-2.2202028521911e-09,-3.2514650153e-10,2.2202028521911e-09,3.2514650153002e-10,2.2916122109153e-09,3.2094161591182e-10
87.442129447518,2.1515891497335e-09,1.3041240394608e-07,-2.0709889601285e-09,-3.6039807108346e-10,-2.0094352994248e-09,-3.6499492497386e-10,2.0094352994249e-09,3.6499492497388e-10,2.0708455271328e-09,3.6042212365829e-10
