size,xi_center,xv_center,Fi,Fv,Di,Dv,rho,Zi,Zv,ki,kv,Zi_scaled,Zv_scaled,ki_scaled,kv_scaled,super_saturation_center
500.0,2.3461495571397e-13,3.7880978165039e-11,1.27379117751205e-06,5.662880258036001e-09,1.0,0.000181,1.5278874536821952e-11,5429283.79666038,825919.3076683106,8.29533459539743e-05,1.2619117479402966e-05,0.0005429283796660381,8.259193076683106e-05,8295334595397430.0,1261911747940296.5,-34.009033696595
500.0,1.6871255780671e-12,3.9406114391467e-11,3.4605751587999996e-06,2.9384555232457497e-08,1.0,0.000181,1.5278874536821952e-11,2051166.3173079854,4119807.586364224,3.133951281630383e-05,6.294602322790626e-05,0.00020511663173079854,0.00041198075863642245,3133951281630383.0,6294602322790625.0,-250.85755881175
500.0,1.0680676946012e-11,4.8849346690371e-11,8.7480767239645e-06,1.0075658549768499e-07,1.0,0.000181,1.5278874536821952e-11,819056.3920417889,11395571.40339365,1.2514259852588548e-05,0.00017411150574784764,8.19056392041789e-05,0.0011395571403393652,1251425985258854.8,1.7411150574784762e+16,-1593.5247445514
500.0,6.6365606533365e-11,1.0731867029905e-10,2.18478042054e-05,2.82354372435325e-07,1.0,0.000181,1.5278874536821952e-11,329203.71479489334,14535857.592490757,5.0298622554068925e-06,0.00022209154444077707,3.292037147948934e-05,0.0014535857592490758,502986225540689.2,2.2209154444077704e+16,-9906.8511055757
500.0,4.1104070460619e-10,4.6923738006948e-10,5.44113544615e-05,7.4071382681755e-07,1.0,0.000181,1.5278874536821952e-11,132374.6136374266,8721260.833954435,2.0225351136265214e-06,0.000133251050084889,1.3237461363742661e-05,0.0008721260833954435,202253511362652.12,1.33251050084889e+16,-61364.158972733
500.0,2.5209811592864e-09,2.6868927427148e-09,0.00013457344479834,1.884681377252675e-06,1.0,0.000181,1.5278874536821952e-11,53381.376652744584,3875333.067330749,8.156073564801211e-07,5.921072772414389e-05,5.3381376652744585e-06,0.0003875333067330749,81560735648012.11,5921072772414388.0,-376361.77866208
500.0,1.0361154745434e-08,1.2901939208809e-08,0.00027285497032915,4.71686818057825e-06,1.0,0.000181,1.5278874536821952e-11,26334.417063830937,2019854.9051271311,4.0236025431861603e-07,3.086110967802185e-05,2.633441706383094e-06,0.00020198549051271311,40236025431861.6,3086110967802184.5,-1546785.0521782
500.0,6.2794854964717e-09,3.3292768364106e-08,0.00017196951885611,1.128956617019275e-05,1.0,0.000181,1.5278874536821952e-11,27385.925001775344,1873478.740963387,4.18426112176941e-07,2.8624646630582744e-05,2.7385925001775345e-06,0.00018734787409633872,41842611217694.09,2862464663058274.0,-936756.68290246
500.0,2.25873702728e-09,1.0286372158798e-07,8.22503409293675e-05,2.2876894426811254e-05,1.0,0.000181,1.5278874536821952e-11,36414.30584259488,1228729.4292378938,5.563696103144697e-07,1.8773602789026625e-05,3.6414305842594877e-06,0.0001228729429237894,55636961031446.97,1877360278902662.2,-334495.84794275
500.0,6.9816490361285e-10,3.4753665477091e-07,4.7751626184137505e-05,3.4846379503925e-05,1.0,0.000181,1.5278874536821952e-11,68395.91325349259,553960.0818516518,1.045012577431471e-06,8.463886589019007e-06,6.839591325349259e-06,5.539600818516518e-05,104501257743147.08,846388658901900.6,-94857.513677665
500.0,1.6867548518527e-10,1.4586741373209e-06,3.729760143871e-05,4.4132355636805e-05,1.0,0.000181,1.5278874536821952e-11,221120.46334263103,167155.33855418998,3.378471816935997e-06,2.553945445929466e-06,2.2112046334263104e-05,1.6715533855418997e-05,337847181693599.7,255394544592946.56,14236.902145709
500.0,4.4007982066244e-11,5.6048131883752e-06,3.2335977785515005e-05,5.3746296464035006e-05,1.0,0.000181,1.5278874536821952e-11,734775.290010811,52979.61849255919,1.1226539468832145e-05,8.094689439565041e-07,7.34775290010811e-05,5.297961849255919e-06,1122653946883214.4,80946894395650.39,144910.13961918
500.0,3.0939330410682e-11,7.970529830408e-06,3.0648458226217504e-05,5.88820760178125e-05,1.0,0.000181,1.5278874536821952e-11,990598.6270354426,40814.7694114249,1.5135232138822611e-05,6.236037410864795e-07,9.905986270354426e-05,4.08147694114249e-06,1513523213882261.0,62360374108647.945,210799.84603452
