time,average_ci,average_cv,left_jix,left_jvx,right_jix,right_jvx,tot_ci,tot_cv
0,0,0,0,0,0,0,0,0
1,9.8041180048003e-07,9.9010903244014e-07,-7.2007836057199e-14,-6.9781333906723e-16,-1.8862187582274e-14,-6.3083236179581e-16,0.064252267756259,0.064887785549997
2.2,2.1552640224893e-06,2.1857848480959e-06,3.6530344315773e-14,-6.8693509445805e-16,-1.7732722946523e-14,-6.2411203350468e-16,0.14124738297786,0.14324759580482
3.64,3.5512647452647e-06,3.6236558133989e-06,-4.17942168357e-14,-1.273974141791e-15,-5.9794781926358e-14,-6.1816425751848e-16,0.23273568634567,0.23747990738691
5.368,5.202009137187e-06,5.3502260263584e-06,1.2714231630771e-15,-1.5055244843564e-15,-1.6013728129466e-14,-6.119565287925e-16,0.34091887081469,0.35063241286343
7.4416,7.1462683903977e-06,7.4223583717028e-06,6.0996641004414e-15,-1.5818551195603e-15,-7.3422172299451e-15,-6.0494915742649e-16,0.4683378452331,0.48643167824791
9.92992,9.426874874947e-06,9.908688004733e-06,5.2388051944733e-13,-1.5194351768122e-15,2.1368440907677e-13,-5.9678649831963e-16,0.61779967180453,0.64937577707818
12.915904,1.2089530180222e-05,1.2891700806194e-05,2.7263889329874e-13,-2.1965225510879e-15,1.5601350630357e-13,-5.8714528217643e-16,0.79229944989104,0.84487050403471
16.4990848,1.5181125850948e-05,1.6470375341116e-05,2.2535413412615e-13,-2.6278897822132e-15,3.1742466262514e-14,-5.759477602e-16,0.99491026376776,1.0794025183554
20.79890176,1.8747206993084e-05,2.0763399104828e-05,1.5565431214959e-13,-3.7499664810576e-15,-1.3627200790741e-13,-5.6305716235673e-16,1.2286169574988,1.360750123734
25.958682112,2.2828319095396e-05,2.5913038466533e-05,-1.6867820846527e-14,-8.0876411511508e-15,-2.368073468323e-14,-5.4810782791555e-16,1.4960767202359,1.6982368889427
32.1504185344,2.7454981899778e-05,3.2089775132149e-05,-1.2406890494721e-13,-1.6439530609011e-14,1.3694324801895e-13,-5.3142608023939e-16,1.7992896937838,2.1030355030605
39.58050224128,3.2641169500242e-05,3.9497851730998e-05,-1.0355770542804e-13,-2.0384733307014e-14,3.7466800118835e-14,-5.1046384609497e-16,2.1391716843678,2.5885312110427
48.496602689536,3.837636963914e-05,4.8381891289583e-05,-1.4942303177012e-13,-2.2998360072338e-14,-9.5088673775405e-14,-4.9065851098878e-16,2.5150337606707,3.1707556275541
59.195923227443,4.4616675487463e-05,5.9034799029176e-05,2.1881895357676e-15,-2.9656884669573e-14,-2.3944795053205e-13,-4.8234883382165e-16,2.9239984447464,3.8689045891761
72.035107872932,5.1275941439795e-05,7.1807187659942e-05,1.5227691194046e-13,-4.878021299712e-15,-9.6904253808843e-14,-4.5691602465078e-16,3.3604200981984,4.705955850482
87.442129447518,5.8218808309593e-05,8.7118615383342e-05,-7.5392061161415e-14,-3.4207358205967e-16,5.0704150780351e-15,-4.2573586610638e-16,3.8154278213775,5.7094055777627
