x,y,z,id,xi,xv,jvx,jix,xie,xve,Di,Dv,K0_dist,super_saturation,void_nucleation_rate
0,0,0,0,0,3.7e-11,-1.1277517195048e-16,-2.247952409268e-16,0,3.7e-11,1,0.000181,1.6794355318317e-21,1,4.3037883693406e-07
1,0,0,1,2.2140636598997e-16,3.7595875204261e-11,-1.0299622163005e-16,-2.1801749107832e-16,0,3.7e-11,1,0.000181,4.474782485707e-21,0.98304420576096,3.9231098633395e-07
2,0,0,2,4.3377573238204e-16,3.8122560365629e-11,-9.0858465251183e-17,-2.0898049162981e-16,0,3.7e-11,1,0.000181,1.1455360014475e-20,0.9655678204863,3.5599387724041e-07
3,0,0,3,6.3710809957082e-16,3.8585706601549e-11,-7.9738095539233e-17,-1.9994349257243e-16,0,3.7e-11,1,0.000181,2.8175639131026e-20,0.94772357702099,3.2178905759731e-07
4,0,0,4,8.3140346794087e-16,3.8990864064167e-11,-6.9613532844811e-17,-1.9090649389543e-16,0,3.7e-11,1,0.000181,6.658356291448e-20,0.92966147941963,2.899445894054e-07
5,0,0,5,1.016661837865e-15,3.9343434455046e-11,-6.0454810105408e-17,-1.8186949558645e-16,0,3.7e-11,1,0.000181,1.5117796877966e-19,0.91152751956076,2.6060658428115e-07
6,0,0,6,1.1928832097026e-15,3.9648627040143e-11,-5.0306599689488e-17,-1.7057324819677e-16,0,3.7e-11,1,0.000181,3.2979054604717e-19,0.89346248836244,2.3383321750042e-07
7,0,0,7,1.360067583799e-15,3.9911419152696e-11,-4.4877475658273e-17,-1.6379550001662e-16,0,3.7e-11,1,0.000181,6.9121971780476e-19,0.87560090829312,2.0960994447513e-07
8,0,0,8,1.5182149604838e-15,4.013652200347e-11,-3.8364144448005e-17,-1.5475850272522e-16,0,3.7e-11,1,0.000181,1.3919455781863e-18,0.8580701093242,1.8786482954323e-07
9,0,0,9,1.6673253400707e-15,4.0328352450187e-11,-3.2629341667708e-17,-1.4572150574118e-16,0,3.7e-11,1,0.000181,2.6931256345797e-18,0.84098946594194,1.6848312905746e-07
10,0,0,10,1.8073987228563e-15,4.0491011232504e-11,-2.7614626283443e-17,-1.3668450904749e-16,0,3.7e-11,1,0.000181,5.0063267623354e-18,0.82446980890353,1.5132051771285e-07
11,0,0,11,1.9384351091202e-15,4.0628267623142e-11,-2.325928940688e-17,-1.2764751262676e-16,0,3.7e-11,1,0.000181,8.9414919944237e-18,0.80861301040294,1.362145720396e-07
12,0,0,12,2.0604344981402e-15,4.0743544933694e-11,-1.9499263963407e-17,-1.186105146571e-16,0,3.7e-11,1,0.000181,1.5343661620602e-17,0.79351159248296,1.2299421528097e-07
