x,y,z,id,cv,ci,jvx,jix,D,jx,jy,mat_therm_cond
0,225,0,0,7.7278467455282e-06,7.7275464376816e-06,0,0,15,0.02136588171365,-4.0357959927073e-05,1
0.45,225,0,0.45,7.7278780788677e-06,7.7275777690552e-06,0,0,14.990403514311,0.02136588171365,-4.0357959927073e-05,1
0.9,225,0,0.9,7.7279094122071e-06,7.7276091004288e-06,0,0,14.980807028622,0.02136588171365,-4.0357959927073e-05,1
1.35,225,0,1.35,7.7279407455465e-06,7.7276404318025e-06,0,0,14.971210542932,0.02136588171365,-4.0357959927073e-05,1
1.8,225,0,1.8,7.727972078886e-06,7.7276717631761e-06,0,0,14.961614057243,0.02136588171365,-4.0357959927073e-05,1
2.25,225,0,2.25,7.7280034118232e-06,7.7277030941476e-06,0,0,14.952027134356,0.02135559792138,-0.00013204075780432,1
2.7,225,0,2.7,7.7280347447604e-06,7.7277344251192e-06,0,0,14.942440211468,0.02135559792138,-0.00013204075780432,1
3.15,225,0,3.15,7.7280660776977e-06,7.7277657560907e-06,0,0,14.932853288581,0.02135559792138,-0.00013204075780432,1
3.6,225,0,3.6,7.7280974106349e-06,7.7277970870622e-06,0,0,14.923266365693,0.02135559792138,-0.00013204075780432,1
4.05,225,0,4.05,7.7281848946296e-06,7.7278845656859e-06,0,0,14.913693217111,0.021294965510095,-0.00020466758913096,1
4.5,225,0,4.5,7.7282723786243e-06,7.7279720443097e-06,0,0,14.904120068528,0.021294965510095,-0.00020466758913096,1
4.95,225,0,4.95,7.728359862619e-06,7.7280595229334e-06,0,0,14.894546919946,0.021294965510095,-0.00020466758913096,1
5.4,225,0,5.4,7.7284473466137e-06,7.7281470015571e-06,0,0,14.884973771363,0.021294965510095,-0.00020466758913096,1
5.85,225,0,5.85,7.7285348345872e-06,7.7282344841594e-06,0,0,14.875423837653,0.021252850423828,-0.00025674509562812,1
6.3,225,0,6.3,7.7286223225608e-06,7.7283219667617e-06,0,0,14.865873903943,0.021252850423828,-0.00025674509562812,1
6.75,225,0,6.75,7.7287098105343e-06,7.728409449364e-06,0,0,14.856323970234,0.021252850423828,-0.00025674509562812,1
7.2,225,0,7.2,7.7287972985078e-06,7.7284969319662e-06,0,0,14.846774036524,0.021252850423828,-0.00025674509562812,1
7.65,225,0,7.65,7.7288609149579e-06,7.72856054442e-06,0,0,14.837244834338,0.021191817123256,-0.00030333287520501,1
8.1,225,0,8.1,7.7289245314079e-06,7.7286241568737e-06,0,0,14.827715632153,0.021191817123256,-0.00030333287520501,1
8.55,225,0,8.55,7.728988147858e-06,7.7286877693275e-06,0,0,14.818186429967,0.021191817123256,-0.00030333287520501,1
9,225,0,9,7.729051764308e-06,7.7287513817812e-06,0,0,14.808657227782,0.021191817123256,-0.00030333287520501,1
9.45,225,0,9.45,7.7291153768314e-06,7.7288149903086e-06,0,0,14.799144545613,0.021131306331264,-0.00031115776458518,1
9.9,225,0,9.9,7.7291789893548e-06,7.728878598836e-06,0,0,14.789631863444,0.021131306331264,-0.00031115776458518,1
10.35,225,0,10.35,7.7292426018782e-06,7.7289422073634e-06,0,0,14.780119181275,0.021131306331264,-0.00031115776458518,1
10.8,225,0,10.8,7.7293062144016e-06,7.7290058158908e-06,0,0,14.770606499106,0.021131306331264,-0.00031115776458518,1
11.25,225,0,11.25,7.7293629223646e-06,7.729062520301e-06,0,0,14.761143237065,0.021029470990514,-0.00029958287315673,1
11.7,225,0,11.7,7.7294196303276e-06,7.7291192247111e-06,0,0,14.751679975119,0.021029470990514,-0.00029958287315673,1
12.15,225,0,12.15,7.7294763382906e-06,7.7291759291213e-06,0,0,14.742216713174,0.021029470990514,-0.00029958287315673,1
12.6,225,0,12.6,7.7295330462536e-06,7.7292326335314e-06,0,0,14.732753451228,0.021029470990514,-0.00029958287315673,1
13.05,225,0,13.05,7.7295897542166e-06,7.7292893379415e-06,0,0,14.723290189282,0.021029470990514,-0.00029958287315673,1
13.5,225,0,13.5,7.7296464621796e-06,7.7293460423517e-06,0,0,14.713826927336,0.021029470990514,-0.00029958287315673,1
13.95,225,0,13.95,7.7297031701425e-06,7.7294027467618e-06,0,0,14.704363665391,0.021029470990514,-0.00029958287315673,1
14.4,225,0,14.4,7.7297598781055e-06,7.7294594511719e-06,0,0,14.694900403445,0.021029470990514,-0.00029958287315673,1
14.85,225,0,14.85,7.7297793014821e-06,7.7294788732963e-06,0,0,14.685477865351,0.020938973543133,-0.00027031606961631,1
15.3,225,0,15.3,7.7297987248586e-06,7.7294982954207e-06,0,0,14.676055327256,0.020938973543133,-0.00027031606961631,1
15.75,225,0,15.75,7.7298181482352e-06,7.7295177175451e-06,0,0,14.666632789162,0.020938973543133,-0.00027031606961631,1
16.2,225,0,16.2,7.7298375716118e-06,7.7295371396695e-06,0,0,14.657210251067,0.020938973543133,-0.00027031606961631,1
16.65,225,0,16.65,7.7298569949883e-06,7.7295565617939e-06,0,0,14.647787712973,0.020938973543133,-0.00027031606961631,1
17.1,225,0,17.1,7.7298764183649e-06,7.7295759839182e-06,0,0,14.638365174879,0.020938973543133,-0.00027031606961631,1
17.55,225,0,17.55,7.7298958417414e-06,7.7295954060426e-06,0,0,14.628942636784,0.020938973543133,-0.00027031606961631,1
18,225,0,18,7.729915265118e-06,7.729614828167e-06,0,0,14.61952009869,0.020938973543133,-0.00027031606961631,1
18.45,225,0,18.45,7.7299239615155e-06,7.7296235240445e-06,0,0,14.610117702241,0.020894214330786,-0.00021326763805715,1
18.9,225,0,18.9,7.729932657913e-06,7.729632219922e-06,0,0,14.600715305792,0.020894214330786,-0.00021326763805715,1
19.35,225,0,19.35,7.7299413543105e-06,7.7296409157995e-06,0,0,14.591312909343,0.020894214330786,-0.00021326763805715,1
19.8,225,0,19.8,7.729950050708e-06,7.729649611677e-06,0,0,14.581910512894,0.020894214330786,-0.00021326763805715,1
20.25,225,0,20.25,7.7299587471055e-06,7.7296583075545e-06,0,0,14.572508116445,0.020894214330786,-0.00021326763805715,1
20.7,225,0,20.7,7.729967443503e-06,7.729667003432e-06,0,0,14.563105719997,0.020894214330786,-0.00021326763805715,1
21.15,225,0,21.15,7.7299761399005e-06,7.7296756993095e-06,0,0,14.553703323548,0.020894214330786,-0.00021326763805715,1
21.6,225,0,21.6,7.729984836298e-06,7.729684395187e-06,0,0,14.544300927099,0.020894214330786,-0.00021326763805715,1
22.05,225,0,22.05,7.7299872529094e-06,7.7296868116093e-06,0,0,14.534897839467,0.020895750293105,-0.000157339058553,1
22.5,225,0,22.5,7.7299896695208e-06,7.7296892280316e-06,0,0,14.525494751835,0.020895750293105,-0.000157339058553,1
22.95,225,0,22.95,7.7299920861322e-06,7.7296916444539e-06,0,0,14.516091664203,0.020895750293105,-0.000157339058553,1
23.4,225,0,23.4,7.7299945027437e-06,7.7296940608762e-06,0,0,14.506688576571,0.020895750293105,-0.000157339058553,1
23.85,225,0,23.85,7.7299969193551e-06,7.7296964772985e-06,0,0,14.497285488939,0.020895750293105,-0.000157339058553,1
24.3,225,0,24.3,7.7299993359665e-06,7.7296988937208e-06,0,0,14.487882401308,0.020895750293105,-0.000157339058553,1
24.75,225,0,24.75,7.7300017525779e-06,7.7297013101432e-06,0,0,14.478479313676,0.020895750293105,-0.000157339058553,1
25.2,225,0,25.2,7.7300041691893e-06,7.7297037265655e-06,0,0,14.469076226044,0.020895750293105,-0.000157339058553,1
25.65,225,0,25.65,7.7300029991692e-06,7.7297025566465e-06,0,0,14.45965673646,0.020932199074234,-0.00012280579401497,1
26.1,225,0,26.1,7.7300018291491e-06,7.7297013867276e-06,0,0,14.450237246877,0.020932199074234,-0.00012280579401497,1
26.55,225,0,26.55,7.730000659129e-06,7.7297002168087e-06,0,0,14.440817757294,0.020932199074234,-0.00012280579401497,1
27,225,0,27,7.7299994891089e-06,7.7296990468897e-06,0,0,14.43139826771,0.020932199074234,-0.00012280579401497,1
27.45,225,0,27.45,7.7299983190888e-06,7.7296978769708e-06,0,0,14.421978778127,0.020932199074234,-0.00012280579401497,1
27.9,225,0,27.9,7.7299971490687e-06,7.7296967070518e-06,0,0,14.412559288543,0.020932199074234,-0.00012280579401497,1
28.35,225,0,28.35,7.7299959790486e-06,7.7296955371329e-06,0,0,14.40313979896,0.020932199074234,-0.00012280579401497,1
28.8,225,0,28.8,7.7299948090285e-06,7.729694367214e-06,0,0,14.393720309376,0.020932199074234,-0.00012280579401497,1
29.25,225,0,29.25,7.7299889814235e-06,7.7296885399635e-06,0,0,14.384275911369,0.020987551127296,-0.00012048677257503,1
29.7,225,0,29.7,7.7299831538184e-06,7.7296827127131e-06,0,0,14.374831513362,0.020987551127296,-0.00012048677257503,1
30.15,225,0,30.15,7.7299773262133e-06,7.7296768854626e-06,0,0,14.365387115355,0.020987551127296,-0.00012048677257503,1
30.6,225,0,30.6,7.7299714986083e-06,7.7296710582121e-06,0,0,14.355942717347,0.020987551127296,-0.00012048677257503,1
31.05,225,0,31.05,7.7299656710032e-06,7.7296652309617e-06,0,0,14.34649831934,0.020987551127296,-0.00012048677257503,1
31.5,225,0,31.5,7.7299598433982e-06,7.7296594037112e-06,0,0,14.337053921333,0.020987551127296,-0.00012048677257503,1
31.95,225,0,31.95,7.7299540157931e-06,7.7296535764608e-06,0,0,14.327609523326,0.020987551127296,-0.00012048677257503,1
32.4,225,0,32.4,7.7299481881881e-06,7.7296477492103e-06,0,0,14.318165125318,0.020987551127296,-0.00012048677257503,1
32.85,225,0,32.85,7.7299357958179e-06,7.7296353576394e-06,0,0,14.308693739964,0.021047523009367,-0.00015816616826531,1
33.3,225,0,33.3,7.7299234034477e-06,7.7296229660685e-06,0,0,14.29922235461,0.021047523009367,-0.00015816616826531,1
33.75,225,0,33.75,7.7299110110774e-06,7.7296105744976e-06,0,0,14.289750969256,0.021047523009367,-0.00015816616826531,1
34.2,225,0,34.2,7.7298986187072e-06,7.7295981829267e-06,0,0,14.280279583901,0.021047523009367,-0.00015816616826531,1
34.65,225,0,34.65,7.729886226337e-06,7.7295857913559e-06,0,0,14.270808198547,0.021047523009367,-0.00015816616826531,1
35.1,225,0,35.1,7.7298738339668e-06,7.729573399785e-06,0,0,14.261336813193,0.021047523009367,-0.00015816616826531,1
35.55,225,0,35.55,7.7298614415966e-06,7.7295610082141e-06,0,0,14.251865427839,0.021047523009367,-0.00015816616826531,1
36,225,0,36,7.7298490492264e-06,7.7295486166432e-06,0,0,14.242394042485,0.021047523009367,-0.00015816616826531,1
36.45,225,0,36.45,7.7298097878765e-06,7.7295093577675e-06,0,0,14.232906968087,0.021082387548948,-0.00022999538691015,1
36.9,225,0,36.9,7.7297705265265e-06,7.7294700988918e-06,0,0,14.22341989369,0.021082387548948,-0.00022999538691015,1
37.35,225,0,37.35,7.7297312651766e-06,7.7294308400161e-06,0,0,14.213932819293,0.021082387548948,-0.00022999538691015,1
37.8,225,0,37.8,7.7296920038267e-06,7.7293915811404e-06,0,0,14.204445744896,0.021082387548948,-0.00022999538691015,1
38.25,225,0,38.25,7.7296527424768e-06,7.7293523222647e-06,0,0,14.194958670499,0.021082387548948,-0.00022999538691015,1
38.7,225,0,38.7,7.7296134811268e-06,7.729313063389e-06,0,0,14.185471596102,0.021082387548948,-0.00022999538691015,1
39.15,225,0,39.15,7.7295742197769e-06,7.7292738045133e-06,0,0,14.175984521705,0.021082387548948,-0.00022999538691015,1
39.6,225,0,39.6,7.729534958427e-06,7.7292345456376e-06,0,0,14.166497447308,0.021082387548948,-0.00022999538691015,1
40.05,225,0,40.05,7.7294927759999e-06,7.7291923659054e-06,0,0,14.157010445092,0.021082227147352,-0.00031313232737151,1
40.5,225,0,40.5,7.7294505935729e-06,7.7291501861732e-06,0,0,14.147523442876,0.021082227147352,-0.00031313232737151,1
40.95,225,0,40.95,7.7294084111458e-06,7.729108006441e-06,0,0,14.138036440659,0.021082227147352,-0.00031313232737151,1
41.4,225,0,41.4,7.7293662287188e-06,7.7290658267088e-06,0,0,14.128549438443,0.021082227147352,-0.00031313232737151,1
41.85,225,0,41.85,7.7293240462917e-06,7.7290236469766e-06,0,0,14.119062436227,0.021082227147352,-0.00031313232737151,1
42.3,225,0,42.3,7.7292818638647e-06,7.7289814672444e-06,0,0,14.10957543401,0.021082227147352,-0.00031313232737151,1
42.75,225,0,42.75,7.7292396814376e-06,7.7289392875122e-06,0,0,14.100088431794,0.021082227147352,-0.00031313232737151,1
43.2,225,0,43.2,7.7291974990105e-06,7.72889710778e-06,0,0,14.090601429578,0.021082227147352,-0.00031313232737151,1
43.65,225,0,43.65,7.7291212256259e-06,7.7288208391584e-06,0,0,14.081125759257,0.021079547765076,-0.0003769670788184,1
44.1,225,0,44.1,7.7290449522412e-06,7.7287445705367e-06,0,0,14.071650088804,0.021079547765076,-0.0003769670788184,1
44.55,225,0,44.55,7.7289686788564e-06,7.7286683019149e-06,0,0,14.06217441835,0.021079547765076,-0.0003769670788184,1
45,225,0,45,7.7288924054717e-06,7.7285920332931e-06,0,0,14.052698747897,0.021079547765076,-0.0003769670788184,1
45.45,225,0,45.45,7.728816144821e-06,7.7285157774043e-06,0,0,14.043228798969,0.021064727787259,-0.00041986622758017,1
45.9,225,0,45.9,7.7287398841703e-06,7.7284395215156e-06,0,0,14.033758850041,0.021064727787259,-0.00041986622758017,1
46.35,225,0,46.35,7.7286636235196e-06,7.7283632656268e-06,0,0,14.024288901113,0.021064727787259,-0.00041986622758017,1
46.8,225,0,46.8,7.7285873628689e-06,7.728287009738e-06,0,0,14.014818952185,0.021064727787259,-0.00041986622758017,1
47.25,225,0,47.25,7.7284435366907e-06,7.7281431922374e-06,0,0,14.005357847777,0.021040345670486,-0.00045593227321028,1
47.7,225,0,47.7,7.7282997105125e-06,7.7279993747369e-06,0,0,13.99589674337,0.021040345670486,-0.00045593227321028,1
48.15,225,0,48.15,7.7281558843342e-06,7.7278555572363e-06,0,0,13.986435638962,0.021040345670486,-0.00045593227321028,1
48.6,225,0,48.6,7.728012058156e-06,7.7277117397358e-06,0,0,13.976974534555,0.021040345670486,-0.00045593227321028,1
49.05,225,0,49.05,7.7278654976043e-06,7.7275651880334e-06,0,0,13.967514503224,0.020866659584908,-0.00052200571968088,0.98997422981058
49.5,225,0,49.5,7.7277189370527e-06,7.7274186363309e-06,0,0,13.958054471893,0.020866659584908,-0.00052200571968088,0.98997422981058
49.95,225,0,49.95,7.7275723765011e-06,7.7272720846285e-06,0,0,13.948594440562,0.020866659584908,-0.00052200571968088,0.98997422981058
50.4,225,0,50.4,7.7274258159494e-06,7.7271255329261e-06,0,0,13.939134409231,0.020866659584908,-0.00052200571968088,0.98997422981058
50.85,225,0,50.85,7.7274153273723e-06,7.7271150457217e-06,0,0,13.929692323264,0.020954606952728,-0.00051498545627915,1
51.3,225,0,51.3,7.7274048387952e-06,7.7271045585173e-06,0,0,13.920250237298,0.020954606952728,-0.00051498545627915,1
51.75,225,0,51.75,7.7273943502181e-06,7.7270940713129e-06,0,0,13.910808151331,0.020954606952728,-0.00051498545627915,1
52.2,225,0,52.2,7.727383861641e-06,7.7270835841085e-06,0,0,13.901366065365,0.020954606952728,-0.00051498545627915,1
52.65,225,0,52.65,7.7271910654131e-06,7.7268908007329e-06,0,0,13.89197145991,0.020379356717687,-0.0007083542120704,0.97256124228804
53.1,225,0,53.1,7.7269982691852e-06,7.7266980173572e-06,0,0,13.882576854455,0.020379356717687,-0.0007083542120704,0.97256124228804
53.55,225,0,53.55,7.7268054729573e-06,7.7265052339816e-06,0,0,13.873182249001,0.020379356717687,-0.0007083542120704,0.97256124228804
54,225,0,54,7.7266126767294e-06,7.7263124506059e-06,0,0,13.863787643546,0.020379356717687,-0.0007083542120704,0.97256124228804
54.45,225,0,54.45,7.7263421461546e-06,7.7260419333533e-06,0,0,13.854367733886,0.02090745624636,-0.00051856853059362,1
54.9,225,0,54.9,7.7260716155797e-06,7.7257714161007e-06,0,0,13.844947824227,0.02090745624636,-0.00051856853059362,1
55.35,225,0,55.35,7.7258010850049e-06,7.7255008988481e-06,0,0,13.835527914568,0.02090745624636,-0.00051856853059362,1
55.8,225,0,55.8,7.72553055443e-06,7.7252303815954e-06,0,0,13.826108004908,0.02090745624636,-0.00051856853059362,1
56.25,225,0,56.25,7.7252119877001e-06,7.724911831213e-06,0,0,13.816668655557,0.02071340527504,-0.00058542584232375,0.98969611094346
56.7,225,0,56.7,7.7248934209702e-06,7.7245932808307e-06,0,0,13.807229306206,0.02071340527504,-0.00058542584232375,0.98969611094346
57.15,225,0,57.15,7.7245748542403e-06,7.7242747304483e-06,0,0,13.797789956854,0.02071340527504,-0.00058542584232375,0.98969611094346
57.6,225,0,57.6,7.7242562875104e-06,7.7239561800659e-06,0,0,13.788350607503,0.02071340527504,-0.00058542584232375,0.98969611094346
58.05,225,0,58.05,7.7238375787396e-06,7.7235375060715e-06,0,0,13.778916375766,0.019696313732616,-0.0008928489661838,0.93861119266036
58.5,225,0,58.5,7.7234188699687e-06,7.7231188320771e-06,0,0,13.76948214403,0.019696313732616,-0.0008928489661838,0.93861119266036
58.95,225,0,58.95,7.7230000968416e-06,7.7227000937297e-06,0,0,13.760051075204,0.019568255900385,-0.00092607318206839,0.93270996641536
59.4,225,0,59.4,7.7225813237146e-06,7.7222813553824e-06,0,0,13.750620006377,0.019568255900385,-0.00092607318206839,0.93270996641536
59.85,225,0,59.85,7.7220969561199e-06,7.7217970266672e-06,0,0,13.741193414135,0.019432951411113,-0.00096481852146671,0.9265091429908
60.3,225,0,60.3,7.7216125885252e-06,7.721312697952e-06,0,0,13.731766821892,0.019432951411113,-0.00096481852146671,0.9265091429908
60.75,225,0,60.75,7.7211282775036e-06,7.720828425803e-06,0,0,13.722339315127,0.019293945586951,-0.001005354164186,0.91984407649885
61.2,225,0,61.2,7.7206439664819e-06,7.720344153654e-06,0,0,13.712911808362,0.019293945586951,-0.001005354164186,0.91984407649885
61.65,225,0,61.65,7.7201472623109e-06,7.7198474729098e-06,0,0,13.703490799651,0.019137543694071,-0.0010496916187455,0.91272608805004
62.1,225,0,62.1,7.71965055814e-06,7.7193507921655e-06,0,0,13.694069790939,0.019137543694071,-0.0010496916187455,0.91272608805004
62.55,225,0,62.55,7.719157060735e-06,7.7188573179871e-06,0,0,13.68464877207,0.018979054326924,-0.0010998429073942,0.90510903402215
63,225,0,63,7.71866356333e-06,7.7183638438087e-06,0,0,13.675227753201,0.018979054326924,-0.0010998429073942,0.90510903402215
63.45,225,0,63.45,7.717923666972e-06,7.7176239848887e-06,0,0,13.66580432998,0.018813094415613,-0.0011500664369568,0.89693805839222
63.9,225,0,63.9,7.7171837706139e-06,7.7168841259688e-06,0,0,13.65638090676,0.018813094415613,-0.0011500664369568,0.89693805839222
64.35,225,0,64.35,7.7164484840915e-06,7.7161488765906e-06,0,0,13.646954602215,0.018637993109924,-0.0012019180915163,0.88817855573209
64.8,225,0,64.8,7.7157131975691e-06,7.7154136272124e-06,0,0,13.637528297669,0.018637993109924,-0.0012019180915163,0.88817855573209
65.25,225,0,65.25,7.7147977092095e-06,7.7144981985862e-06,0,0,13.628097970142,0.018450697493334,-0.0012560512751557,0.87880788731635
65.7,225,0,65.7,7.7138822208499e-06,7.71358276996e-06,0,0,13.618667642614,0.018450697493334,-0.0012560512751557,0.87880788731635
66.15,225,0,66.15,7.7129735277848e-06,7.7126741361947e-06,0,0,13.609234215346,0.018250382312687,-0.0013123920992079,0.86883567147295
66.6,225,0,66.6,7.7120648347198e-06,7.7117655024295e-06,0,0,13.599800788078,0.018250382312687,-0.0013123920992079,0.86883567147295
67.05,225,0,67.05,7.7108548545278e-06,7.7105556001732e-06,0,0,13.590364278196,0.018037321727959,-0.0013722227993135,0.85826864539376
67.5,225,0,67.5,7.7096448743358e-06,7.709345697917e-06,0,0,13.580927768315,0.018037321727959,-0.0013722227993135,0.85826864539376
67.95,225,0,67.95,7.7085291562144e-06,7.7082300517872e-06,0,0,13.57148641855,0.017813533680325,-0.0014335556457734,0.84712194065484
68.4,225,0,68.4,7.707413438093e-06,7.7071144056574e-06,0,0,13.562045068784,0.017813533680325,-0.0014335556457734,0.84712194065484
