time,average_ci,average_cv,bottom_jix,bottom_jvx,left_jix,left_jvx,right_jix,right_jvx,top_jiy,top_jvy
0,0,0,0,0,0,0,0,0,0,0
1,9.2749837101425e-13,3.8682599378745e-11,-6.4464326972005e-13,-4.3188716089212e-16,-6.1404551851682e-13,-4.3175649261501e-16,6.1404551851682e-13,4.31756492615e-16,6.4633121544168e-13,4.4462464779007e-16
2.2,2.0101720684801e-12,3.9981717009738e-11,-1.3615061997373e-12,-9.0937122257499e-16,-1.2951875309654e-12,-9.0858287906299e-16,1.2951875309654e-12,9.0858287906298e-16,1.3701062261728e-12,9.3329981776931e-16
3.64,3.2615640697316e-12,4.1546396093655e-11,-1.8944376147055e-12,-1.6298319786984e-15,-1.7716691934788e-12,-1.626177180834e-15,1.7716691934788e-12,1.626177180834e-15,1.8973538831222e-12,1.6668023006407e-15
5.368,4.7068822224657e-12,4.3426409913725e-11,-2.3604598797723e-12,-2.5601874203779e-15,-2.1773221025966e-12,-2.5617279340449e-15,2.1773221025966e-12,2.5617279340448e-15,2.3626487378175e-12,2.6131148804436e-15
7.4416,6.3757414981606e-12,4.5690496372553e-11,-2.923181181903e-12,-4.4141770753068e-15,-2.6690229556597e-12,-4.4387597948126e-15,2.6690229556597e-12,4.4387597948129e-15,2.9275469157938e-12,4.5002601204963e-15
9.92992,8.2981161027697e-12,4.8410589784006e-11,-3.3995876668039e-12,-6.9584813017667e-15,-3.0542875087136e-12,-6.9840615616228e-15,3.0542875087136e-12,6.9840615616231e-15,3.3997179749695e-12,7.0567112786792e-15
12.915904,1.0506754158052e-11,5.1675438748185e-11,-3.8838463665167e-12,-1.0106589525648e-14,-3.4343435173843e-12,-1.0121716130286e-14,3.4343435173843e-12,1.0121716130287e-14,3.8837607760027e-12,1.0207641166668e-14
16.4990848,1.3034611955131e-11,5.5592754649849e-11,-4.3937125238861e-12,-1.3867131518891e-14,-3.8194842758918e-12,-1.3864448867539e-14,3.819484275892e-12,1.386444886754e-14,4.3936507698141e-12,1.3966696574072e-14
20.79890176,1.5912999419128e-11,6.0282176085943e-11,-4.9348106915909e-12,-1.8289344556774e-14,-4.2108439506612e-12,-1.826284595011e-14,4.210843950662e-12,1.8262845950111e-14,4.9347597821149e-12,1.8385171177671e-14
25.958682112,1.9167852296602e-11,6.5909947858189e-11,-5.5119804697739e-12,-2.3455170329627e-14,-4.6079358098409e-12,-2.3398567975835e-14,4.6079358098425e-12,2.3398567975836e-14,5.5119302341773e-12,2.3546286438234e-14
32.1504185344,2.2827037742145e-11,7.2669535271518e-11,-6.129899704375e-12,-2.9458415785878e-14,-5.0111432702117e-12,-2.936435012161e-14,5.0111432702022e-12,2.9364350121612e-14,6.129879290603e-12,2.9544114828164e-14
39.58050224128,2.6897692689845e-11,8.0778738382448e-11,-6.7923944840216e-12,-3.6399334552928e-14,-5.4166636634885e-12,-3.6258983612404e-14,5.4166636633722e-12,3.6258983612405e-14,6.7923831683111e-12,3.6479033141026e-14
48.496602689536,3.1372435418986e-11,9.0504144441661e-11,-7.5021299744281e-12,-4.4382305633077e-14,-5.821508664779e-12,-4.4185074754241e-14,5.8215086641541e-12,4.4185074754243e-14,7.5021183449243e-12,4.4455519721019e-14
