bias,Ci_Center,Cv_center,Fi,Fv,Di,Dv,rho,Zi,Zv,ki,kv,Zi_scaled,Zv_scaled,ki_scaled,kv_scaled
0,6.6714007283119E-12,3.6913227172392E-08,1.4342650548244E-05,1.43430144596826E-05,1,0.000181,2.98415518297304E-14,2149870.93900342,2146741.96434573,6.41554850535016E-08,6.40621115940802E-08,0.0002149870939,0.000214674196435,6415548505350.16,6406211159408.02
5,5.333381083305E-13,4.6200947778068E-07,1.03571047528142E-05,2.388583043288E-05,1,0.000181,2.98415518297304E-14,19419397.5473362,285634.646777652,5.79504958410972E-07,8.52378111618204E-09,0.001941939754734,2.85634646777652E-05,57950495841097.2,852378111618.204
10,2.6453190762581E-13,9.3136342413902E-07,8.64215769995952E-06,3.59663137504576E-05,1,0.000181,2.98415518297304E-14,32669623.0240178,213352.715597649,9.74912248728981E-07,6.36677612052096E-09,0.003266962302402,2.13352715597649E-05,97491224872898.1,636677612052.096
20,1.3540067686963E-13,1.8194852097425E-06,7.06632197479312E-06,6.07819473439872E-05,1,0.000181,2.98415518297304E-14,52188232.2759501,184564.217384576,1.55737783836477E-06,5.50768265899544E-09,0.005218823227595,1.84564217384576E-05,155737783836477,550768265899.543
30,9.0489497463954E-14,2.7224603861428E-06,6.21938983759456E-06,8.66531277521968E-05,1,0.000181,2.98415518297304E-14,68730515.8266795,175850.699096902,2.05102525032596E-06,5.24765775139452E-09,0.006873051582668,1.75850699096902E-05,205102525032596,524765775139.452
40,6.7479731175567E-14,3.6507450312712E-06,5.6590742626528E-06,0.000113383780439,1,0.000181,2.98415518297304E-14,83863319.608212,171589.557971772,2.5026115987017E-06,5.12049868765517E-09,0.008386331960821,1.71589557971772E-05,250261159870170,512049868765.517
50,5.4063627061033E-14,4.5566617105467E-06,5.2633578014712E-06,0.000139769200152,1,0.000181,2.98415518297304E-14,97354877.7171265,169467.380893527,2.90522062927269E-06,5.05716963038285E-09,0.009735487771713,1.69467380893527E-05,290522062927269,505716963038.285
