"K0","K0_dist","source_i","source_v","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.037e-15,5.5611e-17,5.5523e-17,5.8299e-17,1,452.5,452.5,0,0
9.037e-15,5.7411e-17,5.732e-17,6.0186e-17,1,455,455,0,0
9.037e-15,5.9263e-17,5.9169e-17,6.2128e-17,1,457.5,457.5,0,0
9.037e-15,6.1169e-17,6.1072e-17,6.4126e-17,1,460,460,0,0
9.037e-15,6.3129e-17,6.303e-17,6.6181e-17,1,462.5,462.5,0,0
9.037e-15,6.5146e-17,6.5044e-17,6.8296e-17,1,465,465,0,0
9.037e-15,6.7221e-17,6.7116e-17,7.0472e-17,1,467.5,467.5,0,0
9.037e-15,6.9355e-17,6.9247e-17,7.2709e-17,1,470,470,0,0
9.037e-15,7.1549e-17,7.1438e-17,7.501e-17,1,472.5,472.5,0,0
9.037e-15,7.3806e-17,7.3691e-17,7.7376e-17,1,475,475,0,0
9.037e-15,7.6126e-17,7.6008e-17,7.9809e-17,1,477.5,477.5,0,0
9.037e-15,7.8511e-17,7.839e-17,8.2309e-17,1,480,480,0,0
9.037e-15,8.0962e-17,8.0838e-17,8.488e-17,1,482.5,482.5,0,0
9.037e-15,8.3482e-17,8.3355e-17,8.7522e-17,1,485,485,0,0
9.037e-15,8.6072e-17,8.5941e-17,9.0238e-17,1,487.5,487.5,0,0
9.037e-15,8.8733e-17,8.8599e-17,9.3028e-17,1,490,490,0,0
9.037e-15,9.1468e-17,9.1329e-17,9.5896e-17,1,492.5,492.5,0,0
9.037e-15,9.4277e-17,9.4419e-17,9.914e-17,1,495,495,0,0
9.037e-15,9.7162e-17,9.7016e-17,1.0187e-16,1,497.5,497.5,0,0
9.037e-15,1.0013e-16,9.9977e-17,1.0498e-16,1,500,500,0,0
9.037e-15,1.0317e-16,1.0302e-16,1.0817e-16,1,502.5,502.5,0,0
9.037e-15,1.063e-16,1.0614e-16,1.1145e-16,1,505,505,0,0
9.037e-15,1.0951e-16,1.0934e-16,1.1481e-16,1,507.5,507.5,0,0
9.037e-15,1.128e-16,1.1264e-16,1.1827e-16,1,510,510,0,0
9.037e-15,1.1619e-16,1.1601e-16,1.2181e-16,1,512.5,512.5,0,0
9.037e-15,1.1966e-16,1.1948e-16,1.2546e-16,1,515,515,0,0
9.037e-15,1.2322e-16,1.2304e-16,1.2919e-16,1,517.5,517.5,0,0
9.037e-15,1.2688e-16,1.2706e-16,1.3342e-16,1,520,520,0,0
9.037e-15,1.3063e-16,1.3044e-16,1.3696e-16,1,522.5,522.5,0,0
