x,Ci,Cv,Ji,Cv,Di,Dv,Zi,Zv,rho,rho,ki,kv
500.0,6.6044345360538e-11,3.6395654836896e-06,3.86919351426e-15,2.8241631908289e-12,1.0,0.000181,5.85847810760779e-05,0.004287080867610402,1.5278874536821944e+19,1.5278874536821944e+19,895109519828574.8,6.55017707054291e+16
500.0,6.0086861640046e-11,1.9694003930754e-06,7.9752044899884e-16,1.418131765551e-13,1.0,0.000181,1.3272792541178714e-05,0.00039783591785929196,1.5278874536821944e+19,1.5278874536821944e+19,202793331989935.7,6078485075213523.0
