x,y,z,id,mat_therm_cond,cv,ci,jvx,jix,T,jx,jy,dTdx,dTdy,gr0
0,433,0,0,1,7.4923981828375e-06,7.2164134494562e-06,3.2762403248717e-19,3.1780559713951e-16,0,-0.48994780612588,-4.9685246808692e-06,0.48994780612588,4.9685246808692e-06,-4.8883227084388e-10
0.2,433,0,0.2,1,7.492398182964e-06,7.2164134495633e-06,3.2762403248717e-19,3.1780559713951e-16,0.09799588878749,-0.48994780612588,-4.9685246808692e-06,0.48994780612588,4.9685246808692e-06,-4.4819200721265e-10
0.4,433,0,0.4,1,7.4923981830905e-06,7.2164134496703e-06,3.2762403248717e-19,3.1780559713951e-16,0.19599177757498,-0.48994780612588,-4.9685246808692e-06,0.48994780612588,4.9685246808692e-06,-4.0755174358142e-10
0.6,433,0,0.6,1,7.492398183217e-06,7.2164134497774e-06,3.2762403248717e-19,3.1780559713951e-16,0.29398766636247,-0.48994780612588,-4.9685246808692e-06,0.48994780612588,4.9685246808692e-06,-3.6691147995019e-10
0.8,433,0,0.8,1,7.4923981833435e-06,7.2164134498844e-06,3.2762403248717e-19,3.1780559713951e-16,0.39198355514996,-0.48994780612588,-4.9685246808692e-06,0.48994780612588,4.9685246808692e-06,-3.2627121631896e-10
1,433,0,1,1,7.49239818347e-06,7.2164134499915e-06,3.2762403248717e-19,3.1780559713951e-16,0.48997944393745,-0.48994780612588,-4.9685246808692e-06,0.48994780612588,4.9685246808692e-06,-2.8563095268774e-10
1.2,433,0,1.2,1,7.4923981835965e-06,7.2164134500986e-06,3.2762403248717e-19,3.1780559713951e-16,0.58797533272494,-0.48994780612588,-4.9685246808692e-06,0.48994780612588,4.9685246808692e-06,-2.4499068905651e-10
1.4,433,0,1.4,1,7.492398183723e-06,7.2164134502056e-06,3.2762403248717e-19,3.1780559713951e-16,0.68597122151243,-0.48994780612588,-4.9685246808692e-06,0.48994780612588,4.9685246808692e-06,-2.0435042542528e-10
1.6,433,0,1.6,1,7.4923981838495e-06,7.2164134503127e-06,3.2762403248717e-19,3.1780559713951e-16,0.78396711029992,-0.48994780612588,-4.9685246808692e-06,0.48994780612588,4.9685246808692e-06,-1.6371016179405e-10
1.8,433,0,1.8,1,7.492398183976e-06,7.2164134504198e-06,3.2762403248717e-19,3.1780559713951e-16,0.88196299908741,-0.48994780612588,-4.9685246808692e-06,0.48994780612588,4.9685246808692e-06,-1.2306989816282e-10
2,433,0,2,1,7.4923981841025e-06,7.2164134505268e-06,3.2762403248717e-19,3.1780559713951e-16,0.9799588878749,-0.48994780612588,-4.9685246808692e-06,0.48994780612588,4.9685246808692e-06,-8.2429634531595e-11
2.2,433,0,2.2,1,7.492398184229e-06,7.2164134506339e-06,3.2762403248717e-19,3.1780559713951e-16,1.0779547766624,-0.48994780612588,-4.9685246808692e-06,0.48994780612588,4.9685246808692e-06,-4.1789370900367e-11
2.4,433,0,2.4,1,7.4923981843555e-06,7.216413450741e-06,3.2762403248717e-19,3.1780559713951e-16,1.1759506654499,-0.48994780612588,-4.9685246808692e-06,0.48994780612588,4.9685246808692e-06,-1.1491072691394e-12
2.6,433,0,2.6,1,7.492398184482e-06,7.216413450848e-06,3.2762403248717e-19,3.1780559713951e-16,1.2739465542374,-0.48994780612588,-4.9685246808692e-06,0.48994780612588,4.9685246808692e-06,3.9491156362089e-11
