x,y,z,id,T,jx,jy,dTdx,dTdy,gr0
500,0,0,0,250.7174855233,-0.49387710720861,-3.611597634201e-05,0.49387710720861,3.611597634201e-05,-8.3062603314216e-32
500,0.1732,0,0.1732,250.71749177254,-0.49387710720861,-3.611597634201e-05,0.49387710720861,3.611597634201e-05,-8.0192406201133e-32
500,0.3464,0,0.3464,250.71749802179,-0.49387710720861,-3.611597634201e-05,0.49387710720861,3.611597634201e-05,-7.7322209088049e-32
500,0.5196,0,0.5196,250.71750427103,-0.49387710720861,-3.611597634201e-05,0.49387710720861,3.611597634201e-05,-7.4452011974966e-32
500,0.6928,0,0.6928,250.71751052027,-0.49387710720861,-3.611597634201e-05,0.49387710720861,3.611597634201e-05,-7.1581814861883e-32
500,0.866,0,0.866,250.71751676951,-0.49387710720861,-3.611597634201e-05,0.49387710720861,3.611597634201e-05,-6.87116177488e-32
500,1.0392,0,1.0392,250.71752301875,-0.49387710720861,-3.611597634201e-05,0.49387710720861,3.611597634201e-05,-6.5841420635717e-32
500,1.2124,0,1.2124,250.717529268,-0.49387710720861,-3.611597634201e-05,0.49387710720861,3.611597634201e-05,-6.2971223522626e-32
500,1.3856,0,1.3856,250.71753551724,-0.49387710720861,-3.611597634201e-05,0.49387710720861,3.611597634201e-05,-6.0101026409551e-32
500,1.5588,0,1.5588,250.71754176648,-0.49387710720861,-3.611597634201e-05,0.49387710720861,3.611597634201e-05,-5.7230829296467e-32
500,1.732,0,1.732,250.71754801572,-0.49387710720861,-3.611597634201e-05,0.49387710720861,3.611597634201e-05,-5.4360632183377e-32
500,1.9052,0,1.9052,250.71755426497,-0.49387710720861,-3.611597634201e-05,0.49387710720861,3.611597634201e-05,-5.1490435070308e-32
500,2.0784,0,2.0784,250.71756051421,-0.49387710720861,-3.611597634201e-05,0.49387710720861,3.611597634201e-05,-4.8620237957218e-32
500,2.2516,0,2.2516,250.71756676345,-0.49387710720861,-3.611597634201e-05,0.49387710720861,3.611597634201e-05,-4.5750040844129e-32
500,2.4248,0,2.4248,250.71757301269,-0.49387710720861,-3.611597634201e-05,0.49387710720861,3.611597634201e-05,-4.2879843731057e-32
500,2.598,0,2.598,250.71757926194,-0.49387710720861,-3.611597634201e-05,0.49387710720861,3.611597634201e-05,-4.0009646617969e-32
500,2.7712,0,2.7712,250.71758551118,-0.49387710720861,-3.611597634201e-05,0.49387710720861,3.611597634201e-05,-3.7139449504885e-32
500,2.9444,0,2.9444,250.71759176042,-0.49387710720861,-3.611597634201e-05,0.49387710720861,3.611597634201e-05,-3.4269252391807e-32
500,3.1176,0,3.1176,250.71759800966,-0.49387710720861,-3.611597634201e-05,0.49387710720861,3.611597634201e-05,-3.1399055278719e-32
500,3.2908,0,3.2908,250.71760425891,-0.49387710720861,-3.611597634201e-05,0.49387710720861,3.611597634201e-05,-2.8528858165639e-32
500,3.464,0,3.464,250.71761050815,-0.49387710720861,-3.611597634201e-05,0.49387710720861,3.611597634201e-05,-2.5658661052553e-32
500,3.6372,0,3.6372,250.71761675739,-0.49387710720861,-3.611597634201e-05,0.49387710720861,3.611597634201e-05,-2.2788463939467e-32
500,3.8104,0,3.8104,250.71762300663,-0.49387710720861,-3.611597634201e-05,0.49387710720861,3.611597634201e-05,-1.9918266826387e-32
500,3.9836,0,3.9836,250.71762925588,-0.49387710720861,-3.611597634201e-05,0.49387710720861,3.611597634201e-05,-1.7048069713303e-32
500,4.1568,0,4.1568,250.71763550512,-0.49387710720861,-3.611597634201e-05,0.49387710720861,3.611597634201e-05,-1.417787260022e-32
500,4.33,0,4.33,250.71764175436,-0.49387710720861,-3.611597634201e-05,0.49387710720861,3.611597634201e-05,-1.1307675487138e-32
500,4.5032,0,4.5032,250.7176480036,-0.49387710720861,-3.611597634201e-05,0.49387710720861,3.611597634201e-05,-8.437478374054e-33
500,4.6764,0,4.6764,250.71765425284,-0.49387710720861,-3.611597634201e-05,0.49387710720861,3.611597634201e-05,-5.5672812609708e-33
500,4.8496,0,4.8496,250.71766050209,-0.49387710720861,-3.611597634201e-05,0.49387710720861,3.611597634201e-05,-2.6970841478877e-33
500,5.0228,0,5.0228,250.71766675133,-0.49387710720861,-3.611597634201e-05,0.49387710720861,3.611597634201e-05,1.7311296519547e-34
500,5.196,0,5.196,250.71767300057,-0.49387710720861,-3.611597634201e-05,0.49387710720861,3.611597634201e-05,3.0433100782786e-33
500,5.3692,0,5.3692,250.71767924981,-0.49387710720861,-3.611597634201e-05,0.49387710720861,3.611597634201e-05,5.9135071913618e-33
500,5.5424,0,5.5424,250.71768549906,-0.49387710720861,-3.611597634201e-05,0.49387710720861,3.611597634201e-05,8.7837043044449e-33
500,5.7156,0,5.7156,250.7176917483,-0.49387710720861,-3.611597634201e-05,0.49387710720861,3.611597634201e-05,1.1653901417528e-32
500,5.8888,0,5.8888,250.71769799754,-0.49387710720861,-3.611597634201e-05,0.49387710720861,3.611597634201e-05,1.4524098530611e-32
500,6.062,0,6.062,250.71770424678,-0.49387710720861,-3.611597634201e-05,0.49387710720861,3.611597634201e-05,1.7394295643694e-32
500,6.2352,0,6.2352,250.71771049603,-0.49387710720861,-3.611597634201e-05,0.49387710720861,3.611597634201e-05,2.0264492756777e-32
500,6.4084,0,6.4084,250.71771674527,-0.49387710720861,-3.611597634201e-05,0.49387710720861,3.611597634201e-05,2.3134689869861e-32
500,6.5816,0,6.5816,250.71772299451,-0.49387710720861,-3.611597634201e-05,0.49387710720861,3.611597634201e-05,2.6004886982944e-32
