time,T_cold,T_hot,average_ci,average_cv,bnd_length,dt,grain_tracker,jx,k_eff,left_jix,left_jvx,left_jx,left_jy,right_jix,right_jvx,right_jy,tot_ci,tot_cv
0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
0.5,0,500,4.9507547609237e-07,4.9753606085442e-07,3716.310497061,0.5,4,-0.49306515903578,0.98613031807156,2.7315472674521e-14,2.4916496673017e-17,-0.4930397134274,4.9094217187458e-07,-2.123312982442e-14,1.3244665309692e-16,-1.7354205734322e-06,0.42873536229603,0.43086622869997
1.5,0,500,1.4821443142425e-06,1.4954565736146e-06,3561.122154186,1,4,-0.48997306845668,0.97994613691336,-2.1970484631411e-12,-3.6301781891022e-15,-0.48999738556594,2.3622257264935e-08,1.1498684603852e-12,-1.4309743992006e-16,-1.4477262790631e-06,1.2835369761339,1.2950653927501
3.5,0,500,3.4300262402855e-06,3.4931272001473e-06,3496.1593123069,2,4,-0.48901684502564,0.97803369005128,-3.1404471968466e-12,-1.5964685908152e-14,-0.48901638388897,9.7090287378941e-06,2.4729041520727e-12,-1.3796390009667e-15,-9.116871334235e-07,2.9704027240867,3.025048155327
7.5,0,500,7.2123597199545e-06,7.4881025095049e-06,3470.5545341423,4,4,-0.48952564222019,0.97905128444038,-2.7654800947441e-12,-5.216926010549e-14,-0.48952567480547,1.0057463580256e-05,7.6843959140645e-13,-9.8321756508126e-15,-1.0422169735628e-06,6.2459035174791,6.4846967732297
15.5,0,500,1.4338909574174e-05,1.5471474179347e-05,3462.1522053325,8,4,-0.48991489228886,0.97982978457772,9.1032362091392e-12,-9.273781170628e-14,-0.48991817769103,-5.0459795789297e-07,-1.0660742995549e-11,-2.923123893686e-14,-3.1604696285167e-06,12.417495691232,13.398296639311
31.5,0,500,2.700765035719e-05,3.1409611191917e-05,3456.6857113985,16,4,-0.48995578544539,0.97991157089079,3.9683828610922e-11,-8.3714200524004e-14,-0.48995598313754,-1.9052641702226e-07,-4.0983916236879e-11,-2.7324604197439e-14,-8.7607994043984e-07,23.388625209373,27.200723292254
63.5,0,500,4.7152970240262e-05,6.3173053711146e-05,3454.9555974408,32,4,-0.48993474639327,0.97986949278653,8.3406480359867e-11,2.3649424306729e-13,-0.48993750341594,-3.5979976512722e-06,-8.0995223453265e-11,-1.6507534112536e-13,7.0998328743004e-07,40.834472228167,54.707864513986
95.5,0,500,6.1817736973166e-05,9.4795071157675e-05,3454.9774133973,32,4,-0.48993382507465,0.9798676501493,1.5464494453029e-10,8.5578193527834e-13,-0.48993478790361,-5.3665315930809e-07,-1.5328896194201e-10,-4.2743186103112e-13,3.5248424560124e-06,53.534160218908,82.092531622771
159.5,0,500,8.0563083443065e-05,0.0001576677054856,3453.887472656,64,4,-0.48994074480557,0.97988148961113,2.6783753694835e-10,8.4244642598267e-13,-0.48994147489957,-1.693770331526e-08,-2.6812333447411e-10,-5.0750438826895e-13,8.5548889004277e-08,69.767630261877,136.54023295088
175.5,0,500,8.4606450383648e-05,0.00017724342075613,3453.8302618214,16,4,-0.48994047845281,0.97988095690562,3.0036611084594e-10,6.8525536469399e-13,-0.48994120533712,-1.4207607426337e-08,-3.0014060185047e-10,-4.9696952631031e-13,8.2903146931644e-08,73.269186032447,153.49280237525
191.5,0,500,8.7186823970269e-05,0.00019416504999202,3453.8239123485,16,4,-0.4899404878208,0.9798809756416,3.2572994390106e-10,5.8468614883846e-13,-0.48994121223683,-1.4405134266716e-08,-3.2537592389539e-10,-5.2100273758506e-13,7.9222950234773e-08,75.503789558472,168.14693329358
