time,average_xi,average_xv,left_jix,left_jvx,left_xi,left_xs,left_xv,right_jix,right_jvx,total_ci,total_cv
0,0,0,0,0,0,0,0,0,0,0,0
1,8.7520482024266e-09,9.6262903931472e-09,-1.5426337797337e-24,-1.6967274844513e-24,2.0897547341375e-17,1,2.0897547341375e-17,1.5605650384014e-24,1.7164498999516e-24,0.00055555486704117,0.00061104924878976
2.2,1.8476317471081e-08,2.1153816280886e-08,-3.2564761000574e-24,-3.7283986616767e-24,2.2000717759469e-23,1,2.2000717759469e-23,3.2944180936205e-24,3.7718345519178e-24,0.0011728235332629,0.0013427834627422
3.64,2.8858232472758e-08,3.4985112337661e-08,-5.0862233854315e-24,-6.1660960825593e-24,2.3161617148286e-29,1,2.3161617148343e-29,5.1455295085942e-24,6.2379869215507e-24,0.0018318376605834,0.0022207543861311
5.368,3.9573184316254e-08,5.1579959554557e-08,-6.9746651712317e-24,-9.0908528801368e-24,2.4384030399283e-35,1,2.4384142242814e-35,7.0560187357223e-24,9.1968851042872e-24,0.0025119920094952,0.0032741475948882
7.4416,5.0258817555797e-08,7.1489743042551e-08,-8.8579374323848e-24,-1.259984555564e-23,4.9376893654269e-40,1,6.9152502703615e-40,8.9612746790959e-24,1.2746839618818e-23,0.0031902852976878,0.0045379634312114
9.92992,6.0510554247384e-08,9.5375564449453e-08,-1.0664733692893e-23,-1.6809585769745e-23,5.6356987489085e-40,1,8.8830896606597e-40,1.0789157444927e-23,1.7005722138176e-23,0.0038410360800083,0.0060541667277382
12.915904,6.9907547532945e-08,1.2402992062517e-07,-1.232087916681e-23,-2.1859740363439e-23,6.5108031843484e-40,1,1.1551725867016e-39,1.2464625947319e-23,2.2114829981553e-23,0.0044375302073943,0.0078730629069132
16.4990848,7.8062010339746e-08,1.5840262218038e-07,-1.375802477887e-23,-2.7917698355024e-23,7.2701855378145e-40,1,1.4752909432063e-39,1.3918533567076e-23,2.8243506389585e-23,0.0049551520709449,0.010054943216605
20.79890176,8.4681972129453e-08,1.9963175245638e-07,-1.4924708050497e-23,-3.518402596959e-23,7.8866521814531e-40,1,1.8592622433186e-39,1.5098818258428e-23,3.5594659240273e-23,0.005375368219992,0.012672049916538
25.958682112,8.9631034056192e-08,2.4908060829937e-07,-1.579688521173e-23,-4.3898975515199e-23,8.3474979845521e-40,1,2.3197817396908e-39,1.598115754071e-23,4.4411345938107e-23,0.0056895204478014,0.015810921172478
32.1504185344,9.2963610843089e-08,3.0838171984843e-07,-1.638414304285e-23,-5.4350241247907e-23,8.6577884450849e-40,1,2.8720515064287e-39,1.6575252538072e-23,5.4984619870486e-23,0.0059010628446127,0.01957518530586
39.58050224128,9.4916302281568e-08,3.7948921750401e-07,-1.6728178519103e-23,-6.6882185281375e-23,8.8395563026849e-40,1,3.5342679065717e-39,1.6923289330507e-23,6.7662864098537e-23,0.0060250140852121,0.024088884898456
48.496602689536,9.584931488392e-08,4.6474100121873e-07,-1.6892474432225e-23,-8.1906789272178e-23,8.9263459769628e-40,1,4.3282002255399e-39,1.7089493437392e-23,8.2862871015155e-23,0.0060842390437885,0.029500423120278
59.195923227443,9.615364841243e-08,5.6693237133988e-07,-1.6945940542664e-23,-9.9916623307398e-23,8.9545692979998e-40,1,5.2798758545684e-39,1.7143579581684e-23,1.01082962823e-22,0.0061035572615424,0.035987237603848
72.035107872932,9.6158863035617e-08,6.8940299832222e-07,-1.6946656740243e-23,-1.2150016164611e-22,8.9549151548296e-40,1,6.4203894247368e-39,1.7144305077259e-23,1.2291848636189e-22,0.0061038882708358,0.043761321031629
87.442129447518,9.6078239670903e-08,8.3613932528777e-07,-1.69322069297e-23,-1.4735981294918e-22,8.947241828036e-40,1,7.7868552961586e-39,1.7129691326006e-23,1.490800542463e-22,0.0060987705313504,0.053075721356213
105.93055533702,9.6007766449105e-08,1.0118946784676e-06,-1.6919500336018e-23,-1.7833306413206e-22,8.9404826628594e-40,1,9.4235244650099e-39,1.7116843690863e-23,1.8041493615114e-22,0.0060942970937663,0.064232166065981
128.11666640443,9.59650769443e-08,1.2223294553601e-06,-1.69116347481e-23,-2.1541715277656e-22,8.9362727951308e-40,1,1.1383087771855e-38,1.7108895354525e-23,2.1793202009214e-22,0.0060915872866884,0.077589960926493
154.73999968531,9.5936662696494e-08,1.4741737101529e-06,-1.6906218001715e-23,-2.5979767264047e-22,8.9333463434584e-40,1,1.3728186721263e-38,1.7103426068104e-23,2.6283075306566e-22,0.0060897836318984,0.093576310435824
186.68799962237,9.5908169148986e-08,1.7754141916976e-06,-1.6900707409434e-23,-3.1288146818102e-22,8.9303577343306e-40,1,1.6533150621283e-38,1.7097863732886e-23,3.1653442127288e-22,0.0060879749433913,0.11269819045764
225.02559954685,9.5873097073769e-08,2.1355073075838e-06,-1.6893942772021e-23,-3.7633406904417e-22,8.9266916173781e-40,1,1.9885973166662e-38,1.7091035062447e-23,3.8072802402356e-22,0.0060857486688515,0.1355558665686
271.03071945622,9.5829918185271e-08,2.5656184168689e-06,-1.6885637399104e-23,-4.5212172370933e-22,8.9221937981968e-40,1,2.3890531409532e-38,1.7082650524678e-23,4.5740080148636e-22,0.0060830077971032,0.16285808367312
326.23686334746,9.5778041910556e-08,3.0788860374362e-06,-1.6875666857959e-23,-5.4255776725442e-22,8.9167953434098e-40,1,2.8669032865002e-38,1.7072584771632e-23,5.4889314854185e-22,0.0060797148402735,0.19543883712712
392.48423601695,9.5716288059954e-08,3.6907066518878e-06,-1.6863799518225e-23,-6.5035254118908e-22,8.9103701629342e-40,1,3.4364649092222e-38,1.7060604070321e-23,6.5794712407539e-22,0.006075794883314,0.23427545139765
471.98108322034,9.5642919283976e-08,4.4190313762112e-06,-1.6849702021702e-23,-7.7866529719771e-22,8.9027378660797e-40,1,4.1144252440239e-38,1.7046371861363e-23,7.8775896993733e-22,0.0060711376442723,0.28050741173718
567.37729986441,9.5555872234475e-08,5.2846592670837e-06,-1.6832979794786e-23,-9.3115536441194e-22,8.8936851360253e-40,1,4.9201111627139e-38,1.702948975353e-23,9.4203088833359e-22,0.0060656121477379,0.33545498248839
681.8527598373,9.5452813606375e-08,6.3115028001175e-06,-1.6813186808351e-23,-1.1120282208286e-21,8.8829708722152e-40,1,5.8757315059741e-38,1.7009507398689e-23,1.1250176685086e-21,0.0060590702822103,0.40063605888014
819.22331180476,9.5331122591162e-08,7.526788256847e-06,-1.6789822580455e-23,-1.3260698443436e-21,8.87032462647e-40,1,7.0065570949806e-38,1.6985919455808e-23,1.341561462233e-21,0.0060513456862971,0.47777888701758
984.06797416571,9.5187887189766e-08,8.9611365970446e-06,-1.6762331940242e-23,-1.5786596858812e-21,8.8554465496333e-40,1,8.3409872886813e-38,1.6958165341056e-23,1.5971049394042e-21,0.0060422535146661,0.56882719742431
1181.8815689988,9.5019931225598e-08,1.0648448216746e-05,-1.6730110653775e-23,-1.8757486960648e-21,8.8380105079225e-40,1,9.9104312828068e-38,1.6925634896796e-23,1.8976690984148e-21,0.0060315921527559,0.675932889813
1419.2578827986,9.4823876368833e-08,1.2625487675671e-05,-1.6692517835877e-23,-2.2237840327456e-21,8.8176708828324e-40,1,1.1748906978101e-37,1.6887680909952e-23,2.2497771454538e-21,0.0060191471538981,0.8014296727756
1704.1094593583,9.4596250231318e-08,1.4931033038104e-05,-1.664889728244e-23,-2.6295565701986e-21,8.7940742108912e-40,1,1.3892231203629e-37,1.6843640634483e-23,2.6603002852244e-21,0.0060046981008722,0.94777906638711
2045.93135123,9.4333655460518e-08,1.7604422063219e-05,-1.6598610538679e-23,-3.0999416947547e-21,8.7668771785834e-40,1,1.6376645419746e-37,1.6792869161698e-23,3.136195561823e-21,0.005988029339503,1.1174781185456
2456.117621476,9.4033015325524e-08,2.0683300852202e-05,-1.6541084579312e-23,-3.641499318109e-21,8.7357725126175e-40,1,1.923669718432e-37,1.673478754446e-23,3.6841012783742e-21,0.0059689455677549,1.3129164955618
2948.3411457712,9.3691909106361e-08,2.4200371959107e-05,-1.6475876492314e-23,-4.2598977539174e-21,8.7005240328691e-40,1,2.2502191233569e-37,1.666894809389e-23,4.3097542177153e-21,0.0059472931252807,1.5361700615818
3539.0093749255,9.3309004016668e-08,2.8178968226233e-05,-1.6402756212701e-23,-4.9591316030239e-21,8.6610113941825e-40,1,2.6194053626593e-37,1.6595117911181e-23,5.0171984419889e-21,0.0059229874106327,1.7887199183777
4247.8112499105,9.2884577125958e-08,3.2627374518367e-05,-1.6321805726277e-23,-5.7405211584016e-21,8.6172836091508e-40,1,3.031904487972e-37,1.6513379067305e-23,5.8077730063665e-21,0.0058960460113873,2.0710919653559
5098.3734998927,9.2421098712993e-08,3.7532018803163e-05,-1.6233528889486e-23,-6.6015164960998e-21,8.5696181248496e-40,1,3.4863447241143e-37,1.642423952966e-23,6.6789019809581e-21,0.0058666257337407,2.3824246889084
6119.0481998712,9.1923816688649e-08,4.2849994486019e-05,-1.6138959957544e-23,-7.5343898940346e-21,8.5185789595099e-40,1,3.9786171520189e-37,1.6328742821287e-23,7.6227713458399e-21,0.0058350596999934,2.7199945017207
7343.8578398454,9.1401241806176e-08,4.8501879506961e-05,-1.6039751463942e-23,-8.5249891074342e-21,8.4650634100374e-40,1,4.5012198729487e-37,1.6228556872325e-23,8.6250672469364e-21,0.0058018881483021,3.0787599196797
8813.6294078145,9.0865391542263e-08,5.4366458646717e-05,-1.5938214504211e-23,-9.5518363337802e-21,8.4103228059133e-40,1,5.042786414042e-37,1.6126014849358e-23,9.6640637334114e-21,0.0057678739135496,3.4510265490313
10577.355289377,9.0331619403113e-08,6.0279612938765e-05,-1.5837279167751e-23,-1.058597155516e-20,8.3559400187746e-40,1,5.5880089784858e-37,1.6024075371887e-23,1.0710463332377e-20,0.0057339915921847,3.8263765894483
12693.826347253,8.9817855598657e-08,6.6040047335741e-05,-1.5740343470423e-23,-1.1592006862518e-20,8.3037468860636e-40,1,6.1182024312791e-37,1.5926170121398e-23,1.1728462620828e-20,0.0057013793424034,4.1920324098338
15233.591616703,8.9343138933967e-08,7.1424253886187e-05,-1.5650990050531e-23,-1.2530804447043e-20,8.2556706947355e-40,1,6.61272555355e-37,1.5835917850023e-23,1.2678460541235e-20,0.0056712456928355,4.5338063677772
