time,average_ci,average_cv,left_jix,left_jvx,right_jix,right_jvx,tot_ci,tot_cv
0,0,0,0,0,0,0,0,0
1,9.7416990992871e-07,1.9909352466714e-06,-6.402565710548e-07,-2.5246177193648e-09,6.4025639426524e-07,2.5246174805877e-09,0.063843199217088,0.13047793232586
2.2,2.1269722367608e-06,4.379965023095e-06,-1.1904068227292e-06,-5.5489429465078e-09,1.1904067093007e-06,5.5489427077238e-09,0.13939325250835,0.28704538775356
3.64,3.4837248448112e-06,7.2466731729278e-06,-1.6632745692034e-06,-9.1685170646338e-09,1.6632745332788e-06,9.168516825861e-09,0.22830939142955,0.474917973061
5.368,5.0750361502473e-06,1.0686527504232e-05,-2.0986903410914e-06,-1.3497333122548e-08,2.0986903368467e-06,1.3497332883838e-08,0.33259756914261,0.70035226651738
7.4416,6.9351025874753e-06,1.4814067109818e-05,-2.5218541876075e-06,-1.8670581285357e-08,2.521854159873e-06,1.8670581046905e-08,0.45449888317278,0.97085470210904
9.92992,9.1006061167064e-06,1.9766703178786e-05,-2.9452856125504e-06,-2.4847929354371e-08,2.945285594629e-06,2.4847929116186e-08,0.59641732246447,1.2954306595249
12.915904,1.1609482517018e-05,2.57092761939e-05,-3.3748960848382e-06,-3.2217255721372e-08,3.374895981726e-06,3.2217255483715e-08,0.76083904623531,1.6848831246434
16.4990848,1.4499168287363e-05,3.2839518873669e-05,-3.8132686308253e-06,-4.0998759040332e-08,3.8132686071548e-06,4.0998758803097e-08,0.95021749288065,2.1521707089048
20.79890176,1.7804062666331e-05,4.1394602582191e-05,-4.2609759309627e-06,-5.14493555001e-08,4.2609759106687e-06,5.1449355263342e-08,1.1668070509007,2.7128366748265
25.958682112,2.1552010788294e-05,5.1658979809241e-05,-4.7170341175646e-06,-6.3867235920299e-08,4.7170341363868e-06,6.3867235683768e-08,1.4124325790216,3.3855229007784
