x,y,z,id,T,jx,dTdx,mat_therm_cond
0,0,0,0,1,-16.0000022074,1.4526273586336,11.014526273586
0.002,0,0,0.002,1.0029052547173,-16.0000022074,1.4526273586336,11.014526273586
0.004,0,0,0.004,1.005802876557,-16.000002297099,1.4488109198808,11.043540656371
0.006,0,0,0.006,1.0086929253657,-16.000002385225,1.4450244043211,11.072479009614
0.008,0,0,0.008,1.0115754602116,-16.000002471747,1.441267422955,11.101341927886
0.01,0,0,0.01,1.0144505393992,-16.000002556627,1.4375395938254,11.130129998054
0.012,0,0,0.012,1.0173182204829,-16.000002639829,1.4338405418555,11.158843799411
0.014,0,0,0.014,1.0201785602803,-16.000002721325,1.4301698986907,11.187483903816
0.016,0,0,0.016,1.0230316148854,-16.000002801081,1.426527302543,11.216050875829
0.018,0,0,0.018,1.0258774396815,-16.000002879075,1.4229123980433,11.244545272835
0.02,0,0,0.02,1.0287160893537,-16.00000295528,1.4193248360938,11.272967645176
0.022,0,0,0.022,1.0315476179011,-16.00000302967,1.4157642737274,11.301318536274
0.024,0,0,0.024,1.0343720786491,-16.000003102227,1.4122303739701,11.329598482751
0.026,0,0,0.026,1.0371895242605,-16.000003172932,1.4087228057067,11.357808014548
0.028,0,0,0.028,1.0400000067476,-16.000003241768,1.4052412435503,11.38594765504
0.03,0,0,0.03,1.042803577483,-16.000003308717,1.4017853677157,11.414017921153
0.032,0,0,0.032,1.0456002872108,-16.000003373766,1.3983548638961,11.442019323469
0.034,0,0,0.034,1.0483901860571,-16.000003436905,1.3949494231432,11.46995236634
0.036,0,0,0.036,1.0511733235406,-16.000003498124,1.3915687417499,11.497817547989
0.038,0,0,0.038,1.0539497485829,-16.000003557413,1.3882125211366,11.525615360617
0.04,0,0,0.04,1.0567195095184,-16.000003614764,1.3848804677405,11.553346290506
0.042,0,0,0.042,1.0594826541042,-16.000003670171,1.3815722929079,11.581010818113
0.044,0,0,0.044,1.0622392295298,-16.000003723636,1.3782877127895,11.60860941817
0.046,0,0,0.046,1.0649892824262,-16.000003775148,1.3750264482366,11.63614255978
0.048,0,0,0.048,1.0677328588756,-16.000003824716,1.3717882247036,11.663610706509
0.05,0,0,0.05,1.0704700044199,-16.000003872329,1.3685727721485,11.691014316478
0.052,0,0,0.052,1.0732007640698,-16.000003917996,1.3653798249408,11.718353842449
0.054,0,0,0.054,1.0759251823133,-16.00000396172,1.3622091217676,11.745629731916
0.056,0,0,0.056,1.0786433031244,-16.0000040035,1.3590604055439,11.772842427189
0.058,0,0,0.058,1.0813551699711,-16.000004043345,1.3559334233262,11.799992365478
0.06,0,0,0.06,1.0840608258235,-16.000004081261,1.3528279262258,11.827079978973
0.062,0,0,0.062,1.0867603131622,-16.000004117254,1.3497436693262,11.854105694929
0.064,0,0,0.064,1.0894536739854,-16.000004151334,1.3466804116022,11.881069935738
0.066,0,0,0.066,1.0921409498171,-16.000004183509,1.3436379158401,11.907973119012
0.068,0,0,0.068,1.0948221817142,-16.000004213791,1.3406159485611,11.934815657656
0.07,0,0,0.07,1.0974974102741,-16.000004242187,1.3376142799457,11.961597959941
0.072,0,0,0.072,1.1001666756416,-16.000004268714,1.3346326837609,11.988320429578
0.074,0,0,0.074,1.1028300175162,-16.000004293385,1.3316709372879,12.014983465789
0.076,0,0,0.076,1.1054874751587,-16.000004316208,1.3287288212516,12.041587463374
0.078,0,0,0.078,1.1081390873982,-16.000004337205,1.3258061197549,12.068132812784
0.08,0,0,0.08,1.1107848926386,-16.000004356384,1.3229026202089,12.094619900184
0.082,0,0,0.082,1.1134249288652,-16.000004373768,1.3200181132706,12.121049107519
0.084,0,0,0.084,1.1160592336507,-16.000004389366,1.3171523927776,12.147420812579
0.086,0,0,0.086,1.1186878441621,-16.000004403203,1.3143052556881,12.173735389064
0.088,0,0,0.088,1.1213107971661,-16.00000441529,1.3114765020181,12.199993206641
0.09,0,0,0.09,1.1239281290357,-16.000004425646,1.3086659347845,12.226194631009
0.092,0,0,0.092,1.1265398757556,-16.000004434298,1.3058733599471,12.252340023956
0.094,0,0,0.094,1.1291460729283,-16.000004441251,1.3030985863503,12.278429743419
0.096,0,0,0.096,1.1317467557796,-16.000004446541,1.3003414256721,12.30446414354
0.098,0,0,0.098,1.1343419591644,-16.000004450173,1.2976016923654,12.33044357472
0.1,0,0,0.1,1.1369317175716,-16.000004452179,1.2948792036107,12.35636838368
0.102,0,0,0.102,1.1395160651301,-16.000004452573,1.2921737792603,12.382238913508
0.104,0,0,0.104,1.1420950356137,-16.000004451382,1.289485241792,12.408055503719
0.106,0,0,0.106,1.1446686624462,-16.000004448619,1.2868134162568,12.433818490299
0.108,0,0,0.108,1.1472369787067,-16.000004444316,1.2841581302343,12.459528205764
0.11,0,0,0.11,1.1498000171342,-16.000004438488,1.2815192137832,12.485184979205
0.112,0,0,0.112,1.152357810133,-16.00000443116,1.2788964993974,12.510789136336
0.114,0,0,0.114,1.154910389777,-16.000004422356,1.2762898219609,12.53634099955
0.116,0,0,0.116,1.1574577878144,-16.000004412098,1.2736990187034,12.561840887957
0.118,0,0,0.118,1.1600000356727,-16.000004400406,1.2711239291583,12.587289117435
0.12,0,0,0.12,1.1625371644629,-16.000004387309,1.2685643951216,12.612686000678
0.122,0,0,0.122,1.1650692049841,-16.000004372826,1.2660202606094,12.638031847235
0.124,0,0,0.124,1.1675961877278,-16.000004356983,1.2634913718192,12.66332696356
0.126,0,0,0.126,1.170118142882,-16.000004339801,1.2609775770906,12.688571653049
0.128,0,0,0.128,1.1726351003357,-16.000004321307,1.258478726867,12.713766216088
0.13,0,0,0.13,1.175147089683,-16.000004301525,1.2559946736583,12.738910950094
0.132,0,0,0.132,1.177654140227,-16.000004280474,1.2535252720039,12.76400614955
0.134,0,0,0.134,1.1801562809839,-16.000004258186,1.251070378438,12.789052106055
0.136,0,0,0.136,1.1826535406868,-16.000004234674,1.248629851453,12.814049108353
0.138,0,0,0.138,1.1851459477897,-16.000004209975,1.2462035514671,12.838997442383
0.14,0,0,0.14,1.1876335304713,-16.000004184102,1.2437913407889,12.863897391305
0.142,0,0,0.142,1.1901163166385,-16.000004157086,1.2413930835861,12.888749235549
0.144,0,0,0.144,1.1925943339302,-16.000004128949,1.2390086458524,12.913553252843
0.146,0,0,0.146,1.1950676097209,-16.000004099716,1.2366378953767,12.938309718256
0.148,0,0,0.148,1.1975361711244,-16.000004069406,1.2342807017113,12.963018904227
0.15,0,0,0.15,1.2000000449967,-16.000004038054,1.2319369361438,12.987681080605
0.152,0,0,0.152,1.20245925794,-16.000004005668,1.2296064716642,13.012296514683
0.154,0,0,0.154,1.2049138363059,-16.000003972288,1.2272891829404,13.036865471229
0.156,0,0,0.156,1.2073638061984,-16.000003937924,1.2249849462851,13.061388212521
0.158,0,0,0.158,1.2098091934777,-16.000003902612,1.2226936396327,13.085864998381
0.16,0,0,0.16,1.2122500237627,-16.000003866366,1.2204151425082,13.110296086202
0.162,0,0,0.162,1.2146863224347,-16.000003829214,1.2181493360031,13.134681730987
0.164,0,0,0.164,1.2171181146402,-16.000003791177,1.2158961027484,13.159022185375
0.166,0,0,0.166,1.219545425294,-16.000003752285,1.2136553268897,13.183317699671
0.168,0,0,0.168,1.2219682790821,-16.000003712549,1.2114268940602,13.207568521881
0.17,0,0,0.17,1.2243867004648,-16.000003672002,1.2092106913594,13.231774897735
0.172,0,0,0.172,1.2268007136795,-16.000003630664,1.2070066073264,13.255937070722
0.174,0,0,0.174,1.2292103427433,-16.000003588557,1.2048145319173,13.280055282114
0.176,0,0,0.176,1.2316156114563,-16.000003545702,1.2026343564823,13.304129770998
0.178,0,0,0.178,1.2340165434038,-16.000003502125,1.2004659737431,13.3281607743
0.18,0,0,0.18,1.2364131619593,-16.000003457845,1.1983092777699,13.352148526815
0.182,0,0,0.182,1.2388054902872,-16.000003412886,1.1961641639609,13.376093261233
0.184,0,0,0.184,1.2411935513453,-16.000003367269,1.1940305290201,13.399995208163
0.186,0,0,0.186,1.2435773678871,-16.000003321015,1.1919082709366,13.423854596162
0.188,0,0,0.188,1.2459569624651,-16.000003274143,1.189797288964,13.447671651761
0.19,0,0,0.19,1.2483323574323,-16.000003226685,1.1876974836017,13.471446599487
0.192,0,0,0.192,1.2507035749454,-16.000003178649,1.1856087565722,13.495179661889
0.194,0,0,0.194,1.253070636967,-16.000003130064,1.1835310108048,13.518871059562
0.196,0,0,0.196,1.2554335652679,-16.000003080946,1.1814641504151,13.542521011175
0.198,0,0,0.198,1.2577923814292,-16.00000303132,1.1794080806869,13.566129733486
0.2,0,0,0.2,1.2601471068453,-16.000002981201,1.1773627080534,13.589697441373
0.202,0,0,0.202,1.2624977627255,-16.000002930611,1.17532794008,13.613224347854
0.204,0,0,0.204,1.2648443700964,-16.000002879572,1.1733036854469,13.63671066411
0.206,0,0,0.206,1.2671869498043,-16.000002828104,1.1712898539308,13.660156599503
0.208,0,0,0.208,1.269525522517,-16.000002776223,1.1692863563889,13.683562361607
0.21,0,0,0.21,1.2718601087265,-16.000002723948,1.167293104742,13.706928156218
0.212,0,0,0.212,1.2741907287504,-16.000002671302,1.165310011959,13.730254187385
0.214,0,0,0.214,1.2765174027345,-16.000002618305,1.1633369920397,13.753540657425
0.216,0,0,0.216,1.2788401506545,-16.000002564962,1.161373959999,13.776787766945
0.218,0,0,0.218,1.2811589923182,-16.00000251131,1.159420831854,13.799995714864
0.22,0,0,0.22,1.2834739473674,-16.000002457356,1.1574775246058,13.823164698428
0.222,0,0,0.222,1.2857850352799,-16.000002403119,1.1555439562264,13.846294913237
0.224,0,0,0.224,1.2880922753712,-16.000002348617,1.1536200456437,13.869386553255
0.226,0,0,0.226,1.2903956867966,-16.000002293872,1.1517057127279,13.892439810839
0.228,0,0,0.228,1.2926952885532,-16.000002238893,1.1498008782758,13.915454876749
0.23,0,0,0.23,1.2949910994812,-16.000002183703,1.1479054639991,13.938431940172
0.232,0,0,0.232,1.2972831382662,-16.000002128316,1.1460193925095,13.961371188737
0.234,0,0,0.234,1.2995714234408,-16.00000207275,1.144142587306,13.984272808535
0.236,0,0,0.236,1.3018559733863,-16.000002017021,1.1422749727616,14.007136984136
0.238,0,0,0.238,1.3041368063346,-16.000001961142,1.1404164741103,14.029963898604
0.24,0,0,0.24,1.3064139403694,-16.000001905135,1.1385670174359,14.05275373352
0.242,0,0,0.242,1.3086873934287,-16.000001849011,1.1367265296574,14.075506668991
0.244,0,0,0.244,1.3109571833058,-16.00000179278,1.1348949385181,14.098222883673
0.246,0,0,0.246,1.3132233276509,-16.000001736473,1.1330721725753,14.120902554784
0.248,0,0,0.248,1.3154858439733,-16.000001680087,1.1312581611845,14.143545858121
0.25,0,0,0.25,1.3177447496423,-16.000001623646,1.1294528344922,14.166152968078
0.252,0,0,0.252,1.3200000618891,-16.000001567165,1.1276561234222,14.188724057657
0.254,0,0,0.254,1.3222517978085,-16.000001510657,1.1258679596649,14.211259298488
0.256,0,0,0.256,1.3244999743598,-16.000001454133,1.1240882756663,14.233758860841
0.258,0,0,0.258,1.326744608369,-16.000001397606,1.1223170046179,14.256222913644
0.26,0,0,0.26,1.3289857165299,-16.000001341096,1.1205540804461,14.278651624495
0.262,0,0,0.262,1.3312233154055,-16.000001284609,1.1187994378007,14.301045159677
0.264,0,0,0.264,1.3334574214296,-16.000001228167,1.1170530120465,14.323403684176
0.266,0,0,0.266,1.3356880509081,-16.000001171772,1.1153147392513,14.345727361689
0.268,0,0,0.268,1.3379152200205,-16.000001115443,1.113584556178,14.368016354643
0.27,0,0,0.27,1.340138944821,-16.000001059189,1.1118624002735,14.390270824207
0.272,0,0,0.272,1.3423592412403,-16.000001003029,1.1101482096606,14.412490930307
0.274,0,0,0.274,1.3445761250866,-16.00000094697,1.1084419231267,14.434676831635
0.276,0,0,0.276,1.3467896120468,-16.000000891018,1.1067434801162,14.456828685667
0.278,0,0,0.278,1.3489997176883,-16.000000835194,1.1050528207214,14.478946648675
0.28,0,0,0.28,1.3512064574596,-16.000000779507,1.1033698856731,14.501030875739
0.282,0,0,0.282,1.3534098466923,-16.000000723965,1.1016946163315,14.523081520759
0.284,0,0,0.284,1.3556099006016,-16.00000066858,1.1000269546787,14.54509873647
0.286,0,0,0.286,1.3578066342883,-16.000000613366,1.0983668433097,14.567082674449
0.288,0,0,0.288,1.3600000627391,-16.000000558323,1.0967142254231,14.589033485137
0.29,0,0,0.29,1.3621902008287,-16.000000503479,1.095069044816,14.610951317839
0.292,0,0,0.292,1.3643770633205,-16.000000448826,1.0934312458714,14.632836320746
0.294,0,0,0.294,1.3665606648676,-16.000000394386,1.091800773555,14.65468864094
0.296,0,0,0.296,1.3687410200144,-16.000000340164,1.0901775734038,14.67650842441
0.298,0,0,0.298,1.3709181431974,-16.000000286168,1.0885615915205,14.698295816059
0.3,0,0,0.3,1.3730920487466,-16.000000232406,1.086952774565,14.72005095972
0.302,0,0,0.302,1.3752627508861,-16.000000178897,1.0853510697485,14.741773998163
0.304,0,0,0.304,1.3774302637357,-16.000000125639,1.0837564248235,14.763465073109
0.306,0,0,0.306,1.3795946013119,-16.000000072645,1.0821687880793,14.785124325238
0.308,0,0,0.308,1.3817557775285,-16.000000019921,1.0805881083336,14.806751894202
0.31,0,0,0.31,1.3839138061984,-15.999999967482,1.0790143349263,14.828347918635
0.312,0,0,0.312,1.3860687010338,-15.999999915326,1.0774474177114,14.849912536161
0.314,0,0,0.314,1.3882204756479,-15.99999986347,1.075887307052,14.871445883409
0.316,0,0,0.316,1.3903691435555,-15.999999811915,1.0743339538122,14.892948096017
0.318,0,0,0.318,1.3925147181742,-15.999999760674,1.0727873093521,14.914419308649
0.32,0,0,0.32,1.3946572128253,-15.999999709747,1.0712473255193,14.935859654998
0.322,0,0,0.322,1.3967966407346,-15.999999659152,1.0697139546453,14.957269267799
0.324,0,0,0.324,1.3989330150336,-15.999999608886,1.0681871495366,14.978648278841
0.326,0,0,0.326,1.4010663487606,-15.999999558964,1.0666668634708,14.999996818971
0.328,0,0,0.328,1.403196654861,-15.999999509386,1.0651530501889,15.021315018108
0.33,0,0,0.33,1.4053239461887,-15.999999460157,1.0636456638904,15.042603005249
0.332,0,0,0.332,1.4074482355072,-15.999999411292,1.0621446592278,15.06386090848
0.334,0,0,0.334,1.4095695354898,-15.999999362789,1.0606499912993,15.085088854985
0.336,0,0,0.336,1.4116878587211,-15.999999314662,1.0591616156452,15.106286971054
0.338,0,0,0.338,1.4138032176976,-15.999999266909,1.0576794882402,15.127455382093
0.34,0,0,0.34,1.4159156248286,-15.999999219542,1.05620356549,15.148594212631
0.342,0,0,0.342,1.418025092437,-15.999999172557,1.0547338042239,15.169703586328
0.344,0,0,0.344,1.4201316327604,-15.999999125973,1.0532701616921,15.190783625987
0.346,0,0,0.346,1.4222352579515,-15.999999079783,1.0518125955571,15.211834453559
0.348,0,0,0.348,1.4243359800793,-15.999999033996,1.0503610638915,15.232856190154
0.35,0,0,0.35,1.4264338111296,-15.999998988624,1.048915525172,15.253848956045
0.352,0,0,0.352,1.4285287630062,-15.999998943661,1.0474759382731,15.274812870679
0.354,0,0,0.354,1.4306208475311,-15.999998899118,1.0460422624644,15.295748052686
0.356,0,0,0.356,1.4327100764459,-15.999998854996,1.044614457404,15.316654619885
0.358,0,0,0.358,1.4347964614122,-15.999998811302,1.0431924831348,15.33753268929
0.36,0,0,0.36,1.4368800140123,-15.99999876804,1.0417763000792,15.358382377123
0.362,0,0,0.362,1.4389607457504,-15.99999872521,1.0403658690344,15.379203798814
0.364,0,0,0.364,1.4410386680527,-15.999998682822,1.0389611511689,15.399997069016
0.366,0,0,0.366,1.4431137922688,-15.999998640873,1.0375621080162,15.420762301608
0.368,0,0,0.368,1.4451861296717,-15.999998599376,1.0361687014727,15.441499609702
0.37,0,0,0.37,1.4472556914593,-15.999998558328,1.0347808937906,15.462209105655
0.372,0,0,0.372,1.4493224887545,-15.999998517727,1.0333986475757,15.482890901069
0.374,0,0,0.374,1.451386532606,-15.99999847759,1.0320219257833,15.503545106802
0.376,0,0,0.376,1.4534478339894,-15.999998437907,1.0306506917116,15.524171832977
0.378,0,0,0.378,1.4555064038074,-15.99999839869,1.0292849090007,15.544771188984
0.38,0,0,0.38,1.4575622528907,-15.999998359937,1.0279245416262,15.565343283491
0.382,0,0,0.382,1.4596153919985,-15.99999832165,1.0265695538965,15.585888224446
0.384,0,0,0.384,1.4616658318194,-15.99999828384,1.0252199104488,15.606406119089
0.386,0,0,0.386,1.4637135829719,-15.999998246494,1.0238755762434,15.626897073956
0.388,0,0,0.388,1.465758656005,-15.999998209633,1.0225365165638,15.647361194884
0.39,0,0,0.39,1.467801061399,-15.999998173245,1.0212026970081,15.66779858702
0.392,0,0,0.392,1.469840809566,-15.999998137335,1.019874083489,15.688209354825
0.394,0,0,0.394,1.4718779108505,-15.99999810191,1.0185506422287,15.708593602082
0.396,0,0,0.396,1.47391237553,-15.999998066968,1.0172323397551,15.728951431902
0.398,0,0,0.398,1.4759442138158,-15.99999803251,1.0159191428987,15.749282946729
0.4,0,0,0.4,1.4779734358533,-15.999997998544,1.0146110187894,15.769588248345
0.402,0,0,0.402,1.480000051723,-15.999997965062,1.0133079348517,15.789867437882
0.404,0,0,0.404,1.4820240714406,-15.999997932073,1.012009858803,15.810120615818
0.406,0,0,0.406,1.4840455049579,-15.999997899572,1.0107167586489,15.830347881993
0.408,0,0,0.408,1.4860643621633,-15.99999786757,1.0094286026812,15.850549335606
0.41,0,0,0.41,1.4880806528823,-15.999997836058,1.0081453594727,15.870725075228
0.412,0,0,0.412,1.490094386878,-15.999997805045,1.0068669978764,15.890875198801
0.414,0,0,0.414,1.492105573852,-15.999997774525,1.0055934870198,15.91099980365
0.416,0,0,0.416,1.4941142234447,-15.999997744504,1.0043247963043,15.931098986484
0.418,0,0,0.418,1.4961203452355,-15.999997714979,1.0030608953998,15.951172843401
0.42,0,0,0.42,1.4981239487439,-15.999997685956,1.0018017542436,15.971221469897
0.422,0,0,0.422,1.50012504343,-15.999997657428,1.0005473430355,15.99124496087
0.424,0,0,0.424,1.5021236386945,-15.999997629407,0.99929763223713,16.011243410623
0.426,0,0,0.426,1.5041197438796,-15.999997601878,0.99805259256596,16.031216912871
0.428,0,0,0.428,1.5061133682696,-15.999997574857,0.99681219499632,16.051165560746
0.43,0,0,0.43,1.5081045210911,-15.999997548331,0.99557641075251,16.071089446804
