size (nm),bias,xi,xv,ji_ND,jv_ND,Di_ND,Dv_ND,zi (m),zv(m),rho_i(1/m3),rho_v(1/m3),ksi(1/m2),ksv(1/m2)
5,0,2.82E-12,1.56E-08,2.25E-13,2.25E-13,1,1.81E-04,7.973E-02,7.954E-02,1.528E+25,1.528E+25,1.218E+24,1.215E+24
50,0,1.59E-10,8.80E-07,1.53E-12,1.53E-12,1,1.81E-04,9.581E-03,9.581E-03,1.528E+22,1.528E+22,1.464E+20,1.464E+20
250,0,2.11E-10,1.17E-06,1.59E-12,1.59E-12,1,1.81E-04,7.549E-03,7.549E-03,1.222E+20,1.222E+20,9.227E+17,9.227E+17
500,0,2.11E-10,1.17E-06,1.59E-12,1.59E-12,1,1.81E-04,7.549E-03,7.549E-03,1.528E+19,1.528E+19,1.153E+17,1.153E+17
1000,0,2.12E-10,1.16E-06,1.59E-12,1.59E-12,1,1.81E-04,7.524E-03,7.574E-03,1.910E+18,1.910E+18,1.437E+16,1.446E+16
2000,0,2.11E-10,1.17E-06,1.59E-12,1.59E-12,1,1.81E-04,7.549E-03,7.549E-03,2.387E+17,2.387E+17,1.802E+15,1.802E+15
3000,0,2.11E-10,1.17E-06,1.59E-12,1.59E-12,1,1.81E-04,7.542E-03,7.555E-03,7.074E+16,7.074E+16,5.335E+14,5.344E+14
4000,0,2.11E-10,1.17E-06,1.59E-12,1.59E-12,1,1.81E-04,7.548E-03,7.549E-03,2.984E+16,2.984E+16,2.252E+14,2.253E+14
5000,0,2.11E-10,1.17E-06,1.59E-12,1.59E-12,1,1.81E-04,7.546E-03,7.551E-03,1.528E+16,1.528E+16,1.153E+14,1.154E+14
