x,y,z,id,xi,xv,jvx,jix,xie,xve,Di,Dv,K0_dist_FP,K0_dist_II,super_saturation,void_nucleation_rate,Sv
0,0,0,0,0,3.7E-11,-5.5326999828422E-12,-5.5327065908899E-12,0,3.7E-11,1,0.000181,2.2622735593755E-13,9.5403363319204E-24,1,4.3037883693406E-07,1
1,0,0,1,5.5327065908899E-12,3.0604403220123E-08,-5.5326999828422E-12,-5.5327065908899E-12,0,3.7E-11,1,0.000181,2.2623323415188E-13,9.818479170555E-24,0.99901328240209,4.2808409476561E-07,826.996500365733
2,0,0,2,1.0839892219897E-11,5.9925834278181E-08,-5.3071790215086E-12,-5.3071856290076E-12,0,3.7E-11,1,0.000181,2.2623877588307E-13,1.0104478483309E-23,0.99802664674538,4.257995277845E-07,1619.32417259354
3,0,0,3,1.592329739644E-11,8.8010909249651E-08,-5.0833985698361E-12,-5.0834051765428E-12,0,3.7E-11,1,0.000181,2.2624398314318E-13,1.0398548610828E-23,0.99704012939091,4.2352518351408E-07,2378.24286357445
4,0,0,4,2.0785660181716E-11,1.1487475554575E-07,-4.8623561795945E-12,-4.8623627852759E-12,0,3.7E-11,1,0.000181,2.2624885797588E-13,1.070090952035E-23,0.996053765145,4.2126110455476E-07,3104.1613482586
5,0,0,5,2.5430580245687E-11,1.4053726084706E-07,-4.6449134595373E-12,-4.6449200639704E-12,0,3.7E-11,1,0.000181,2.2625340245697E-13,1.1011786947138E-23,0.99506758728578,4.1900732873507E-07,3797.61703423822
6,0,0,6,2.9862391927221E-11,1.6502237177835E-07,-4.4318050785626E-12,-4.4318116815348E-12,0,3.7E-11,1,0.000181,2.2625761869474E-13,1.1331412539294E-23,0.99408162757979,4.1676388923745E-07,4459.25701044386
7,0,0,7,3.4086046678892E-11,1.8835744443228E-07,-4.2236481503622E-12,-4.2236547516705E-12,0,3.7E-11,1,0.000181,2.2626150883045E-13,1.1660024006042E-23,0.99309591631815,4.1453081476664E-07,5089.82049690814
8,0,0,8,3.8107005053043E-11,2.1057264760742E-07,-4.0209517747E-12,-4.0209583741513E-12,0,3.7E-11,1,0.000181,2.2626507503876E-13,1.1997865269535E-23,0.99211048234694,4.1230812970222E-07,5690.12271898289
9,0,0,9,4.1931138199078E-11,2.317004185943E-07,-3.8241265486245E-12,-3.824133146035E-12,0,3.7E-11,1,0.000181,2.2626831952817E-13,1.2345186620287E-23,0.99112535311064,4.1009585427769E-07,6261.04020151624
