time,DOFs,T_cold,T_hot,average_ci,average_cv,dt,grain_tracker,jx,k_x_direct,left_jix,left_jvx,left_jx,left_jy,right_jix,right_jvx,right_jy,tot_ci,tot_cv
0,3326392,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
0.25,3326392,4.9999999996461,14.999999999919,2.4878228688991e-07,2.4940206577923e-07,0.25,25,0.021470969827339,0,0,0,0.021467299345305,3.6928046915533e-06,0,0,-7.3661534513478e-06,0.050378413095205,0.050503918320294
0.75,3299974,4.9999999999999,15,7.4548867860023e-07,7.4883822967389e-07,0.5,25,0.020869119710056,0.96619364223809,0,0,0.020865661224295,1.0141522721739e-06,0,0,-9.757574604835e-06,0.15096145741652,0.15163974150894
1.75,3436990,5,15,1.7319591757431e-06,1.7478693648691e-06,1,25,0.020322110015199,0.93911038695254,0,0,0.02032004078658,1.2578133024376e-06,0,0,-8.1014995198668e-06,0.35072173308792,0.35394354638593
3.75,3149362,5,15,3.6740487687615e-06,3.7439986779041e-06,2,25,0.019899177108945,0.91449495068397,0,0,0.019898628504081,-1.9465143954217e-06,0,0,-6.8206570408438e-06,0.74399487567423,0.7581597322756
7.75,2980966,5,15,7.434298155432e-06,7.7251688560358e-06,4,24,0.019731094639034,0.89546296990251,0,0,0.019731010601283,-1.8058237626037e-06,0,0,-4.025301693288e-06,1.5054453764751,1.5643466933474
15.75,5606854,5,15,1.448393260351e-05,1.5641190412851e-05,8,25,0.019813708001992,0.88789925875654,0,0,0.019813506924567,-1.3970939937716e-06,0,0,-1.8359789385709e-06,2.9329963522098,3.1673410586012
