time,DOFs,T_cold,T_hot,average_ci,average_cv,dt,grain_tracker,jx,k_x_direct,left_jix,left_jvx,left_jx,left_jy,precipitate_area,right_jix,right_jvx,right_jy,tot_ci,tot_cv
0,2308270,0,0,0,0,0,50,0,0,0,0,0,0,3061.3231658936,0,0,0,0,0
0.25,2308270,5,15,2.487823492461e-07,2.4940212394707e-07,0.25,50,0.02112208526929,0,0,0,0.021122000585232,-1.7147242189763e-05,34901.053905487,0,0,-1.8702129854511e-05,0.050378425722335,0.050503930099281
0.75,3523504,5,15,7.4545811556094e-07,7.4880558552316e-07,0.5,50,0.020267840663786,0.95049383711805,0,0,0.020267722004266,-2.7065676699758e-05,51796.653270721,0,0,-2.5398154043738e-05,0.15095526840109,0.15163313106844
1.75,2367490,5,15,1.7316679498768e-06,1.7475708278338e-06,1,50,0.019501172681318,0.9120528298704,0,0,0.019501674388601,-2.7738977260065e-05,69949.264526367,0,0,-2.8107176159795e-05,0.35066275985005,0.35388309263635
3.75,2206132,5,15,3.6721537587228e-06,3.7420415065312e-06,2,49,0.018916933354992,0.87755277065933,0,0,0.018916771678159,-2.1433096832008e-05,85829.057693482,0,0,-1.9814808145773e-05,0.74361113614137,0.75776340507257
7.75,909928,5,15,7.4244284147367e-06,7.7147327431537e-06,4,48,0.018679333764203,0.85126200097462,0,0,0.018679512771144,-1.805840923859e-05,96247.444152832,0,0,-1.4738269586867e-05,1.5034467539842,1.5622333804886
15.75,879574,5,15,1.4441001422766e-05,1.5593008871914e-05,8,48,0.018804499154223,0.84057001938912,0,0,0.018804079980413,-1.3989273754989e-05,96231.801509857,0,0,-1.0243033189091e-05,2.92430278811,3.1575842965626
23.75,1472056,5,15,2.0858399161878e-05,2.3392573887125e-05,8,49,0.018929156654551,0.84620246194005,0,0,0.018928465841435,-1.4352042460009e-05,92603.867053986,0,0,-9.744329821109e-06,4.2238258302802,4.7369962121429
31.75,2730082,5,15,2.6730571340174e-05,3.1122837124282e-05,8,49,0.018978825434527,0.85181204945479,0,0,0.018978238876548,-1.2103122515546e-05,90574.572086334,0,0,-8.39398644946e-06,5.4129406963851,6.3023745176671
47.75,7494880,5,15,3.7045376074666e-05,4.6379078663742e-05,16,49,0.019024495310394,0.85404714455374,0,0,0.019023840727545,-1.0477825783407e-05,89043.572545051,0,0,-7.5352232525172e-06,7.5016886551198,9.3917634294077
63.75,8653696,5,15,4.5703405662517e-05,6.1379484542112e-05,16,48,0.019059950212537,0.85610228896774,0,0,0.019059441685491,-9.2164820608794e-06,87987.307906151,0,0,-6.7869514261554e-06,9.2549396466597,12.429345619778
79.75,9736162,5,15,5.2956687560149e-05,7.6140233811014e-05,16,47,0.019089702719675,0.85769775956415,0,0,0.019089139792079,-8.2199457421152e-06,86844.139695167,0,0,-6.3465876796575e-06,10.72372923093,15.41839734673
95.75,9939676,5,15,5.9031095168093e-05,9.06768165148e-05,16,46,0.019130968391758,0.85903662238537,0,0,0.019130324189033,-7.6351825815152e-06,85597.121715546,0,0,-5.9100856359833e-06,11.953796771539,18.362055344247
103.75,2938834,5,15,6.167659574521e-05,9.7867331253371e-05,8,45,0.019154399013048,0.86089357762909,0,0,0.019153774755478,-7.6539369647236e-06,85034.565925598,0,0,-4.7468424104805e-06,12.489510638405,19.818134578808
111.75,7438042,5,15,6.4095875323079e-05,0.00010501043667528,8,45,0.019176388492016,0.86194795558714,0,0,0.019175646755263,-8.1804610893928e-06,84432.227611542,0,0,-5.5615297015691e-06,12.979414752924,21.264613426744
119.75,9916180,5,15,6.6314019545049e-05,0.00011211005040876,8,44,0.019197100575635,0.86293748214072,0,0,0.019196280469612,-6.7298673654658e-06,83977.190852165,0,0,-4.9675990697704e-06,13.428588957873,22.702285207774
127.75,10848100,5,15,6.8347796701711e-05,0.00011916537952396,8,44,0.01921105579885,0.86386952590359,0,0,0.019210269074261,-6.3754285783337e-06,83459.052443504,0,0,-4.834495831625e-06,13.840428832096,24.130989353602
135.75,12055240,5,15,7.0212595015718e-05,0.00012617646466898,8,43,0.019229551884063,0.86449751094823,0,0,0.019228827205964,-6.9200918114563e-06,82972.730398178,0,0,-4.5408079348285e-06,14.218050490683,25.550734095468
143.75,11559934,5,15,7.19231660466e-05,0.00013314537065741,8,43,0.019257537965345,0.86532983478284,0,0,0.019256789066799,-6.9285977966547e-06,82414.085268974,0,0,-3.9259296261853e-06,14.564441124436,26.961937558126
151.75,11309836,5,15,7.3494614865536e-05,0.00014007679479546,8,42,0.019286436012314,0.86658920844054,0,0,0.019285684443754,-6.6083861957625e-06,81733.630299568,0,0,-3.6881914874999e-06,14.882659510271,28.365550946081
159.75,11667640,5,15,7.4939163895777e-05,0.00014697281747052,8,41,0.019303461089675,0.86788962055415,0,0,0.019302692987522,-5.5832891720465e-06,81316.44487381,0,0,-3.590588503577e-06,15.175180688895,29.761995537781
167.75,11438056,5,15,7.6266013227265e-05,0.00015383222508702,8,41,0.019313327289376,0.8686557490354,0,0,0.019312556864724,-5.4615446235062e-06,80987.225174904,0,0,-3.530668948044e-06,15.443867678521,31.151025580121
175.75,11451130,5,15,7.7484334962518e-05,0.00016065405688615,8,41,0.019323929632122,0.86909972802191,0,0,0.019323056515719,-5.8534850514284e-06,80672.054886818,0,0,-3.3951262451373e-06,15.69057782991,32.532446519446
183.75,11386474,5,15,7.8603016144412e-05,0.00016743894345157,8,41,0.019338222856007,0.86957683344551,0,0,0.01933725402712,-6.2763892559046e-06,80367.216467857,0,0,-3.2935446991234e-06,15.917110769243,33.906386048942
191.75,11359324,5,15,7.9630754149063e-05,0.00017418858935296,8,40,0.019349589827383,0.8702200285203,0,0,0.019348638759394,-6.0714692236224e-06,80056.101679802,0,0,-3.2134014887947e-06,16.125227715185,35.273189343973
207.75,11311444,5,15,8.1445015867075e-05,0.00018758411975326,16,40,0.019365690410122,0.87073154223224,0,0,0.019364775973377,-5.2620858174222e-06,79450.528621673,0,0,-3.0294028023134e-06,16.492615713083,37.985784250036
223.75,11272180,5,15,8.2978776802454e-05,0.00020084199238973,16,40,0.019381453213302,0.87145606845547,0,0,0.019380680765962,-4.6809684426605e-06,78849.155902862,0,0,-3.016692316409e-06,16.803202302497,40.670503458921
231.75,11169250,5,15,8.3651948682625e-05,0.00020741820927863,8,40,0.019391936690552,0.8721653945986,0,0,0.019391234447299,-4.3379774571381e-06,78531.764745712,0,0,-3.0614621119664e-06,16.939519608232,42.002187378923
239.75,10935880,5,15,8.4270118670483e-05,0.00021396192350781,8,40,0.019410810474486,0.87263715107484,0,0,0.019410380097206,-3.1940171404594e-06,78179.41904068,0,0,-3.1587914492244e-06,17.064699030773,43.327289510332
247.75,11171668,5,15,8.4840551225759e-05,0.00022048132926547,8,38,0.019425870466725,0.87348647135187,0,0,0.019425819919853,-1.705404079008e-06,77868.400812149,0,0,-3.1877058539359e-06,17.180211623216,44.647469176258
255.75,11063548,5,15,8.5367133696059e-05,0.00022697612606685,8,38,0.019432643695659,0.87416417100264,0,0,0.019432784296526,-9.9347565176528e-07,77626.664042473,0,0,-3.1605451142383e-06,17.286844573452,45.962665528538
263.75,11042944,5,15,8.5852133814328e-05,0.00023344227357434,8,38,0.019437468807514,0.87446896630465,0,0,0.019437637464974,-6.906425922461e-07,77430.889606476,0,0,-2.9314356016404e-06,17.385057097401,47.272060398803
271.75,11011816,5,15,8.6298443398768e-05,0.00023987872357689,8,38,0.019442438136618,0.87468609633814,0,0,0.019442600234993,-4.4224516306686e-07,77227.728366852,0,0,-2.9385831442391e-06,17.47543478825,48.575441524319
279.75,10986484,5,15,8.6709068014283e-05,0.00024628632990459,8,37,0.019447634145612,0.87490971614782,0,0,0.019447817833026,3.3824128124225e-09,77011.338472366,0,0,-3.0013038951438e-06,17.558586272892,49.87298180568
287.75,10960246,5,15,8.7086924453096e-05,0.00025266682279126,8,37,0.01945282406795,0.87514353655254,0,0,0.019453009898364,1.6975624699807e-07,76802.335381508,0,0,-3.1624093281095e-06,17.635102201752,51.165031615231
295.75,10931566,5,15,8.7435020374025e-05,0.00025901786110886,8,37,0.01945806827957,0.87537708305776,0,0,0.019458197321169,2.3845181621157e-07,76590.966582298,0,0,-3.2012382757058e-06,17.70559162574,52.451116874545
303.75,10895266,5,15,8.7755667569036e-05,0.00026534222858249,8,37,0.019463471296938,0.87561307258065,0,0,0.019463598468611,4.3507775306844e-07,76366.85192585,0,0,-3.2597871457689e-06,17.77052268273,53.731801287955
311.75,10805062,5,15,8.8051219390382e-05,0.00027163900365005,8,37,0.019479461229576,0.87585620836219,0,0,0.019479576688318,5.3249541698016e-07,76130.667328834,0,0,-3.2911807513095e-06,17.830371926552,55.006898239136
319.75,10864054,5,15,8.8324999032504e-05,0.00027791520726598,8,36,0.019508390782377,0.87657575533093,0,0,0.019508498495622,5.9868323811745e-07,75794.253945351,0,0,-3.232003327877e-06,17.885812304082,56.27782947136
327.75,10797304,5,15,8.8580177462412e-05,0.00028417430790294,8,36,0.01952468252734,0.87787758520698,0,0,0.019524805880824,6.933599998301e-07,75291.033983231,0,0,-3.2168174182885e-06,17.937485936138,57.545297350346
335.75,10694434,5,15,8.8817845471509e-05,0.00029041434648194,8,36,0.019539631833689,0.87861071373029,0,0,0.019539743150238,7.48523911517e-07,74956.262111664,0,0,-3.1938489108744e-06,17.985613707981,58.808905162593
343.75,10742290,5,15,8.9039468600515e-05,0.00029663747660926,8,35,0.019554073155167,0.87928343251602,0,0,0.019554170077919,8.8209588069445e-07,74647.850990295,0,0,-3.2080237698019e-06,18.030492391604,60.069089013375
351.75,10681306,5,15,8.9245787892517e-05,0.00030284090009851,8,35,0.019564768156948,0.87993329198254,0,0,0.019564824378502,9.2800394727978e-07,74351.84776783,0,0,-3.2431108035821e-06,18.072272048235,61.325282269948
359.75,10650208,5,15,8.9438025767151e-05,0.00030902500968113,8,35,0.019578504016698,0.88041456706265,0,0,0.019578613438788,1.1172551654043e-06,74045.174717903,0,0,-3.2609736249413e-06,18.111200217848,62.57756446043
367.75,10607086,5,15,8.9617434823444e-05,0.0003151905673968,8,34,0.01959509006592,0.88103268075141,0,0,0.019595208810131,1.2695926756261e-06,73740.867376327,0,0,-3.3065608731357e-06,18.147530551747,63.826089897853
375.75,10568740,5,15,8.9785224953149e-05,0.00032133814345098,8,34,0.019605904912224,0.88177905296639,0,0,0.019606000489951,1.3181160363669e-06,73433.614969253,0,0,-3.4527702149459e-06,18.181508053013,65.070974048824
