time,average_xi,average_xv,center_xi,center_xs,center_xv,left_jix,left_jvx,right_jix,right_jvx,total_ci,total_cv
0,0,0,0,0,0,0,0,0,0,0,0
1,9.1090391672969e-09,1.001894118782e-08,9.1236814608083e-09,1,1.0035049148735e-08,-9.1704804617521e-28,-1.008869245091e-27,1.5087411223812e-27,1.6598814574249e-27,0.00059696999086797,0.00065660132968495
2.2,1.9230050387848e-08,2.2016769992417e-08,1.9265737603477e-08,1,2.2059047685542e-08,-1.6243607119518e-27,-1.9228805168986e-27,1.7926387191015e-27,2.1049858850612e-27,0.001260260582218,0.001442891038223
3.64,3.0035536218382e-08,3.6412355753339e-08,3.0071616815197e-08,1,3.6460038587504e-08,-1.6461885597609e-27,-2.1729836691766e-27,1.8635349605559e-27,2.4300126137172e-27,0.0019684089016079,0.0023863201466508
5.368,4.1187643425378e-08,5.3684236439757e-08,4.122024656625e-08,1,5.3734204965955e-08,-1.4889126272639e-27,-2.2786026519907e-27,1.7030988918924e-27,2.5673418460237e-27,0.0026992733995256,0.0035182501193159
7.4416,5.2309233170647e-08,7.4406292056284e-08,5.2336681766389e-08,1,7.4457224093562e-08,-1.2539946372454e-27,-2.3229536098327e-27,1.4416666957778e-27,2.6250933856897e-27,0.0034281379050715,0.0048762907562007
9.92992,6.2979223051383e-08,9.9266596814072e-08,6.3000985452916e-08,1,9.9317931221782e-08,-9.9433784330127e-28,-2.341268381898e-27,1.1463137337942e-27,2.6490458847789e-27,0.0041274063618954,0.006505535688807
12.915904,7.275960034282e-08,1.2908998370813e-07,7.2775820927863e-08,1,1.2914148144558e-07,-7.4110053046245e-28,-2.3484521641355e-27,8.5579762963329e-28,2.6585703414664e-27,0.0047683731680671,0.0084600411722962
16.4990848,8.1246763890852e-08,1.648650227187e-07,8.1258026127738e-08,1,1.6491658087093e-07,-5.1447666665611e-28,-2.3507971302595e-27,5.9476694027817e-28,2.6618489520003e-27,0.0053245879183509,0.010804594128893
20.79890176,8.813684121569e-08,2.0777624574096e-07,8.8144008695633e-08,1,2.0782781867021e-07,-3.2732720194971e-28,-2.3509427102299e-27,3.7873620942365e-28,2.6623199995322e-27,0.0057761360259115,0.01361682404088
25.958682112,9.3287880230884e-08,2.5924259767405e-07,9.329195265152e-08,1,2.5929416352278e-07,-1.8589358877212e-28,-2.3499750862873e-27,2.152577990722e-28,2.6614061235035e-27,0.0061137145188112,0.016989722881166
32.1504185344,9.6756525908675e-08,3.20963254979e-07,9.6758496326871e-08,1,3.2101480135824e-07,-8.9871109555186e-29,-2.3483146642824e-27,1.0416137935245e-28,2.659668114963e-27,0.006341035681951,0.021034647878304
39.58050224128,9.8789035700322e-08,3.9497213098608e-07,9.8789763618973e-08,1,3.9502364876742e-07,-3.3143049183704e-29,-2.3460901636422e-27,3.8472044129883e-29,2.6572918466137e-27,0.0064742382436563,0.025884893576304
48.496602689536,9.9760308253242e-08,4.837025826309e-07,9.976043434281e-08,1,4.8375406315484e-07,-5.6925401886541e-30,-2.3432956560739e-27,6.6536880414748e-30,2.654293087521e-27,0.0065378915616845,0.031699932455299
59.195923227443,1.000772978841e-07,5.900640820196e-07,1.0007723214924e-07,1,5.9011968639553e-07,5.7220905303953e-30,-1.6287520280531e-27,-7.0767877762684e-30,1.6653844750646e-27,0.0065586657941324,0.038670439679236
72.035107872932,1.0008296666628e-07,7.175326276657e-07,1.000829046679e-07,1,7.1760737971922e-07,6.2957199029858e-30,-9.7332408218042e-29,-6.7226306227724e-30,2.7623093074267e-28,0.0065590373034413,0.0470242182867
87.442129447518,9.9999297565439e-08,8.7025745378207e-07,9.9999254666193e-08,1,8.7035490642345e-07,2.4274708259301e-30,2.0295160024768e-27,-2.5519045136044e-30,-1.6437467400028e-27,0.0065535539652486,0.057033192491062
105.93055533702,9.9926214656356e-08,1.0531860501356e-06,9.9926186704895e-08,1,1.0533084660697e-06,-5.4938086684764e-31,4.796048132654e-27,4.4666910280339e-31,-4.1367168298242e-27,0.0065487644037189,0.069021600981686
128.11666640443,9.9882092766724e-08,1.2722100959543e-06,9.9882072808479e-08,1,1.2723592678175e-06,-1.5631250145823e-30,8.2935479847549e-27,1.433539809615e-30,-7.2869407798617e-27,0.00654587283156,0.083375560848458
154.73999968531,9.9852889318212e-08,1.5343347212758e-06,9.9852871204594e-08,1,1.5345124326376e-06,-1.6676291679456e-30,1.2642318215838e-26,1.5129178449137e-30,-1.1204847767137e-26,0.0065439589543584,0.10055416029353
186.68799962237,9.9823677249001e-08,1.8478732386539e-06,9.9823657123716e-08,1,1.8480815726629e-06,-1.8575550526595e-30,1.7986586845516e-26,1.6633079708163e-30,-1.6022295670592e-26,0.0065420445121905,0.12110222056843
225.02559954685,9.9787705063126e-08,2.2226688860405e-06,9.9787681371976e-08,1,2.2229104598107e-06,-2.402636735696e-30,2.4495024825152e-26,2.1469397668842e-30,-2.1892880089048e-26,0.006539687039017,0.14566482811555
271.03071945622,9.9743397322743e-08,2.6703440102026e-06,9.9743369699798e-08,1,2.6706221658564e-06,-3.1998173488133e-30,3.2363490742189e-26,2.865674888383e-30,-2.8994378987103e-26,0.0065367832869433,0.17500366505263
326.23686334746,9.9690157687194e-08,3.2045752332309e-06,9.9690125933153e-08,1,3.2048942008208e-06,-4.158552108585e-30,4.1818358380756e-26,3.7320228018887e-30,-3.7531824231425e-26,0.0065332941741879,0.21001504248502
392.48423601695,9.9626779315535e-08,3.8413901293538e-06,9.9626743021591e-08,1,3.8417551710783e-06,-5.281598641962e-30,5.3119506056144e-26,4.7467891316741e-30,-4.7740304248202e-26,0.0065291406092229,0.25174934351733
471.98108322034,9.9551478701007e-08,4.5994763458199e-06,9.9551437260678e-08,1,4.5998938869146e-06,-6.6070564807982e-30,6.6562255826119e-26,5.9445053607734e-30,-5.9886810115773e-26,0.0065242057081492,0.30143128179966
567.37729986441,9.9462136434027e-08,5.5004873564252e-06,9.9462089104978e-08,1,5.5009651034807e-06,-8.1715395549913e-30,8.2477475532248e-26,7.3584730731373e-30,-7.4270396371527e-26,0.0065183505733404,0.36047993939068
681.8527598373,9.9356355645881e-08,6.5693194245375e-06,9.9356301565079e-08,1,6.569866466333e-06,-1.0008278539617e-29,1.0122880021248e-25,9.0187721818748e-30,-9.1219712416002e-26,0.0065114181236085,0.43052691780649
819.22331180476,9.9231443663557e-08,7.8343210452086e-06,9.9231381842874e-08,1,7.8349479243003e-06,-1.2150950056951e-29,1.2320553567081e-25,1.0955834732258e-29,-1.1108661050005e-25,0.0065032318919348,0.51343006401879
984.06797416571,9.9084407792089e-08,9.3273782821986e-06,9.90843371193e-08,1,9.3280970172529e-06,-1.4633226649524e-29,1.4880929903868e-25,1.3200091816874e-29,-1.3423407762345e-25,0.0064935957490623,0.61127906310217
1181.8815689988,9.8912260303568e-08,1.1083800282235e-05,9.8912182300657e-08,1,1.1084596877962e-05,-1.549904474714e-29,1.5832266221201e-25,1.3803439290394e-29,-1.4115891605841e-25,0.0064823138912547,0.72638793529656
1419.2578827986,9.8711100261181e-08,1.3141881136922e-05,9.8711022619641e-08,1,1.3142677301453e-05,-1.5525391691752e-29,1.5930884270524e-25,1.3825042363234e-29,-1.4205369807114e-25,0.0064691306667168,0.8612663221893
1704.1094593583,9.8476986986463e-08,1.5542011994086e-05,9.8476911368443e-08,1,1.5542790766859e-05,-1.5289630023605e-29,1.5750465825916e-25,1.3792991332505e-29,-1.4207505272338e-25,0.0064537878191449,1.0185612980444
2045.93135123,9.8207292549934e-08,1.8325190759024e-05,9.8207220151924e-08,1,1.8325940743458e-05,-1.4964511438578e-29,1.5499078430506e-25,1.3586339077053e-29,-1.4071118583709e-25,0.0064361131245525,1.2009597015834
2456.117621476,9.7898519643586e-08,2.1530668861398e-05,9.7898451182047e-08,1,2.1531382599996e-05,-1.4541909713501e-29,1.5157982492427e-25,1.3309129582857e-29,-1.3872090509623e-25,0.006415877383362,1.4110339145006
2948.3411457712,9.7548124427942e-08,2.5192570324478e-05,9.754806051653e-08,1,2.5193241514768e-05,-1.4035299687793e-29,1.4736453331553e-25,1.2967516606794e-29,-1.3614137948211e-25,0.0063929138825096,1.651020288785
3539.0093749255,9.7154719022467e-08,2.9335287216169e-05,9.7154660206439e-08,1,2.933591002301e-05,-1.34448235905e-29,1.4232493824687e-25,1.255775232967e-29,-1.329194222986e-25,0.0063671316658564,1.9225173829989
4247.8112499105,9.6718562046793e-08,3.3967569697071e-05,9.6718508813611e-08,1,3.3968138616801e-05,-1.2767267268224e-29,1.3639201536743e-25,1.2072686671154e-29,-1.2895324177504e-25,0.0063385476822986,2.2260986476672
5098.3734998927,9.6242161887564e-08,3.9075435590428e-05,9.6242114649163e-08,1,3.9075945605601e-05,-1.199913660719e-29,1.294798071759e-25,1.1503841155697e-29,-1.2411300349695e-25,0.0063073263214634,2.5608477468543
6119.0481998712,9.5730880787848e-08,4.4614378248852e-05,9.5730839848251e-08,1,4.4614825159693e-05,-1.1138633498281e-29,1.2150670006552e-25,1.0842939192684e-29,-1.1825559102473e-25,0.0062738190033124,2.9238478929168
7343.8578398454,9.519343775897e-08,5.050187549536e-05,9.5193403275523e-08,1,5.0502256365164e-05,-1.0187288741035e-29,1.1241530717001e-25,1.0083462654865e-29,-1.1124152803656e-25,0.0062385971369718,3.3096909124639
8813.6294078145,9.4642164935081e-08,5.6611870097385e-05,9.4642136880195e-08,1,5.6612183753744e-05,-9.1515053119728e-30,1.0219522231564e-25,9.2225037889287e-30,-1.0295870626749e-25,0.0062024689211854,3.7101155187022
10577.355289377,9.4092838618069e-08,6.2773578340084e-05,9.4092816748994e-08,1,6.2773825854877e-05,-8.0440666657138e-30,9.0909783844837e-26,8.2630098701072e-30,-9.335527508648e-26,0.0061664682716738,4.1139292300957
12693.826347253,9.3563904706875e-08,6.8777410642938e-05,9.3563888551782e-08,1,6.8777595686064e-05,-6.8854875336357e-30,7.8724994785392e-26,7.2163127013978e-30,-8.2481042819575e-26,0.0061318040588698,4.5073963838956
15233.591616703,9.307497303088e-08,7.4390508247049e-05,9.3074961379039e-08,1,7.4390643159384e-05,-5.5156696297808e-30,6.3762474536428e-26,5.6252887556557e-30,-6.5029658988483e-26,0.0060997614325517,4.8752563484786
18281.309940044,9.2644589661769e-08,7.9382876946076e-05,9.2644580924639e-08,1,7.9382978960537e-05,-4.0229551764097e-30,4.6980697917787e-26,4.1152855152216e-30,-4.8055831231788e-26,0.0060715558280737,5.202436223538
21938.571928053,9.228751831697e-08,8.3561983276072e-05,9.2287511945376e-08,1,8.3562058232714e-05,-2.7065912899612e-30,3.1864419423484e-26,2.7692283330451e-30,-3.2600827103859e-26,0.006048154800421,5.4763181359806
26327.286313664,9.2012042950836e-08,8.6809288879581e-05,9.2012038527646e-08,1,8.6809341216168e-05,-1.6525805339562e-30,1.9574045384514e-26,1.6872626248019e-30,-1.9984700747953e-26,0.006030101246826,5.6891335560122
