time,average_xi,average_xv,center_xi,center_xs,center_xv
0,0,0,0,0,0
1,9.0493076719842e-07,9.9532431148713e-07,3.6535114112966e-07,1,4.0184607063557e-07
2.2,1.9123443837943e-06,2.1893401737644e-06,7.7206279105645e-07,1,8.8389416975837e-07
3.64,2.9872270560778e-06,3.62125624354e-06,1.2059631565259e-06,1,1.4619329100736e-06
5.368,4.0952009761845e-06,5.3377391344967e-06,1.6531170217764e-06,1,2.1547306236683e-06
7.4416,5.1975871166423e-06,7.3942362715702e-06,2.097823683664e-06,1,2.9845478728012e-06
9.92992,6.2508866754764e-06,9.8564915611203e-06,2.5224041209142e-06,1,3.9777231382627e-06
12.915904,7.2094989994025e-06,1.2802317091763e-05,2.9083017267882e-06,1,5.1653544733314e-06
16.4990848,8.0309946383038e-06,1.6323680476551e-05,3.2382254969617e-06,1,6.5841014076928e-06
20.79890176,8.6829323286354e-06,2.052917525797e-05,3.4989289300625e-06,1,8.2771346615235e-06
25.958682112,9.1494625062597e-06,2.554692610754e-05,3.6839105860736e-06,1,1.0295253243747e-05
32.1504185344,9.4353303817344e-06,3.1527925844054e-05,3.7950597834381e-06,1,1.2698161894314e-05
39.58050224128,9.5650480963356e-06,3.8649707123877e-05,3.8423289407838e-06,1,1.5555856748062e-05
48.496602689536,9.5764477729681e-06,4.71201505765e-05,3.8411023091635e-06,1,1.8950020006194e-05
59.195923227443,9.5103302548607e-06,5.7181186844342e-05,3.807961644093e-06,1,2.2975306839077e-05
72.035107872932,9.4002073214098e-06,6.911221247657e-05,3.756495236634e-06,1,2.7740444336824e-05
87.442129447518,9.266429103975e-06,8.3233171748016e-05,3.6949201438467e-06,1,3.3369134129879e-05
105.93055533702,9.1165607775148e-06,9.9907315899858e-05,3.6262788339334e-06,1,4.0000787328663e-05
128.11666640443,8.9502184511673e-06,0.00011954350642357,3.5504542400945e-06,1,4.7791059338046e-05
154.73999968531,8.7645215382175e-06,0.00014259763453682,3.4664060137104e-06,1,5.6912022867986e-05
186.68799962237,8.5573174330317e-06,0.00016957252345191,3.3734649669185e-06,1,6.7551736637271e-05
225.02559954685,8.3279291915272e-06,0.00020101572711364,3.2716073831583e-06,1,7.9913008868563e-05
271.03071945622,8.0767895777491e-06,0.0002375148294884,3.1612843199853e-06,1,9.4211256692434e-05
326.23686334746,7.8051057695522e-06,0.00027968996031901,3.0432702465758e-06,1,0.00011067141501273
392.48423601695,7.5147961183173e-06,0.00032818322184814,2.9186192917254e-06,1,0.00012952382948503
471.98108322034,7.2084992399723e-06,0.00038364466469947,2.7886459050076e-06,1,0.00015099902919286
567.37729986441,6.8895141777704e-06,0.00044671440437072,2.6548779053887e-06,1,0.00017532123787008
681.8527598373,6.5616635010078e-06,0.00051800037981873,2.5189839262713e-06,1,0.00020270042697919
819.22331180476,6.229109913193e-06,0.00059805108339992,2.382690359702e-06,1,0.00023332262825549
984.06797416571,5.896152544742e-06,0.00068732236640376,2.247699178326e-06,1,0.00026733812565133
1181.8815689988,5.5670257542482e-06,0.00078613722480874,2.1156150998107e-06,1,0.00030484707114701
1419.2578827986,5.2457212736195e-06,0.00089463741218192,1.9878883959225e-06,1,0.00034588205993298
1704.1094593583,4.9358492575369e-06,0.0010127259738531,1.8657767473515e-06,1,0.00039038731622034
2045.93135123,4.6405462170657e-06,0.001140000562948,1.7503264651041e-06,1,0.0004381944562857
2456.117621476,4.3624301765346e-06,0.001275678946027,1.6423708852035e-06,1,0.00048899540146237
2948.3411457712,4.1035971953915e-06,0.00141852072281,1.5425421125537e-06,1,0.0005423140115887
3539.0093749255,3.8656492974538e-06,0.0015667532297281,1.4512915273756e-06,1,0.00059747948827558
4247.8112499105,3.6497417789278e-06,0.0017180149693257,1.368914354421e-06,1,0.00065360658556938
5098.3734998927,3.4566372715189e-06,0.001869336397965,1.295573828428e-06,1,0.00070959003736894
6119.0481998712,3.2867541135393e-06,0.0020171844014459,1.2313207951941e-06,1,0.00076412293913377
7343.8578398454,3.140197017615e-06,0.0021576008637724,1.1761048197816e-06,1,0.00081575018875918
8813.6294078145,3.0167587606322e-06,0.0022864631984972,1.129773119792e-06,1,0.00086296693387785
10577.355289377,2.9158836885429e-06,0.0023998797367844,1.092054368662e-06,1,0.00090436614365508
12693.826347253,2.8365896759518e-06,0.002494699609667,1.062526618494e-06,1,0.00093882682820648
15233.591616703,2.7773586060218e-06,0.0025690636855567,1.040573751158e-06,1,0.0009657146679683
18281.309940044,2.7360296094517e-06,0.0026228603865874,1.0253441319099e-06,1,0.00098504393869397
21938.571928053,2.7097609234205e-06,0.0026579071207852,1.015737037394e-06,1,0.00099753479165545
26327.286313664,2.6951465546864e-06,0.0026777010522884,1.0104494615122e-06,1,0.0010045103729872
31593.743576396,2.688547130604e-06,0.0026867099962924,1.008104307035e-06,1,0.0010076272113699
37913.492291676,2.6865926392473e-06,0.0026893846634766,1.0074411170635e-06,1,0.0010085103692867
45497.190750011,2.6866870788523e-06,0.0026892572012766,1.0075019337253e-06,1,0.0010084295593338
