x,y,z,id,T,jx,jy,dTdx,dTdy,gr0
500,0,0,0,250.71770760675,-0.4938763332063,-3.6370311595979e-05,0.4938763332063,3.6370311595979e-05,-1.2102578918881e-31
500,0.1732,0,0.1732,250.7177138993,-0.4938763332063,-3.6370311595979e-05,0.4938763332063,3.6370311595979e-05,-1.1714027074324e-31
500,0.3464,0,0.3464,250.71772019185,-0.4938763332063,-3.6370311595979e-05,0.4938763332063,3.6370311595979e-05,-1.1325475229766e-31
500,0.5196,0,0.5196,250.7177264844,-0.4938763332063,-3.6370311595979e-05,0.4938763332063,3.6370311595979e-05,-1.0936923385209e-31
500,0.6928,0,0.6928,250.71773277695,-0.4938763332063,-3.6370311595979e-05,0.4938763332063,3.6370311595979e-05,-1.0548371540651e-31
500,0.866,0,0.866,250.7177390695,-0.4938763332063,-3.6370311595979e-05,0.4938763332063,3.6370311595979e-05,-1.0159819696094e-31
500,1.0392,0,1.0392,250.71774536205,-0.4938763332063,-3.6370311595979e-05,0.4938763332063,3.6370311595979e-05,-9.7712678515364e-32
500,1.2124,0,1.2124,250.7177516546,-0.4938763332063,-3.6370311595979e-05,0.4938763332063,3.6370311595979e-05,-9.382716006967e-32
500,1.3856,0,1.3856,250.71775794715,-0.4938763332063,-3.6370311595979e-05,0.4938763332063,3.6370311595979e-05,-8.9941641624214e-32
500,1.5588,0,1.5588,250.7177642397,-0.4938763332063,-3.6370311595979e-05,0.4938763332063,3.6370311595979e-05,-8.6056123178639e-32
500,1.732,0,1.732,250.71777053224,-0.4938763332063,-3.6370311595979e-05,0.4938763332063,3.6370311595979e-05,-8.2170604732953e-32
500,1.9052,0,1.9052,250.71777682479,-0.4938763332063,-3.6370311595979e-05,0.4938763332063,3.6370311595979e-05,-7.8285086287596e-32
500,2.0784,0,2.0784,250.71778311734,-0.4938763332063,-3.6370311595979e-05,0.4938763332063,3.6370311595979e-05,-7.4399567841913e-32
500,2.2516,0,2.2516,250.71778940989,-0.4938763332063,-3.6370311595979e-05,0.4938763332063,3.6370311595979e-05,-7.0514049396237e-32
500,2.4248,0,2.4248,250.71779570244,-0.4938763332063,-3.6370311595979e-05,0.4938763332063,3.6370311595979e-05,-6.6628530950862e-32
500,2.598,0,2.598,250.71780199499,-0.4938763332063,-3.6370311595979e-05,0.4938763332063,3.6370311595979e-05,-6.2743012505188e-32
500,2.7712,0,2.7712,250.71780828754,-0.4938763332063,-3.6370311595979e-05,0.4938763332063,3.6370311595979e-05,-5.8857494059613e-32
500,2.9444,0,2.9444,250.71781458009,-0.4938763332063,-3.6370311595979e-05,0.4938763332063,3.6370311595979e-05,-5.4971975614128e-32
500,3.1176,0,3.1176,250.71782087264,-0.4938763332063,-3.6370311595979e-05,0.4938763332063,3.6370311595979e-05,-5.1086457168463e-32
500,3.2908,0,3.2908,250.71782716519,-0.4938763332063,-3.6370311595979e-05,0.4938763332063,3.6370311595979e-05,-4.7200938722973e-32
500,3.464,0,3.464,250.71783345774,-0.4938763332063,-3.6370311595979e-05,0.4938763332063,3.6370311595979e-05,-4.3315420277313e-32
500,3.6372,0,3.6372,250.71783975029,-0.4938763332063,-3.6370311595979e-05,0.4938763332063,3.6370311595979e-05,-3.9429901831659e-32
500,3.8104,0,3.8104,250.71784604284,-0.4938763332063,-3.6370311595979e-05,0.4938763332063,3.6370311595979e-05,-3.5544383386163e-32
500,3.9836,0,3.9836,250.71785233539,-0.4938763332063,-3.6370311595979e-05,0.4938763332063,3.6370311595979e-05,-3.1658864940588e-32
500,4.1568,0,4.1568,250.71785862794,-0.4938763332063,-3.6370311595979e-05,0.4938763332063,3.6370311595979e-05,-2.7773346495013e-32
500,4.33,0,4.33,250.71786492049,-0.4938763332063,-3.6370311595979e-05,0.4938763332063,3.6370311595979e-05,-2.3887828049505e-32
500,4.5032,0,4.5032,250.71787121304,-0.4938763332063,-3.6370311595979e-05,0.4938763332063,3.6370311595979e-05,-2.0002309603863e-32
500,4.6764,0,4.6764,250.71787750559,-0.4938763332063,-3.6370311595979e-05,0.4938763332063,3.6370311595979e-05,-1.6116791158288e-32
500,4.8496,0,4.8496,250.71788379814,-0.4938763332063,-3.6370311595979e-05,0.4938763332063,3.6370311595979e-05,-1.2231272712712e-32
500,5.0228,0,5.0228,250.71789009069,-0.4938763332063,-3.6370311595979e-05,0.4938763332063,3.6370311595979e-05,-8.3457542671374e-33
500,5.196,0,5.196,250.71789638324,-0.4938763332063,-3.6370311595979e-05,0.4938763332063,3.6370311595979e-05,-4.4602358215623e-33
500,5.3692,0,5.3692,250.71790267579,-0.4938763332063,-3.6370311595979e-05,0.4938763332063,3.6370311595979e-05,-5.7471737598724e-34
500,5.5424,0,5.5424,250.71790896834,-0.4938763332063,-3.6370311595979e-05,0.4938763332063,3.6370311595979e-05,3.3108010695878e-33
500,5.7156,0,5.7156,250.71791526089,-0.4938763332063,-3.6370311595979e-05,0.4938763332063,3.6370311595979e-05,7.1963195151628e-33
500,5.8888,0,5.8888,250.71792155344,-0.4938763332063,-3.6370311595979e-05,0.4938763332063,3.6370311595979e-05,1.1081837960738e-32
500,6.062,0,6.062,250.71792784599,-0.4938763332063,-3.6370311595979e-05,0.4938763332063,3.6370311595979e-05,1.4967356406313e-32
500,6.2352,0,6.2352,250.71793413854,-0.4938763332063,-3.6370311595979e-05,0.4938763332063,3.6370311595979e-05,1.8852874851888e-32
500,6.4084,0,6.4084,250.71794043109,-0.4938763332063,-3.6370311595979e-05,0.4938763332063,3.6370311595979e-05,2.2738393297463e-32
