time,T_cold,T_hot,average_ci,average_cv,bnd_length,dt,grain_tracker,jx,k_eff,left_jix,left_jvx,left_jx,left_jy,right_jix,right_jvx,right_jy,tot_ci,tot_cv
0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
0.5,0,500,4.9752374793857e-07,4.9752621870126e-07,3716.3104968689,0.5,4,-0.49306518612173,0.98613037224345,5.0825743914421e-14,2.2922442091835e-17,-0.49303970673923,4.9091212074722e-07,-1.0407675486514e-13,1.352038898392e-16,-1.7358548087859e-06,0.43085556571484,0.43085770539533
1.5,0,500,1.495300260475e-06,1.4953136723723e-06,3561.1221535787,1,4,-0.48997306837987,0.97994613675974,-3.372108377173e-12,-3.4000314760527e-15,-0.48999738565372,2.362227017856e-08,-5.0522397146554e-13,-3.2648908296228e-16,-1.4477260551551e-06,1.2949300255712,1.2949416402743
3.5,0,500,3.4913932077192e-06,3.4914572159762e-06,3496.1593123323,2,4,-0.48901684504077,0.97803369008155,-1.4816614154536e-11,-1.4866906140131e-14,-0.48901638383481,9.7090286387095e-06,-3.8988661354815e-12,-3.727607294102e-15,-9.1168685387302e-07,3.0235465178843,3.0236019490349
7.5,0,500,7.4717142289677e-06,7.471997743936e-06,3470.5545341489,4,4,-0.48952564289395,0.9790512857879,-4.0546611192258e-11,-4.0603177746351e-14,-0.48952567432448,1.0057462449164e-05,-1.9877438560043e-11,-1.9713484599102e-14,-1.0422172755757e-06,6.4705045222844,6.470750046247
15.5,0,500,1.5330647888103e-05,1.5331841239917e-05,3462.1522053389,8,4,-0.48991489229027,0.97982978458053,-6.71648652201e-11,-6.7230003726394e-14,-0.48991817769017,-5.0459801996546e-07,-6.0811708391301e-11,-6.0659249720167e-14,-3.1604695250989e-06,13.276341071094,13.277374513765
31.5,0,500,3.0289854574093e-05,3.0294673893786e-05,3456.6857114011,16,4,-0.48995578544374,0.97991157088748,-3.8496072904516e-11,-3.85636023348e-14,-0.48995598313975,-1.9052644678739e-07,-1.138306872784e-10,-1.137033644767e-13,-8.7607990597606e-07,26.231014061217,26.235187592071
63.5,0,500,5.5395326603377e-05,5.5413623356802e-05,3454.9555974421,32,4,-0.48993474639286,0.97986949278572,5.2472799340059e-11,5.2442771078241e-14,-0.48993750341623,-3.5979976433924e-06,-2.0038397163522e-10,-2.0034465274024e-13,7.0998325501326e-07,47.972352838642,47.988197827108
95.5,0,500,7.3363706475278e-05,7.3402023606441e-05,3454.9774133977,32,4,-0.48993382509509,0.97986765019018,2.1311509672695e-10,2.1323859230342e-13,-0.48993478792134,-5.3665308984115e-07,-3.853215963433e-10,-3.8552317042448e-13,3.5248424429458e-06,63.532969807764,63.566152443352
127.5,0,500,8.2823680606061e-05,8.2884176676662e-05,3453.888501077,32,4,-0.48994072992657,0.97988145985313,2.142057462743e-10,2.1445400337793e-13,-0.48994146478432,-2.5411987565794e-08,-3.9448333714664e-10,-3.9490363323661e-13,1.010038171244e-07,71.725307405036,71.777697002177
159.5,0,500,8.9793608386591e-05,8.9880413233636e-05,3453.8295034059,32,4,-0.48994048069645,0.97988096139291,1.8598480962801e-10,1.8635702359532e-13,-0.48994121120507,-2.1922370358504e-08,-3.1772122629669e-10,-3.1831087334414e-13,9.1291024649819e-08,77.761264863002,77.836437860543
191.5,0,500,9.4187498109195e-05,9.4302864598056e-05,3453.8218759393,32,4,-0.4899404793463,0.9798809586926,1.5799771327991e-10,1.5850071850428e-13,-0.48994120534349,-1.881619444404e-08,-2.4128193150007e-10,-2.4202231475568e-13,8.2551158692046e-08,81.566373362779,81.666280742133
223.5,0,500,9.6153725817419e-05,9.629534328616e-05,3453.8203425526,32,4,-0.48994047683142,0.97988095366283,1.4084002227513e-10,1.4146869107694e-13,-0.48994119799927,-1.6500743294032e-08,-1.9528016541038e-10,-1.9614907495575e-13,7.7717631729521e-08,83.269126558127,83.391767286058
255.5,0,500,9.7500956925536e-05,9.7671720129848e-05,3453.8200056535,32,4,-0.48994123914452,0.97988247828904,1.2798490111628e-10,1.2876239687518e-13,-0.48994120926671,-1.4870977710672e-08,-1.6156979066644e-10,-1.6258652013584e-13,2.5554171449465e-08,84.435828697777,84.583709632712
271.5,0,500,9.7950351753036e-05,9.8136269934991e-05,3453.8195762733,16,4,-0.48994125587135,0.9798825117427,1.2336856121237e-10,1.242278743128e-13,-0.48994122713648,-8.2843074601482e-09,-1.4986218701241e-10,-1.5095942948837e-13,2.3710113063574e-08,84.825004618379,84.986009763951
287.5,0,500,9.8278903219126e-05,9.8480128202056e-05,3453.8193376919,16,4,-0.48994126222136,0.97988252444272,1.1984736043787e-10,1.2079301973569e-13,-0.48994122919092,-7.6400609452063e-09,-1.4116655819566e-10,-1.423487310611e-13,2.2271857438672e-08,85.109530188,85.283791023218
