time,mass
0,0
0.1,0.99311624276361
0.2,0.9862798716409
0.3,0.97949056043739
0.4,0.972747985204
0.5,0.96605182422166
0.6,0.95940175798595
0.7,0.9527974691918
0.8,0.94623864271844
0.9,0.93972496561427
1,0.933256127082
1.1,0.92683181846379
1.2,0.92045173322653
1.3,0.91411556694718
1.4,0.90782301729831
1.5,0.90157378403361
1.6,0.89536756897363
1.7,0.88920407599148
1.8,0.88308301099874
1.9,0.87700408193144
2,0.8709669987361
2.1,0.86497147335589
2.2,0.8590172197169
2.3,0.85310395371449
2.4,0.84723139319972
2.5,0.84139925796588
2.6,0.83560726973516
2.7,0.82985515214534
2.8,0.8241426307366
2.9,0.81846943293845
3,0.81283528805669
3.1,0.80723992726053
3.2,0.80168308356975
3.3,0.79616449184193
3.4,0.79068388875986
3.5,0.78524101281891
3.6,0.7798356043146
3.7,0.7744674053302
3.8,0.76913615972441
3.9,0.76384161311914
4,0.75858351288737
4.1,0.75336160814112
4.2,0.74817564971946
4.3,0.74302539017661
4.4,0.73791058377016
4.5,0.73283098644932
4.6,0.7277863558433
4.7,0.72277645124972
4.8,0.71780103362313
4.9,0.71285986556364
5,0.70795271130553
5.1,0.70307933670606
5.2,0.69823950923425
5.3,0.69343299795982
5.4,0.68865957354216
5.5,0.68391900821938
5.6,0.67921107579744
5.7,0.67453555163938
5.8,0.66989221265458
5.9,0.66528083728812
6,0.6607012055102
6.1,0.65615309880568
6.2,0.65163630016359
6.3,0.64715059406685
6.4,0.6426957664819
6.5,0.63827160484858
6.6,0.63387789806992
6.7,0.62951443650209
6.8,0.62518101194441
6.9,0.62087741762938
7,0.61660344821286
7.1,0.61235889976424
7.2,0.60814356975672
7.3,0.60395725705764
7.4,0.5997997619189
7.5,0.5956708859674
7.6,0.59157043219562
7.7,0.58749820495215
7.8,0.58345400993245
7.9,0.57943765416947
8,0.57544894602455
8.1,0.57148769517817
8.2,0.56755371262098
8.3,0.56364681064469
8.4,0.55976680283314
8.5,0.55591350405345
8.6,0.55208673044711
8.7,0.54828629942128
8.8,0.54451202964002
8.9,0.54076374101568
9,0.53704125470029
9.1,0.533344393077
9.2,0.52967297975167
9.3,0.52602683954438
9.4,0.52240579848113
9.5,0.5188096837855
9.6,0.51523832387044
9.7,0.51169154833003
9.8,0.50816918793141
9.9,0.50467107460667
10,0.50119704144485
10.1,0.49774692268395
10.2,0.49432055370303
10.3,0.49091777101438
