x,Ci_Center,Cv_center,Fi,Fv,Di,Dv,Zi,Zv,rho,rho,ki,kv
500.0,2.1115705337079e-10,1.1666222369838e-06,3.98485217925575e-07,3.98484402032975e-07,1.0,0.000181,1887.1508745002154,1887.1329657165704,1.909859317102744e-09,1.909859317102744e-09,3.604192680442828e-06,3.6041584771855254e-06
500.0,3.0939330410682e-11,7.970529830408e-06,3.0648458226217504e-07,5.88820760178125e-07,1.0,0.000181,9905.986270354426,408.1476941142491,1.909859317102744e-09,1.909859317102744e-09,1.8919040173528264e-05,7.795046763580995e-07
500.0,1.5727837401079e-11,1.5671512172212e-05,2.6095012900747497e-07,8.252139141672999e-07,1.0,0.000181,16591.609027543265,290.92233384064133,1.909859317102744e-09,1.909859317102744e-09,3.168763908697951e-05,5.556207298388239e-07
500.0,1.0515653992893e-11,2.3435006256488e-05,2.3333556638093253e-07,1.079731251494775e-06,1.0,0.000181,22189.353751904757,254.54936794422048,1.909859317102744e-09,1.909859317102744e-09,4.237854400356403e-05,4.861534820308841e-07
500.0,7.8945701398004e-12,3.1212815794131e-05,2.143256674940575e-07,1.342853251663975e-06,1.0,0.000181,27148.491139946516,237.69334966152022,1.909859317102744e-09,1.909859317102744e-09,5.184979874890815e-05,4.539608584644148e-07
500.0,5.2666479558296e-12,4.6782877941166e-05,1.890803939584775e-07,1.88187177054375e-06,1.0,0.000181,35901.46817183524,222.2411716160221,1.909859317102744e-09,1.909859317102744e-09,6.856675348564715e-05,4.244493722546897e-07
500.0,3.950877996383e-12,6.2360189378965e-05,1.7251946583551248e-07,2.429574631365175e-06,1.0,0.000181,43666.10813936871,215.25053716744875,1.909859317102744e-09,1.909859317102744e-09,8.339612347158932e-05,4.1109824392062254e-07
500.0,3.1610127955049e-12,7.7940406596259e-05,1.605056919855e-07,2.98182465043825e-06,1.0,0.000181,50776.66633103991,211.368788782128,1.909859317102744e-09,1.909859317102744e-09,9.697628928375379e-05,4.036846506002692e-07
