bias,Ci_Center,Cv_center,Fi,Fv,Di,Dv,rho,Zi,Zv,ki,kv,Zi_scaled,Zv_scaled,ki_scaled,kv_scaled
0,6.4051096339795E-12,3.5444279465134E-08,2.23819006905845E-07,2.2387581145744E-07,1,0.000181,1.5278874536822E-11,34943.8213701248,34896.5462098236,5.33902262551254E-07,5.33179951308305E-07,3.49438213701248E-06,3.48965462098236E-06,53390226255125.4,53317995130830.5
5,5.8244847688883E-12,3.9952853357713E-08,2.14444975580985E-07,2.42498972778915E-07,1,0.000181,1.5278874536822E-11,36817.8446832672,33533.8584775098,5.62535229631837E-07,5.12359616413415E-07,3.68178446832672E-06,3.35338584775098E-06,56253522963183.7,51235961641341.5
10,5.2957451470278E-12,4.4879779510665E-08,2.05756300801292E-07,2.62182425023325E-07,1,0.000181,1.5278874536822E-11,38853.1349392392,32275.5971844185,5.9363217409885E-07,4.93134799981733E-07,3.88531349392392E-06,3.22755971844185E-06,59363217409885,49313479998173.3
20,5.2957451470278E-12,4.4879779510665E-08,2.05756300801292E-07,2.62182425023325E-07,1,0.000181,1.5278874536822E-11,38853.1349392392,32275.5971844185,5.9363217409885E-07,4.93134799981733E-07,3.88531349392392E-06,3.22755971844185E-06,59363217409885,49313479998173.3
30,3.7201125243618E-12,6.7343808273647E-08,1.7836338652391E-07,3.47642315166525E-07,1,0.000181,1.5278874536822E-11,47945.6966303752,28520.4508571323,7.32556283396029E-07,4.35760390379721E-07,4.79456966303752E-06,2.85204508571323E-06,73255628339602.9,43576039037972.1
40,3.1752418577632E-12,7.9968965803164E-08,1.68032286521748E-07,3.9388172777265E-07,1,0.000181,1.5278874536822E-11,52919.5236296481,27212.3331911869,8.08550762085779E-07,4.15773824682341E-07,5.29195236296481E-06,2.72123331911869E-06,80855076208577.8,41577382468234.1
50,2.746750232785E-12,9.3202828340904E-08,1.59386289921593E-07,4.4170914321665E-07,1,0.000181,1.5278874536822E-11,58027.2235965142,26183.5617026099,8.86590669051254E-07,4.00055354181314E-07,5.80272235965142E-06,2.61835617026099E-06,88659066905125.4,40005535418131.4
